time,x,y,z
0,6.7898808,-5.3241286,6.2605815
0,6.464158,-5.3097587,6.0091043
0,6.12646,-5.0415163,5.5732107
0,5.8103175,-4.703819,5.101392
0,5.4678297,-3.9901028,4.773274
0,5.582791,-3.899092,4.9002104
0,5.973179,-3.9398074,5.113367
0,5.848638,-3.7170706,4.5864625
0,5.630691,-3.9206471,3.6811452
0,5.853428,-4.533772,3.3769777
0,6.5623536,-5.3552637,3.427273
0,7.683223,-6.1575956,2.6393116
0,8.528665,-10.267449,0.7185059
0,9.002879,-10.818304,1.5136524
0,8.284373,-9.108259,3.0009596
0,8.121511,-6.586304,3.515889
0,7.9562554,-6.0091043,3.410508
0,7.7694435,-5.6738014,3.8344264
0,7.8532696,-4.744534,3.6236646
0,7.831714,-4.4331813,3.3602126
0,7.3934255,-3.6811452,2.2920337
0,7.223379,-3.8511915,1.1376343
0,7.391031,-8.047266,0.40715334
0,7.999366,-8.612491,1.2549903
0,8.013736,-7.096443,1.1903248
0,7.965835,-6.1599903,1.5376027
0,8.119117,-6.830596,1.6813037
0,7.917935,-7.1467385,1.710044
0,7.965835,-6.310877,1.1879297
0,8.054451,-5.489385,0.8310718
0,8.440049,-6.013894,1.096919
0,8.392149,-6.6246243,0.9316626
0,8.246053,-6.473738,0.61552006
0,8.279583,-5.910908,0.028740235
0,8.413704,-5.2977834,-0.18441652
0,8.557405,-5.4031644,0.364043
0,8.475974,-6.0426345,0.87418216
0,8.418494,-5.4366946,1.0873389
0,8.380174,-4.653523,1.1711646
0,8.372989,-4.773274,1.5567628
0,8.423284,-5.3408937,1.8753004
0,8.459209,-5.5708156,1.9040406
0,8.442444,-5.585186,1.7124391
0,8.449629,-5.6354814,1.7244141
0,8.533455,-5.489385,1.6286134
0,8.674761,-5.0199614,1.695674
0,8.681946,-4.6846585,1.7507594
0,8.681946,-4.792434,1.7028589
0,8.614885,-5.3241286,1.5974782
0,8.566985,-5.4438796,1.6166383
0,8.533455,-5.118157,1.6286134
0,8.50711,-4.8523097,1.6573536
0,8.49753,-4.744534,1.7292042
0,8.502319,-4.727769,1.7148341
0,8.461604,-5.000801,1.6022681
0,8.459209,-5.2882032,1.5950831
0,8.52627,-5.225933,1.6190332
0,8.54543,-4.8571,1.6789087
0,8.5502205,-4.6750784,1.7315992
0,8.528665,-4.5792775,1.7914747
0,8.495134,-4.754114,1.6813037
0,8.473579,-5.1660576,1.5495777
0,8.480764,-5.247488,1.6621436
0,8.514295,-4.9145803,1.7435743
0,8.514295,-4.605623,1.83219
0,8.519085,-4.5792775,1.8274
0,8.547825,-4.744534,1.695674
0,8.53106,-5.223538,1.6214283
0,8.533455,-5.2283278,1.6813037
0,8.552615,-4.8307548,1.7483643
