time,x,y,z
1657259683193,9.050779,-4.126619,0.9699829
1657259683212,9.057964,-4.1098537,0.977168
1657259683230,9.053174,-4.148174,0.9699829
1657259683249,9.057964,-4.157754,0.9508228
1657259683269,9.06994,-4.181704,0.96040285
1657259683287,9.079519,-4.138594,0.95561284
1657259683308,9.057964,-4.129014,0.9436377
1657259683326,9.060359,-4.1314087,0.974773
1657259683346,9.043594,-4.167334,0.9867481
1657259683363,9.041199,-4.148174,1.0083033
1657259683382,9.038804,-4.150569,1.0202783
1657259683401,9.026829,-4.1314087,0.98914313
1657259683419,9.048384,-4.174519,0.97237796
1657259683438,9.050779,-4.181704,0.9508228
1657259683458,9.043594,-4.2128396,0.95561284
1657259683477,9.062755,-4.160149,0.95561284
1657259683497,9.043594,-4.1314087,0.9627979
1657259683516,9.062755,-4.143384,0.9580079
1657259683535,9.067544,-4.160149,0.97237796
1657259683562,9.036409,-4.140989,0.99393314
1657259683577,9.031619,-4.112249,1.0298585
1657259683599,9.034014,-4.112249,1.0274634
1657259683620,9.15137,-4.152964,1.0370435
1657259683633,9.175321,-4.1936793,0.99393314
1657259683655,9.11784,-4.2032595,0.9436377
1657259683684,9.050779,-4.2128396,0.974773
1657259683685,9.026829,-4.119434,1.0011182
1657259683719,9.012459,-4.0859036,0.9867481
1657259683724,9.012459,-4.169729,0.99393314
1657259683751,9.010064,-4.2367897,0.9436377
1657259683782,9.036409,-4.248765,0.8981324
1657259683783,9.057964,-4.2224197,0.9148975
1657259683816,9.019644,-4.1888895,0.9316626
1657259683818,9.045989,-4.184099,0.9915381
1657259683840,9.062755,-4.2296047,0.96758795
1657259683858,9.086704,-4.2224197,0.9484278
1657259683877,9.079519,-4.140989,0.9580079
1657259683896,9.036409,-4.1074586,0.96040285
1657259683915,8.998089,-4.169729,0.9987232
1657259683933,9.024434,-4.157754,1.0059083
1657259683952,9.060359,-4.152964,1.0106983
1657259683972,9.043594,-4.167334,0.97237796
1657259683992,9.08431,-4.1864944,0.977168
1657259684011,9.081915,-4.164939,0.98435307
1657259684030,9.101074,-4.181704,1.0106983
1657259684049,9.077125,-4.2080493,0.98435307
1657259684068,9.067544,-4.1793094,1.0657837
1657259684086,9.05557,-4.1050634,1.099314
1657259684105,9.036409,-4.143384,1.0585986
