time,x,y,z
1657259683174,-0.0122173,-0.00122173,0.0036651902
1657259683194,-0.00488692,-0.00122173,0.0036651902
1657259683213,-0.0073303804,-0.00122173,0.00488692
1657259683230,-0.014660761,0.00122173,0.00488692
1657259683250,-0.018325951,0.00122173,0.00488692
1657259683269,-0.01710422,0.0,0.00488692
1657259683288,-0.018325951,-0.00122173,0.00610865
1657259683308,-0.01954768,-0.00244346,0.00610865
1657259683327,-0.01588249,-0.00488692,0.00610865
1657259683346,-0.014660761,-0.0036651902,0.00488692
1657259683364,-0.014660761,-0.00244346,0.0036651902
1657259683382,-0.010995571,-0.00122173,0.0
1657259683401,-0.010995571,-0.00122173,-0.00244346
1657259683420,-0.00855211,-0.0036651902,-0.00488692
1657259683439,-0.010995571,-0.0036651902,-0.0036651902
1657259683458,-0.010995571,-0.00610865,0.00244346
1657259683478,-0.0036651902,-0.00610865,0.00977384
1657259683497,-0.0036651902,-0.0036651902,0.0122173
1657259683516,-0.010995571,-0.00244346,0.0122173
1657259683536,-0.00977384,-0.0036651902,0.00855211
1657259683562,-0.00244346,-0.00610865,0.00610865
1657259683577,0.0,-0.00855211,0.0073303804
1657259683599,-0.0036651902,-0.0036651902,0.00855211
1657259683620,-0.0122173,0.0,0.0073303804
1657259683633,-0.02076941,0.00855211,0.0
1657259683655,-0.02687806,0.00855211,-0.00244346
1657259683684,-0.018325951,0.00244346,0.00122173
1657259683686,0.00244346,-0.00122173,0.00244346
1657259683719,-0.00244346,0.00122173,-0.00122173
1657259683725,-0.025656331,0.0036651902,-0.0036651902
1657259683752,-0.02687806,0.00244346,-0.00610865
1657259683782,-0.0073303804,-0.00488692,-0.0073303804
1657259683783,0.0,-0.0073303804,-0.0073303804
1657259683816,-0.00488692,-0.00610865,-0.00610865
1657259683819,-0.00488692,-0.00488692,-0.00488692
1657259683840,-0.00122173,-0.00488692,-0.00244346
1657259683859,-0.00122173,-0.00855211,0.0
1657259683878,-0.00122173,-0.00977384,0.00244346
1657259683897,-0.00855211,-0.00610865,0.0036651902
1657259683915,-0.01588249,-0.00244346,0.0036651902
1657259683934,-0.00610865,-0.00122173,0.00244346
1657259683952,-0.00610865,-0.00244346,-0.00122173
1657259683973,-0.01343903,0.0,-0.00488692
1657259683992,-0.010995571,-0.00244346,-0.00488692
1657259684012,0.00122173,-0.00122173,-0.0036651902
1657259684031,0.00610865,0.00122173,-0.0036651902
1657259684049,0.00488692,0.00122173,-0.00244346
1657259684069,0.00855211,-0.00122173,-0.00244346
1657259684087,0.00977384,0.0036651902,-0.00244346
1657259684106,0.00488692,0.00610865,-0.00122173
1657259684125,0.00610865,0.00610865,0.00244346
1657259684145,0.00122173,0.010995571,0.00488692
1657259684163,-0.01710422,0.0122173,0.0073303804
1657259684182,-0.025656331,0.0122173,0.00855211
1657259684202,-0.021991141,0.00610865,0.01343903
1657259684219,-0.01588249,0.0036651902,0.01710422
1657259684238,-0.02321287,0.0,0.01588249
1657259684257,-0.040317092,-0.0036651902,0.00977384
1657259684276,-0.04520401,-0.00244346,0.0036651902
1657259684295,-0.0244346,-0.00244346,-0.00122173
1657259684314,-0.0036651902,-0.00977384,0.0
1657259684333,-0.00122173,-0.0073303804,-0.00244346
1657259684354,-0.014660761,-0.00244346,-0.00855211
1657259684372,-0.018325951,0.0,-0.014660761
1657259684392,-0.00855211,-0.00244346,-0.010995571
1657259684411,0.00977384,-0.00855211,-0.00488692
1657259684430,0.02809979,-0.0122173,-0.00244346
1657259684451,0.030543251,-0.00610865,-0.0073303804
1657259684467,0.00977384,-0.0036651902,-0.014660761
1657259684486,0.00488692,-0.00610865,-0.01710422
1657259684505,0.0244346,-0.00488692,-0.018325951
1657259684525,0.029321522,-0.00855211,-0.01954768
1657259684552,0.0244346,-0.00488692,-0.02076941
1657259684572,0.030543251,-0.00855211,-0.02687806
1657259684598,0.03543017,-0.0036651902,-0.03909536
1657259684615,0.0244346,0.00244346,-0.05742131
1657259684631,-0.0036651902,0.00244346,-0.07208207
1657259684647,-0.00977384,0.00122173,-0.08185591
1657259684665,0.01954768,0.00244346,-0.09285148
1657259684683,0.02321287,0.0036651902,-0.10629051
1657259684698,-0.018325951,0.0036651902,-0.11117743
1657259684715,-0.0122173,0.00244346,-0.11239916
1657259684734,0.0122173,0.00488692,-0.109955706
1657259684754,0.010995571,0.00488692,-0.102625325
1657259684773,0.00610865,0.00244346,-0.09162975
1657259684792,0.01954768,-0.00122173,-0.08307764
1657259684811,0.029321522,-0.0073303804,-0.07696899
1657259684835,0.040317092,-0.00977384,-0.07819072
1657259684849,0.04153882,-0.00977384,-0.07941245
1657259684866,0.03298671,-0.0036651902,-0.08307764
1657259684887,0.036651902,-0.00244346,-0.08185591
1657259684905,0.05986477,-0.00488692,-0.08307764
1657259684924,0.08185591,-0.00244346,-0.095294945
1657259684943,0.06352996,0.010995571,-0.11362089
1657259684963,0.0122173,0.0244346,-0.122173004
1657259684981,0.00610865,0.021991141,-0.123394735
1657259684999,0.03176498,0.00977384,-0.12095127
1657259685019,0.040317092,0.0122173,-0.11362089
1657259685039,0.030543251,0.02809979,-0.116064355
1657259685058,-0.00122173,0.03298671,-0.11850781
1657259685078,-0.0036651902,0.04276055,-0.12461646
1657259685097,0.01710422,0.05619958,-0.13805549
1657259685115,0.01343903,0.07086034,-0.15760317
1657259685133,-0.00244346,0.07941245,-0.16615528
1657259685152,0.0073303804,0.08674283,-0.16493355
1657259685171,0.02809979,0.09285148,-0.15760317
1657259685191,0.02076941,0.09896013,-0.15393798
1657259685209,0.02687806,0.09407321,-0.15638144
1657259685229,0.05619958,0.08674283,-0.17226394
1657259685248,0.051312663,0.09162975,-0.17959431
1657259685295,0.06230823,0.09285148,-0.18203777
1657259685295,0.08918629,0.080634184,-0.1954768
1657259685303,0.06963861,0.06475169,-0.21380275
1657259685325,0.03420844,0.04520401,-0.22479832
1657259685342,0.043982282,0.036651902,-0.23090698
1657259685362,0.021991141,0.029321522,-0.23212871
1657259685380,-0.03176498,0.04642574,-0.22968525
1657259685399,-0.116064355,0.06597342,-0.21380275
1657259685436,-0.17959431,0.09896013,-0.19058989
1657259685437,-0.16004664,0.12705992,-0.16982047
1657259685469,-0.08429937,0.13072512,-0.15393798
1657259685475,0.025656331,0.13316858,-0.15271625
1657259685503,0.14538588,0.12950338,-0.17226394
1657259685524,0.25411984,0.12095127,-0.21624622
1657259685541,0.34452787,0.13072512,-0.26633716
1657259685562,0.38362324,0.14172068,-0.31642807
1657259685579,0.38484496,0.1747074,-0.35918862
1657259685602,0.37140593,0.20158546,-0.39584053
1657259685614,0.35552344,0.21013756,-0.43004897
1657259685639,0.34697133,0.22602005,-0.46425742
1657259685658,0.3335323,0.23457217,-0.4923572
1657259685671,0.29321522,0.26633716,-0.5106832
1657259685685,0.24312428,0.28344136,-0.5290091
1657259685704,0.20036373,0.2968804,-0.5632175
1657259685723,0.14538588,0.30665424,-0.60842156
1657259685741,0.0855211,0.3494148,-0.6450735
1657259685761,-0.0244346,0.42149687,-0.687834
1657259685780,-0.26878062,0.45570529,-0.74036837
1657259685800,-0.47036606,0.443488,-0.7611378
1657259685819,-0.45448357,0.44959664,-0.74036837
1657259685838,-0.29565868,0.4850268,-0.74036837
1657259685857,-0.20891583,0.57543486,-0.7635813
