time,heartRate
1657259683657,81.341866
1657259684697,81.19272
1657259685670,81.20178
1657259686654,84.119446
1657259687634,87.20157
1657259688617,88.32091
1657259689548,88.32091
1657259690581,88.38634
1657259691563,88.35127
1657259692549,88.94815
1657259693519,86.74196
1657259694535,90.077805
1657259695430,90.077805
1657259696471,92.37761
1657259697451,93.67162
1657259698429,93.72738
1657259699417,92.6043
1657259700396,90.440674
1657259701319,90.440674
1657259702363,89.484634
1657259703339,89.14155
1657259704331,88.94984
1657259705307,88.41732
1657259706288,87.92361
1657259707214,87.92361
1657259708283,87.696434
1657259709229,88.15539
1657259710215,88.33819
1657259711197,89.02758
1657259712179,89.05758
1657259713104,89.05758
1657259714137,89.0786
1657259715125,89.097244
1657259716105,89.11516
1657259717085,89.13271
1657259718080,89.19748
1657259718998,89.19748
1657259720035,89.16714
1657259721018,87.30395
1657259722040,86.96768
1657259723031,86.33838
1657259724015,86.11787
1657259724931,86.11787
1657259725978,85.883026
1657259726955,85.76526
1657259727948,86.073685
1657259728935,86.10588
1657259729902,86.02208
1657259730827,86.02208
1657259731868,85.92427
1657259732846,89.64473
1657259733836,92.33227
1657259734814,91.19466
1657259735801,92.933525
1657259736718,92.933525
1657259737754,96.17894
1657259738752,95.904755
1657259739721,94.11514
1657259740700,93.59383
1657259741688,93.504684
1657259742605,93.504684
1657259743657,92.80052
1657259744633,92.81911
1657259745608,88.39658
1657259746590,87.53329
1657259747575,87.4475
1657259748496,87.4475
1657259749541,87.047935
1657259750517,86.0246
1657259751503,84.9116
1657259752484,83.14966
1657259753462,82.01758
1657259754393,82.01758
1657259755452,85.89631
1657259756406,86.48289
1657259757399,85.810936
1657259758397,85.814186
1657259759360,85.82385
1657259760283,85.82385
1657259761315,87.085335
1657259762305,86.3386
1657259763283,84.29708
1657259764263,83.61914
1657259765252,84.37219
1657259766168,84.37219
1657259767214,84.948944
1657259768196,84.97737
1657259769171,84.962746
1657259770157,85.964096
1657259771135,86.348076
1657259772084,86.348076
1657259773098,86.49982
1657259774078,86.80005
1657259775060,87.33408
1657259776044,87.77098
1657259777021,88.94576
1657259777949,88.94576
1657259778985,89.48534
1657259779962,89.746185
1657259780948,90.067184
1657259781925,91.14029
1657259782912,91.47731
1657259783839,91.47731
1657259784874,93.03987
1657259785895,92.96487
1657259786841,92.105225
1657259787819,92.066376
1657259788816,91.993454
1657259789729,91.993454
1657259790775,92.22852
1657259791753,92.015564
1657259792729,93.30663
1657259793732,94.29337
1657259794697,94.97256
1657259795611,94.97256
1657259796653,95.143524
1657259797631,93.97603
1657259798631,93.94531
1657259799629,94.47156
1657259800580,94.51551
1657259801506,94.51551
1657259802548,94.51853
1657259803522,94.557755
1657259804505,97.17959
1657259805480,97.12381
1657259806467,97.0875
1657259807394,97.0875
1657259808429,94.46538
1657259809411,92.58403
1657259810399,92.29685
1657259811370,92.66322
1657259812363,93.049835
1657259813301,93.049835
1657259814318,96.23184
1657259815299,96.2711
1657259816279,96.8622
1657259817265,98.06133
1657259818247,98.45963
1657259819163,98.45963
1657259820207,99.03048
1657259821180,97.01512
1657259822182,97.49955
1657259823149,97.6878
1657259824128,96.55129
