time,x,y,z
1657259683381,0.51660126,-0.2052145,0.5202913
1657259683399,0.67846864,-0.023383379,0.38506794
1657259683417,0.34341925,-0.0750587,0.32584476
1657259683436,0.053627178,-0.06962085,0.1142683
1657259683454,-0.3370249,0.186759,-0.25918007
1657259683472,-0.4096892,0.3917613,-0.10396671
1657259683489,-0.43702546,-0.055526257,0.10885334
1657259683508,-0.13213545,-0.18557215,0.108986855
1657259683527,0.20346808,-0.10810375,-0.1864481
1657259683544,0.26083,-0.07340956,-0.5187473
1657259683562,0.11340222,-0.03349161,-0.6816988
1657259683581,-0.046103895,0.030637264,-0.54174423
1657259683600,-0.09381176,-0.063221455,-0.3000269
1657259683616,-0.06688738,-0.1644082,-0.24260807
1657259683635,0.019976906,-0.09679508,-0.22799206
1657259683653,0.014071122,-0.08782673,-0.14404964
1657259683670,-0.025704443,-0.06655741,0.06507206
1657259683689,-0.024838135,-0.060914993,0.18415642
1657259683707,-0.007106945,-0.07433367,0.05449772
1657259683725,0.07356863,0.032580853,-0.14100075
1657259683750,0.06375553,0.10998678,-0.18864155
1657259683761,0.0253096,0.068595886,-0.14440632
1657259683779,0.061685212,0.090247154,-0.02871418
1657259683797,0.08696168,0.08141661,-0.021622658
1657259683815,0.074000366,0.042746067,0.028463364
1657259683834,0.05270689,0.030697823,0.017792702
1657259683852,0.047997966,-0.01210022,0.02231884
1657259683870,0.08979043,-0.020624638,0.041236877
1657259683889,0.12245396,-0.0151433945,-0.021177292
1657259683906,0.08915545,-0.03494501,-0.12062836
1657259683928,0.02720417,-0.022503853,-0.1630106
1657259683943,-0.037466496,-0.017073154,-0.17311954
1657259683961,-0.07626894,-0.026604176,-0.070604324
1657259683982,-0.036000952,0.0016236305,0.099799156
1657259683997,-0.0033748597,-0.03557062,0.13447285
1657259684015,0.014914289,-0.06547403,0.0015382767
1657259684038,0.02651453,-0.008897781,-0.11262131
1657259684051,-0.090867504,-0.021377563,-0.21610355
1657259684070,-0.15305468,-0.025446415,-0.19971561
1657259684090,-0.1083322,0.0031895638,-0.13777637
1657259684105,-0.099758565,-0.04101324,-0.060848236
1657259684124,-0.064658165,-0.022319317,0.013514519
1657259684142,0.030154124,-0.010819912,0.055880547
1657259684160,0.11485833,0.016835213,0.061217308
1657259684180,0.15444405,-0.012270927,0.0017709732
1657259684196,0.15851529,-0.013840675,-0.043148994
1657259684214,0.19543216,0.064778805,-0.007876396
1657259684232,0.10230084,-0.009108067,0.106879234
1657259684251,0.14452161,-0.059802532,0.20080566
1657259684269,0.23659587,-0.05170679,0.13179588
1657259684286,0.2461034,-0.025815487,-0.07904148
1657259684305,0.17247112,-0.0070443153,-0.31713104
1657259684325,0.086480066,-0.00615263,-0.39439964
1657259684341,0.01796697,-0.03044033,-0.27527905
1657259684359,-0.025306433,-0.07321024,-0.1370573
1657259684377,-0.010308936,-0.10245943,-0.06311798
1657259684396,0.021484807,-0.12705517,-0.20067787
