time,x,y,z
1657259683376,-0.029168816,-0.20295998,0.06154467
1657259683395,0.02565634,0.08933904,-0.05131268
1657259683412,0.087659165,0.19456059,-0.17119499
1657259683431,0.15577064,0.17470746,-0.18310685
1657259683448,0.14569137,0.036957346,-0.14645495
1657259683467,0.09025534,-0.14126259,-0.14294247
1657259683485,0.08017606,-0.1554652,-0.0571159
1657259683502,0.13103059,-0.05513059,0.053603426
1657259683521,0.17959438,0.02855795,0.043218717
1657259683539,0.15302174,0.07192938,-0.040927973
1657259683557,0.058184914,0.0842994,-0.08811731
1657259683575,-0.03772093,0.04718934,-0.070554934
1657259683594,-0.069791354,0.021380283,-0.020158553
1657259683612,-0.0571159,0.0050396384,0.031612277
1657259683629,-0.05757405,-0.0030543262,0.04153884
1657259683648,-0.08124508,0.024740042,0.02443461
1657259683666,-0.0795652,0.046883907,0.014049901
1657259683683,-0.02031127,0.0664316,0.01282817
1657259683702,0.04932737,0.038789943,0.017104227
1657259683720,0.05177083,0.0106901415,0.007788532
1657259683738,0.0013744468,-4.5814895E-4,-0.010842858
1657259683756,-0.03634648,-0.006872234,-0.0053450707
1657259683774,-0.04642576,0.01786781,0.005955936
1657259683794,-0.03756821,0.040011674,0.0076358155
1657259683811,-0.029626964,0.04260785,0.010842858
1657259683829,-0.01786781,0.004886922,0.014966198
1657259683849,-0.0033597588,-0.050396383,0.006872234
1657259683865,-0.002443461,-0.01786781,-0.001985312
1657259683884,-0.004428773,0.038331795,-0.016340645
1657259683904,0.0025961774,0.045814894,-0.035277467
1657259683920,0.007788532,0.020005837,-0.037415497
1657259683937,-0.0056505036,0.0030543262,-0.027947085
1657259683956,-0.025961773,0.014660766,-0.01160644
1657259683974,-0.028710667,0.035277467,-1.5271631E-4
1657259683993,0.014813482,0.026572637,-0.0025961774
1657259684010,0.064446285,-0.0041233404,-0.01282817
1657259684028,0.06734789,-3.0543262E-4,-0.028405234
1657259684051,0.023518313,0.026419923,-0.027183503
1657259684064,-0.029626964,0.02687807,-0.0018325958
1657259684084,-0.057421334,4.5814895E-4,0.027641652
1657259684101,-0.051618114,-0.04444045,0.04016439
1657259684121,-0.031154128,-0.054367006,0.046883907
1657259684139,-0.011911872,-0.019547688,0.053450707
1657259684155,0.002443461,0.03940081,0.050396383
1657259684174,0.031001411,0.056963183,0.035888333
1657259684191,0.039095376,0.020463986,0.02611449
1657259684209,0.020158553,-0.01695151,0.013897184
1657259684228,0.00870483,-0.06994407,0.0016798794
1657259684247,0.044898596,-0.09560041,-0.0
1657259684263,0.09560041,-0.058948494,-0.013744468
1657259684281,0.107665,0.004886922,-0.04016439
1657259684300,0.07040222,0.027641652,-0.0571159
1657259684318,0.0016798794,-0.013744468,-0.05497787
1657259684336,-0.054367006,-0.059864793,-0.047647487
1657259684355,-0.062002823,-0.08277224,-0.04016439
1657259684372,-0.032070424,-0.047800206,-0.031306844
1657259684391,0.0036651916,-0.0035124752,-0.033292156
1657259684408,0.01740966,0.0018325958,-0.05513059
1657259684427,0.013897184,-0.03604105,-0.06291912
1657259684447,-0.011301007,-0.052687127,-0.052381694
1657259684463,-0.03268129,-0.06612616,-0.035277467
1657259684481,-0.03848451,-0.12950343,-0.022449298
1657259684500,-0.022907447,-0.27168232,-0.044135015
1657259684517,0.00290161,-0.45280385,-0.033292156
1657259684536,0.01985312,-0.5702427,0.01695151
1657259684553,0.00992656,-0.6348417,0.07574729
1657259684571,-0.13942999,-0.6377433,0.19746219
1657259684591,-0.46792278,-0.66721755,0.3304781
1657259684607,-0.8003862,-0.6389651,0.3715588
1657259684626,-0.88712907,-0.57803124,0.34055737
