time,x,y,z
1703573631366,1.715215,1.971539,9.476802
1703573631366,1.5810641,1.8685303,9.4396715
1703573631406,1.5091976,1.9224302,9.413321
1703573631407,1.4720665,2.046999,9.364211
1703573631450,1.5451308,2.173963,9.303124
1703573631451,1.5607018,2.217083,9.240841
1703573631476,1.6397551,2.2637963,9.271982
1703573631477,1.7403682,2.1943252,9.389364
1703573631504,1.7307861,2.1871386,9.425298
1703573631504,1.6732929,2.1500077,9.451649
1703573631545,1.6110085,2.1979187,9.426496
1703573631546,1.6074152,2.2194786,9.392958
1703573631585,1.6289752,2.2039075,9.450451
1703573631585,1.5954374,2.2398407,9.458836
1703573631623,1.5475264,2.2649941,9.552262
1703573631623,1.5319552,2.346443,9.6097555
1703573631670,1.3486956,2.372794,9.668447
1703573631670,1.3379155,2.591987,9.712764
1703573631704,1.2145447,2.5632403,9.739116
1703573631705,1.0348783,2.6470845,9.803795
1703573631747,0.8432342,2.5991735,9.856497
1703573631748,0.67195225,2.5344937,9.748697
1703573631785,0.5797235,2.6842155,9.6947975
1703573631786,0.4850992,2.6830177,9.528307
1703573631827,0.31860837,2.890233,9.450451
1703573631827,0.40365046,2.5249114,9.202512
1703573631867,0.24075294,1.3594756,9.684017
1703573631868,-0.16409528,1.2924001,9.81218
1703573631907,-0.138942,1.3666623,9.820564
1703573631908,-0.21559966,1.4828465,9.681622
1703573631950,-0.25871956,1.6038219,9.600173
1703573631951,-0.37011272,1.7595327,9.422902
1703573631991,-0.4419793,1.8888925,9.339058
1703573631992,-0.40005714,1.8385859,9.347443
1703573632030,-0.38807938,1.9883078,9.233654
1703573632031,-0.3030373,2.121261,9.246829
1703573632070,-0.13295312,2.1344366,9.371398
1703573632070,-0.06587767,2.056581,9.489978
1703573632112,0.026351068,2.1428208,9.361815
1703573632112,-0.020362189,2.1428208,9.183348
1703573632151,-0.088635415,2.1068876,9.194127
1703573632151,-0.19403969,2.1236565,9.180952
1703573632192,-0.3066306,2.2003143,9.172567
1703573632192,-0.43359485,2.2506208,9.180952
1703573632233,-0.3856838,2.254214,9.310311
1703573632234,-0.29345506,2.2206764,9.597777
1703573632276,-0.19044636,2.1787543,9.777444
1703573632277,0.009582207,2.312905,9.737918
1703573632314,0.17008416,2.3260806,9.666051
1703573632315,0.39766157,2.5512626,9.627722
1703573632354,0.5713391,2.4722092,9.612151
1703573632354,0.80490535,2.494967,9.578613
1703573632395,0.9737917,2.383574,9.461231
1703573632395,1.1175249,2.4087272,9.389364
1703573632526,1.2408957,2.3799806,9.334267
1703573632526,1.4816487,2.4123206,9.527109
1703573632528,1.6924572,2.3859694,9.734324
1703573632528,1.7547415,2.3692005,9.8648815
1703573632529,1.7283906,2.3584206,9.800201
1703573632529,1.6313707,2.4434626,9.700787
1703573632562,1.4912308,2.4937692,9.67204
1703573632562,1.4145732,2.527307,9.662457
1703573632599,1.3582778,2.4410672,9.676831
1703573632599,1.3199489,2.303323,9.734324
1703573632639,1.2396979,2.371596,9.717555
1703573632639,1.159447,2.4458582,9.722346
1703573632680,0.9713962,2.5428782,9.504352
1703573632680,0.82406974,2.538087,9.349838
1703573632719,0.86599195,2.5895913,9.249225
1703573632720,0.95223176,2.4758027,9.30073
1703573632765,1.1283048,2.5297027,9.249225
1703573632765,1.2971913,2.4590337,9.346245
1703573632801,1.3510911,2.4865825,9.313905
1703573632802,1.2708402,2.3967495,9.286356
1703573632842,1.2444891,2.4973626,9.373794
1703573632842,1.068416,2.544076,9.248027
1703573632883,0.94025403,2.5548558,9.191731
1703573632883,0.88036525,2.5740201,9.262401
1703573632925,0.72704995,2.5201204,9.20371
1703573632925,0.555768,2.5680313,9.153403
1703573632965,0.41323265,2.64948,9.170172
1703573632965,0.3725083,2.6734357,9.312707
1703573633004,0.30902615,2.7117646,9.371398
1703573633005,0.3222017,2.7968066,9.415716
1703573633046,0.31621283,2.8542998,9.430089
1703573633047,0.38328826,2.8063889,9.493571
1703573633086,0.49827474,2.809982,9.539086
1703573633086,0.5833168,2.8375309,9.543878
1703573633126,0.65638113,2.788422,9.57502
1703573633127,0.6767433,2.927364,9.600173
1703573633168,0.6396123,2.9249685,9.577415
1703573633169,0.5294169,3.0483394,9.428891
1703573633207,0.38807938,3.211237,9.244433
1703573633207,0.2383574,3.2375882,9.11747
1703573633248,0.18086416,3.3202345,9.0803385
1703573633249,0.1533153,3.2423792,9.045603
1703573633290,0.1784686,3.130986,9.137832
1703573633290,0.2730929,3.0746906,9.281565
1703573633330,0.3018395,3.0519328,9.254016
1703573633331,0.31980616,3.092657,9.293543
1703573633369,0.29585063,3.285499,9.301927
1703573633369,0.2036219,3.4543855,9.371398
1703573633411,0.04551548,3.5885363,9.355827
1703573633412,-0.089833185,3.6951385,9.322289
1703573633453,-0.19763301,3.9131336,9.285158
1703573633453,-0.29465285,3.8340805,9.323487
1703573633493,-0.38807938,3.8748047,9.515131
1703573633493,-0.5378013,3.943078,9.680425
1703573633632,-0.6503923,4.0065603,9.751093
1703573633634,-0.8432342,3.9047492,9.755884
1703573633634,-1.046856,3.7466428,9.850509
1703573633635,-1.1247115,3.6196785,9.852904
1703573633636,-1.287609,3.4316278,9.731929
1703573633636,-1.3283334,3.1597326,9.692402
1703573633667,-1.4517043,2.9788685,9.498363
1703573633668,-1.5463285,2.9980328,9.245631
1703573633695,-1.7499505,2.7225444,9.010867
