time,x,y,z
1703574301179,-0.50785697,4.483275,8.730588
1703574301180,-0.3317839,4.4209905,8.683875
1703574301181,-0.31621283,4.2329397,8.573679
1703574301182,-0.50426364,4.137118,8.567691
1703574301204,-0.55936134,3.879596,8.588053
1703574301204,-0.62523896,3.9838023,8.623986
1703574301241,-0.6444034,4.0389,8.679084
1703574301242,-0.69111663,3.873607,8.7988615
1703574301271,-0.7234566,3.777785,8.879112
1703574301271,-0.66596335,3.8484538,8.965352
1703574301325,-0.78454316,3.8197072,8.877914
1703574301326,-0.8576075,3.7538295,8.947386
1703574301357,-0.8061031,3.868816,9.147414
1703574301358,-0.41443044,4.095196,9.145019
1703574301390,-0.5521746,3.713105,8.940199
1703574301391,-0.56774575,3.9490669,9.109085
1703574301436,-0.26470846,5.0246696,9.410925
1703574301436,0.2970484,5.3971777,9.925968
1703574301472,0.9881651,5.845146,10.65182
1703574301473,1.0875804,8.005934,11.528592
1703574301514,0.98457175,9.014461,12.218512
1703574301514,0.8348498,7.0021973,13.194698
1703574301556,0.61086565,5.6714687,14.28707
1703574301556,0.6240412,6.582976,16.3173
1703574301597,0.39885935,7.407046,18.41221
1703574301598,-0.007186655,4.914474,19.260235
1703574301634,-0.089833185,-1.0324827,19.175194
1703574301635,-0.7366321,-7.293257,18.421793
1703574301675,-2.6087558,-10.370343,16.995241
1703574301676,-3.3741345,-7.7508073,13.277345
1703574301717,-3.1130195,-7.4369903,7.266906
1703574301717,-3.6963363,-11.145304,3.1884792
1703574301756,-3.9490669,-11.968176,1.8553548
1703574301756,-2.8710687,-8.098163,-1.0193073
1703574301798,-2.6410956,-3.7442472,-3.9993734
1703574301799,-3.189677,-3.4340234,-3.3441901
1703574301837,-2.5009558,-2.473407,-3.114217
1703574301837,-1.5894486,0.32819057,-3.4615722
1703574301878,-1.3666623,2.2518187,-3.0974483
1703574301879,-0.8719808,3.8508494,-3.0399551
1703574301919,0.41922155,4.131129,-2.5812068
1703574301919,2.3763871,2.7189512,-2.2817628
1703574301961,4.8078723,3.8544426,-2.6842155
1703574301961,8.600031,6.8105536,-8.881508
1703574302000,18.947617,11.048285,-18.668533
1703574302000,29.93601,20.2484,-25.910286
1703574302041,31.6656,27.560822,-22.77451
1703574302042,33.655106,21.405453,-21.152721
1703574302084,31.515877,7.160304,-21.55158
1703574302085,30.399551,12.123887,-8.911452
1703574302124,80.887,-30.627129,-15.959166
1703574302124,69.22426,-90.862076,24.011812
1703574302163,38.274925,-71.8929,26.030064
1703574302164,7.3016415,-64.55413,27.066141
1703574302204,-8.552119,-34.988228,24.322037
1703574302204,-2.0829322,-23.246433,22.304981
1703574302262,1.6397551,-19.571657,22.404396
1703574302263,1.474462,-14.227181,18.291235
1703574302290,1.6098107,-8.784488,12.868903
1703574302290,2.5620425,-5.6007996,9.717555
1703574302325,3.3968923,-4.850992,8.226324
1703574302325,4.268873,-6.410496,7.105206
1703574302368,4.476088,-6.8393,6.4164853
1703574302368,4.2604885,-6.8141465,5.011494
1703574302406,3.3992877,-7.0285487,4.686897
1703574302407,3.1597326,-6.620107,5.764895
1703574302447,2.7644665,-4.429375,5.8163996
1703574302448,1.5499219,-3.4831321,5.990077
1703574302487,1.1067449,-3.745445,7.239357
1703574302488,1.5319552,-3.9586492,8.489835
1703574302530,1.4421221,-2.7453022,8.499417
1703574302530,1.0396694,-1.3223445,8.005934
1703574302570,0.8468275,-1.298389,8.543735
1703574302570,1.1905892,-1.6756884,9.27318
1703574302609,1.2313136,-1.1307003,8.742566
1703574302609,0.8264653,-0.5090547,8.797664
1703574302651,0.9594184,-0.10660205,9.006077
1703574302652,0.86000305,0.13055757,9.158194
1703574302691,0.6755456,0.14133754,9.128249
1703574302691,0.55936134,0.7078855,8.840783
1703574302731,0.51264805,0.961814,8.616799
1703574302732,0.5150436,0.92947406,8.724599
1703574302772,0.35334387,0.9881651,8.84797
1703574302772,0.3269928,0.99295616,9.000088
1703574302816,0.3569372,1.0408672,8.870728
1703574302817,0.3222017,1.1750181,8.886299
1703574302853,0.336575,1.1103382,9.037219
1703574302853,0.3868816,1.1474693,9.162985
1703574302895,0.46833035,1.2456869,9.092317
1703574302895,0.47312146,1.3618711,9.207303
1703574302934,0.39047492,1.3187512,9.256412
1703574302934,0.3521461,1.4085844,9.458836
1703574302974,0.3174106,1.2684447,9.440869
1703574302974,0.21440187,1.159447,9.248027
1703574303016,0.23715961,1.2564669,9.277971
1703574303016,0.36412385,1.4564954,9.443265
1703574303059,0.26830178,1.3594756,9.62892
1703574303060,0.09462429,1.2229291,9.722346
1703574303098,0.009582207,1.276829,9.591789
1703574303098,-0.0035933275,1.506802,9.48878
1703574303139,0.031142171,1.4792532,9.440869
1703574303140,0.08504208,1.218138,9.6361065
1703574303179,0.118579805,1.2708402,9.711566
1703574303179,0.117382035,1.3115646,9.634909
1703574303218,0.20122634,1.2648513,9.619338
1703574303218,0.15930419,1.1247115,9.595382
1703574303260,0.15211754,1.063625,9.700787
1703574303260,0.18924858,1.2013692,9.852904
1703574303325,0.19523746,1.1522603,9.94633
1703574303325,0.20841299,1.1139315,9.899617
1703574303339,0.15690863,1.1498648,9.764269
1703574303340,-0.016768862,1.122316,9.8517065
1703574303383,0.0047911033,1.122316,9.973879
1703574303384,0.0047911033,1.1007559,9.964297
1703574303421,0.011977758,1.0588338,9.82775
1703574303422,-0.011977758,1.1869959,9.73672
1703574303462,0.0011977758,1.1846002,9.729533
1703574303463,0.10779983,1.063625,9.843322
1703574303504,0.14253533,1.0600317,9.840926
1703574303505,0.10779983,1.1175249,9.698391
1703574303547,-0.017966637,1.1881936,9.662457
1703574303547,0.009582207,1.1774136,9.656468
