,paticipant,anonymity,cutAnswer,cutEstimation,cutTime,meanPace,meanAve,maxAve,errMaxAve,errMinAve,stdevAve
0,ao,M,55,55.0,85.202,0.8594624130374287,13.686523499739666,66.97964725356995,14.012687424950649,12.013540081116272,7.315047872570069
1,ayato,C1,60,70.0,75.169,0.8941022439310083,26.816308865302616,50.55784395002131,50.55784395002131,13.504246583560354,9.447016193213509
2,ayato2,C2,87,116.0,94.995,0.7186250791272762,15.124584718498074,20.7118877851747,20.7118877851747,12.13140596230322,2.1764150103033706
3,fuma,O,81,97.0,71.843,0.6825760912691088,15.663174169846778,23.87809770834925,21.93790721133012,12.017001785200916,2.6615630943601296
4,fuseya,D1,82,68.0,110.298,0.7592075300930993,13.059839291721831,15.754943282508162,15.065504484327262,12.014553684640056,0.8597660773507717
5,fuseya2,D2,72,84.0,95.334,0.875971069012616,13.449303823543952,16.971749635375442,15.231850232839754,12.03850742522555,1.0142399825441486
6,isiguro,L,40,48.0,51.054,1.1285663694299373,13.998286975901859,18.09361838534205,18.09361838534205,12.03822504696686,1.6164315620076783
7,kakumu,E1,64,92.0,85.078,0.4289851499589515,17.657996494428144,32.97204319480111,30.139406942901665,12.007548530505238,4.920627464629203
8,kakumu2,E2,73,109.0,78.626,0.9999067170416172,16.955384631378532,31.76227324155231,28.22502094712068,12.055088094182349,3.828482602711619
9,kazuo,K,43,39.0,49.389,0.9192209670692683,12.96732409542226,15.179853033216297,13.903818585827796,12.020918300570292,0.7080960164863557
10,mom,A,159,164.0,48.045,0.5209830864024891,32.61938457234077,45.5995025040141,45.5995025040141,20.48128740851551,5.586019739897061
11,nishi,F1,57,31.0,97.699,0.748169921875,12.663148336385067,15.769007466249896,13.410114275624062,12.042326922585268,0.7019504799336567
12,nishi2,F2,36,10.0,40.851,1.05075,12.284457599717994,12.72588305537312,12.72588305537312,12.024713863260128,0.24025843197494162
13,ogane,I,43,42.0,48.417,1.0101328005720642,17.346076397391844,23.71118835201479,20.47054623915185,13.78711713063526,2.1365833143507027
14,ohashi,J,76,87.0,74.889,0.9366805758382918,17.170151576766315,26.13188501391926,26.13188501391926,13.52406187455403,3.0161350015894657
15,rui,G1,51,75.0,90.201,0.2538525596885881,13.19700685472146,18.40936440725501,14.738956456786374,12.003033334415589,1.2517958820484716
16,rui2,G2,67,67.0,102.106,0.5811707521158608,13.18763703581891,24.077691676240622,14.591107575323033,12.08198917962488,1.5606992168187444
17,suzaki,B2,97,116.0,68.551,0.9326857696769898,17.956968808142026,28.33387101387207,28.33387101387207,12.003646644966937,3.4884445591988804
18,suzaki0,B1,106,106.0,75.802,0.9552031479827418,18.092165799023284,27.164664786840905,22.621733083313558,13.572453298489004,2.874921079847391
19,suzaki2,B3,69,93.0,63.16,0.41593919530605333,16.599358338246123,25.037234215699502,25.037234215699502,12.006147543174457,2.950707289062731
20,togawa,H1,70,59.0,149.937,1.20875,13.07126552181928,18.555772796306112,14.993402447534418,12.017112200987931,1.0692874496050782
21,togawa2,H2,69,56.0,116.351,0.6048567209015601,13.443184263547247,17.88128280134165,15.732732711520844,12.006180855299718,1.040422425938122
22,ueji,N,53,85.0,42.401,0.5200555425940647,14.030527833383383,18.155636547396348,18.155636547396348,12.030138361421225,1.4508541160377597
23,全体の平均,平均,70,76.91304347826087,78.93034782608696,0.7828632044749572,16.132176500134236,25.84412791767104,21.75748482997237,12.670488874443523,2.6919897766295593
