time,x,y,z
1703574473611,1.2684447,2.2218742,9.740313
1703574473611,1.1726226,2.090119,9.850509
1703574473635,1.068416,1.9296168,9.74151
1703574473635,1.0288894,1.902068,9.4241
1703574473688,1.0121206,1.9523746,9.286356
1703574473689,1.0312849,1.8685303,9.372596
1703574473722,1.0600317,1.7966638,9.492373
1703574473722,1.196578,1.8361903,9.509142
1703574473752,1.2492802,1.9284191,9.436078
1703574473752,1.255269,1.8505636,9.493571
1703574473791,1.2684447,1.773906,9.569031
1703574473791,1.2696424,1.8385859,9.59658
1703574473830,1.2780268,1.9188368,9.554658
1703574473830,1.2229291,1.8469703,9.652875
1703574473875,1.185798,1.7990593,9.692402
1703574473876,1.1774136,1.9595612,9.537889
1703574473911,1.1307003,1.9871101,9.378585
1703574473911,1.057636,1.8481681,9.355827
1703574473960,0.9558251,1.7439616,9.500758
1703574473960,1.020505,1.8529592,9.515131
1703574473992,1.0552405,1.9415946,9.323487
1703574473993,1.0169116,1.7918726,9.234852
1703574474034,1.1414803,1.6661062,9.425298
1703574474034,1.1498648,1.7786971,9.522318
1703574474076,0.9905606,1.7822905,9.566635
1703574474076,0.8911452,1.4936265,9.751093
1703574474117,0.892343,1.496022,9.831344
1703574474117,0.84802526,1.6900617,9.610953
1703574474155,0.8324542,1.5463285,9.5247135
1703574474156,0.79652095,1.3822333,9.674436
1703574474196,0.7917298,1.2995868,9.800201
1703574474196,0.75579655,1.4768575,9.5642395
1703574474237,0.72704995,1.6864684,9.3702
1703574474238,0.83005863,1.7319839,9.444463
1703574474277,0.85042083,1.5894486,9.414518
1703574474277,0.7833454,1.6014262,9.432485
1703574474318,0.7486099,1.7703127,9.409727
1703574474318,0.7593899,1.8493658,9.298334
1703574474358,0.72106105,1.7834882,9.220478
1703574474359,0.5952946,1.4025955,9.183348
1703574474399,0.5869101,1.0516472,9.291147
1703574474399,0.64320564,1.207358,9.212094
1703574474439,0.6048768,1.2852135,9.141425
1703574474439,0.38807938,1.3055756,9.324685
1703574474480,0.62643677,1.2001714,9.655271
1703574474480,0.79053205,0.9043208,9.717555
1703574474523,0.592899,0.78094983,9.39176
1703574474523,0.51264805,0.5401969,9.43488
1703574474563,0.52223027,0.33058614,9.757082
1703574474564,0.24913737,0.34495944,10.002625
1703574474604,0.14732642,0.52821916,10.188281
1703574474605,-0.05749324,0.43479264,10.224215
1703574474642,-0.14253533,0.04551548,10.002625
1703574474643,-0.32339948,-0.47791255,9.94633
1703574474688,-0.8348498,-0.6420078,10.30207
1703574474688,-0.87437636,-0.3761016,10.745247
1703574474724,-0.9881651,-0.29105952,10.92132
1703574474724,-1.3439045,-0.30543283,10.996779
1703574474764,-1.1702269,-0.2718951,11.014747
1703574474764,-1.1366893,-0.46473703,10.957253
1703574474804,-1.3367178,-0.49947253,10.882991
1703574474805,-1.3163556,-0.08025098,11.308202
1703574474845,-1.0660205,0.08504208,11.769345
1703574474846,-1.1211182,-0.10181095,11.945418
1703574474887,-0.9210896,-0.8671897,12.028065
1703574474887,-0.8264653,-0.83005863,11.695084
1703574474927,-1.2361046,0.2036219,11.121348
1703574474927,-1.4684732,0.7713676,11.333355
1703574474972,-1.7475549,0.26351067,12.146645
1703574474972,-2.1703699,-0.10540427,12.7095995
1703574475008,-2.405134,0.3665194,13.346816
1703574475008,-2.1715677,0.77496094,15.65493
1703574475051,-1.8936836,1.7355772,19.003912
1703574475052,-2.2254674,2.0026813,20.464
1703574475092,-2.3967495,-0.19643524,20.28074
1703574475092,-2.1787543,-3.5921297,20.343025
1703574475130,-1.7247972,-5.485813,18.813465
1703574475131,-1.1067449,-5.247456,14.870387
1703574475170,-0.35454166,-5.300158,10.570372
1703574475171,0.39526603,-6.0823054,7.1399417
1703574475211,0.7378299,-5.443891,4.4281774
1703574475212,1.1881936,-4.2173686,1.8924859
1703574475252,1.9116502,-3.5250542,-0.5940968
1703574475252,2.7117646,-2.5620425,-2.099701
1703574475292,3.3765302,-0.9306718,-3.8328826
1703574475292,3.8772004,0.8516186,-5.824784
1703574475333,4.407815,2.6530735,-7.5723386
1703574475334,4.9348364,4.736006,-9.997835
1703574475374,5.93977,7.0249553,-13.429462
1703574475374,8.673095,8.0274935,-17.804937
1703574475415,13.665424,7.7328405,-22.059437
1703574475415,19.041042,5.4391,-24.159138
1703574475454,22.84398,0.7869387,-18.10558
1703574475455,23.904013,-0.5138458,-7.5352077
1703574475495,27.28174,-14.640414,2.3105097
1703574475496,28.341772,-17.481539,16.743708
