time,x,y,z
1692386482583,0.0023955517,-1.1462715,10.118811
1692386482583,0.38209048,-1.063625,9.918781
1692386482637,0.31860837,-0.58810794,9.743906
1692386482637,0.3377728,-0.45275927,9.848113
1692386482678,0.25991735,-0.9007274,9.917583
1692386482678,0.22158852,-1.0061316,9.9092
1692386482695,0.19403969,-1.0073295,9.794213
1692386482695,0.15571086,-0.94025403,9.680425
1692386482733,0.089833185,-0.93186957,9.613349
1692386482734,0.088635415,-1.1414803,9.662457
1692386482772,0.1089976,-0.94025403,9.680425
1692386482772,0.14612865,-0.9414518,9.66126
1692386482812,0.19403969,-0.99894506,9.624128
1692386482813,0.2132041,-0.951034,9.632513
1692386482856,0.2132041,-1.0073295,9.690006
1692386482856,0.2132041,-0.9414518,9.651677
1692386482893,0.2132041,-0.89354074,9.670842
1692386482894,0.18445748,-0.94983625,9.680425
1692386482935,0.14612865,-0.96900064,9.690006
1692386482935,0.12816201,-0.8731786,9.717555
1692386482975,0.14732642,-0.8552119,9.698391
1692386482975,0.1089976,-0.9115074,9.746302
1692386483016,0.09821762,-0.98696727,9.832541
1692386483016,0.089833185,-0.9210896,9.784631
1692386483057,0.118579805,-0.8731786,9.73672
1692386483057,0.09941539,-0.8731786,9.717555
1692386483097,0.05150436,-0.8731786,9.7079735
1692386483097,0.061086565,-0.88276076,9.727138
1692386483138,0.08025098,-0.9965495,9.82296
1692386483138,0.07905321,-1.0444605,9.785829
1692386483178,0.08025098,-0.9115074,9.746302
1692386483178,0.07066877,-0.88276076,9.727138
1692386483219,0.1089976,-0.8731786,9.746302
1692386483219,0.118579805,-0.85401416,9.775048
1692386483259,0.17487527,-0.94983625,9.765467
1692386483260,0.15571086,-0.9115074,9.775048
1692386483300,0.16529307,-0.85401416,9.775048
1692386483300,0.2132041,-0.82526755,9.765467
1692386483341,0.2132041,-0.892343,9.755884
1692386483341,0.24075294,-0.9115074,9.803795
1692386483382,0.23236851,-0.8168831,9.755884
1692386483382,0.26111513,-0.74980766,9.717555
1692386483422,0.28027955,-0.7018966,9.706776
1692386483422,0.29824618,-0.8168831,9.717555
1692386483463,0.336575,-0.8264653,9.755884
1692386483463,0.34615722,-0.83604753,9.775048
1692386483503,0.3557394,-0.7977187,9.765467
1692386483503,0.36532164,-0.8073009,9.746302
1692386483544,0.41203487,-0.8168831,9.775048
1692386483544,0.39406824,-0.74980766,9.717555
1692386483584,0.3377728,-0.6743478,9.706776
1692386483585,0.32819057,-0.7030944,9.679227
1692386483625,0.3557394,-0.731841,9.688808
1692386483625,0.3269928,-0.74980766,9.688808
1692386483666,0.336575,-0.74022543,9.72594
1692386483666,0.3377728,-0.64560115,9.678029
1692386483707,0.32819057,-0.61685455,9.630117
1692386483707,0.3377728,-0.6551834,9.658864
1692386483747,0.28986174,-0.6743478,9.697193
1692386483747,0.2227863,-0.72106105,9.72594
1692386483788,0.2515329,-0.7593899,9.735522
1692386483788,0.23236851,-0.7593899,9.745104
1692386483828,0.24195072,-0.72106105,9.754686
1692386483828,0.24195072,-0.67315,9.764269
1692386483869,0.2227863,-0.7306433,9.7930155
1692386483869,0.2227863,-0.7306433,9.783433
1692386483909,0.2132041,-0.7869387,9.821762
1692386483909,0.23236851,-0.7593899,9.783433
1692386483950,0.2132041,-0.72106105,9.764269
1692386483950,0.2036219,-0.7581921,9.7930155
1692386483990,0.19403969,-0.72944546,9.802597
1692386483990,0.2132041,-0.6635678,9.820564
1692386484031,0.2515329,-0.62523896,9.791818
1692386484031,0.24195072,-0.6635678,9.801399
1692386484071,0.26111513,-0.70069885,9.830146
1692386484071,0.27069733,-0.69231445,9.830146
1692386484112,0.27069733,-0.6060746,9.791818
1692386484113,0.3269928,-0.69231445,9.764269
1692386484153,0.26111513,-0.77855426,9.745104
1692386484153,0.19403969,-0.7881365,9.7079735
1692386484193,0.17607304,-0.74022543,9.669644
1692386484193,0.19523746,-0.74022543,9.65048
1692386484234,0.23236851,-0.8168831,9.679227
1692386484234,0.2515329,-0.86479414,9.669644
1692386484275,0.2515329,-0.87437636,9.7079735
1692386484275,0.27069733,-0.84562975,9.7079735
1692386484316,0.28866398,-0.84562975,9.688808
1692386484316,0.28986174,-0.8073009,9.65048
1692386484356,0.27069733,-0.77016985,9.640898
1692386484356,0.2227863,-0.7593899,9.660062
1692386484398,0.2132041,-0.8264653,9.669644
1692386484398,0.2132041,-0.7689721,9.669644
1692386484437,0.20481966,-0.7114788,9.706776
1692386484437,0.14732642,-0.85401416,9.746302
1692386484479,0.12816201,-0.84443194,9.765467
1692386484479,0.13774422,-0.81568533,9.802597
1692386484518,0.14732642,-0.81568533,9.81218
1692386484518,0.15571086,-0.8731786,9.821762
1692386484559,0.15571086,-0.8635964,9.784631
1692386484559,0.14612865,-0.8348498,9.81218
1692386484612,0.13774422,-0.8348498,9.765467
1692386484612,0.13774422,-0.8731786,9.765467
1692386484640,0.12816201,-0.9019252,9.717555
1692386484640,0.1089976,-0.8552119,9.688808
1692386484681,0.09941539,-0.85401416,9.688808
1692386484681,0.089833185,-0.86479414,9.660062
1692386484722,0.052702136,-0.8839586,9.642096
1692386484722,0.061086565,-0.9210896,9.7079735
1692386484762,0.05150436,-0.9594184,9.765467
1692386484762,0.1089976,-0.9019252,9.765467
1692386484803,0.17487527,-0.9115074,9.784631
1692386484803,0.21200632,-0.96900064,9.803795
1692386484843,0.25033516,-0.9019252,9.803795
1692386484843,0.26949957,-0.8348498,9.802597
1692386484884,0.27069733,-0.81568533,9.783433
1692386484884,0.23236851,-0.85401416,9.784631
1692386484925,0.2227863,-0.7977187,9.717555
1692386484925,0.24195072,-0.7977187,9.73672
1692386484965,0.2132041,-0.7881365,9.754686
1692386484965,0.19403969,-0.79652095,9.754686
1692386485006,0.17487527,-0.81568533,9.746302
1692386485006,0.14732642,-0.74980766,9.754686
1692386485046,0.14732642,-0.74022543,9.745104
1692386485046,0.1089976,-0.7773565,9.735522
1692386485088,0.14732642,-0.7593899,9.7079735
1692386485088,0.118579805,-0.7881365,9.698391
1692386485127,0.08025098,-0.8552119,9.669644
1692386485127,0.07066877,-0.892343,9.717555
1692386485168,0.118579805,-0.84443194,9.717555
1692386485168,0.13774422,-0.77855426,9.679227
1692386485209,0.118579805,-0.7881365,9.679227
1692386485209,0.09941539,-0.9019252,9.775048
1692386485249,0.118579805,-0.9115074,9.794213
1692386485249,0.118579805,-0.7677743,9.764269
1692386485290,0.13774422,-0.72106105,9.745104
1692386485291,0.13774422,-0.79652095,9.754686
1692386485331,0.17487527,-0.82526755,9.783433
1692386485331,0.15690863,-0.74022543,9.764269
1692386485371,0.15690863,-0.7018966,9.754686
1692386485371,0.14732642,-0.81568533,9.802597
1692386485412,0.18445748,-0.88276076,9.821762
1692386485413,0.19403969,-0.8348498,9.7930155
1692386485452,0.2036219,-0.7881365,9.754686
1692386485452,0.2227863,-0.77855426,9.73672
1692386485493,0.17487527,-0.83604753,9.7079735
1692386485493,0.17607304,-0.77855426,9.669644
1692386485533,0.19523746,-0.7689721,9.660062
1692386485534,0.23236851,-0.7977187,9.669644
1692386485574,0.2515329,-0.8073009,9.640898
1692386485574,0.26111513,-0.77855426,9.660062
1692386485626,0.2515329,-0.7977187,9.669644
1692386485626,0.2036219,-0.8264653,9.688808
1692386485656,0.2227863,-0.7881365,9.717555
1692386485656,0.2227863,-0.7881365,9.746302
1692386485696,0.2132041,-0.85401416,9.784631
1692386485696,0.2132041,-0.81568533,9.802597
1692386485737,0.2036219,-0.7677743,9.802597
1692386485737,0.19403969,-0.7390277,9.802597
1692386485777,0.19403969,-0.7581921,9.77385
1692386485777,0.2132041,-0.84443194,9.784631
1692386485818,0.19403969,-0.84443194,9.755884
1692386485818,0.2036219,-0.7977187,9.7079735
1692386485859,0.17607304,-0.7881365,9.688808
1692386485859,0.18565525,-0.74980766,9.640898
1692386485899,0.15690863,-0.7593899,9.621734
1692386485899,0.18565525,-0.8552119,9.622931
1692386485940,0.21440187,-0.77016985,9.592987
1692386485940,0.22398408,-0.76058763,9.527109
1692386485980,0.23236851,-0.9330674,9.537889
1692386485981,0.16649084,-0.8552119,9.603766
1692386486020,0.19523746,-0.8073009,9.603766
1692386486021,0.2036219,-0.8264653,9.631315
1692386486061,0.16529307,-0.9222874,9.66126
1692386486061,0.15571086,-0.94983625,9.794213
1692386486102,0.14612865,-0.892343,9.821762
1692386486103,0.17487527,-0.91989183,9.850509
1692386486143,0.15571086,-0.9965495,9.899617
1692386486143,0.16529307,-0.97738504,9.917583
1692386486184,0.17487527,-0.8911452,9.983461
1692386486184,0.25033516,-0.8528164,9.983461
1692386486224,0.29824618,-0.82526755,9.898419
1692386486225,0.336575,-0.8635964,9.813377
1692386486264,0.35454166,-0.94025403,9.803795
1692386486265,0.29824618,-0.892343,9.803795
1692386486305,0.25991735,-0.9115074,9.775048
1692386486305,0.31621283,-1.0073295,9.776246
1692386486346,0.3916727,-1.0935693,9.824158
1692386486346,0.37370604,-0.9414518,9.718753
1692386486386,0.2515329,-0.9222874,9.566635
1692386486386,0.2036219,-0.9330674,9.528307
1692386486428,0.25991735,-1.1139315,9.624128
1692386486428,0.34495944,-1.218138,9.748697
1692386486468,0.45755038,-1.1893914,9.815773
1692386486468,0.50665915,-0.9701984,9.737918
1692386486508,0.6300301,-0.9043208,9.709171
1692386486508,0.6959078,-0.92348516,9.718753
1692386486549,0.7821476,-0.9043208,9.737918
1692386486549,0.8755741,-0.98936284,9.814575
1692386486590,0.9713962,-0.89473855,9.8517065
1692386486590,0.93426514,-0.74142325,9.81218
1692386486640,0.9246829,-0.7797521,9.86009
1692386486640,0.9246829,-0.7306433,9.9367485
1692386486671,0.8863541,-0.6072723,9.8780575
1692386486671,0.8025098,-0.51264805,9.753489
1692386486711,0.7450166,-0.5701413,9.697193
1692386486711,0.85880524,-0.66596335,9.640898
1692386486752,0.8492231,-0.65757895,9.584602
1692386486752,0.7917298,-0.7522032,9.660062
1692386486793,0.8492231,-0.7042922,9.688808
1692386486793,0.8767719,-0.78094983,9.651677
1692386486833,0.94384736,-0.78094983,9.642096
1692386486833,0.97259396,-0.80969644,9.651677
1692386486874,1.0013406,-0.74381876,9.622931
1692386486874,0.9534296,-0.7246544,9.622931
1692386486915,0.9534296,-0.7342366,9.584602
1692386486915,0.96301174,-0.6959078,9.632513
1692386486955,1.020505,-0.5809213,9.640898
1692386486955,1.0109228,-0.4850992,9.630117
1692386486996,0.9737917,-0.50426364,9.658864
1692386486996,0.9821762,-0.475517,9.706776
1692386487037,0.9917584,-0.5138458,9.716357
1692386487037,0.92588073,-0.53301024,9.706776
1692386487077,0.92588073,-0.49348363,9.753489
1692386487078,0.9354629,-0.40844154,9.763071
1692386487117,0.95462734,-0.38927713,9.734324
1692386487117,0.9737917,-0.38927713,9.763071
1692386487159,0.88874966,-0.3413661,9.695995
1692386487159,0.86000305,-0.3222017,9.657666
1692386487198,0.822872,-0.28507066,9.619338
1692386487198,0.75579655,-0.33298168,9.591789
1692386487239,0.67075443,-0.39885935,9.563043
1692386487239,0.54738355,-0.38927713,9.515131
1692386487281,0.46234146,-0.39047492,9.353432
1692386487281,0.45275927,-0.46713257,9.364211
1692386487320,0.42281488,-0.65638113,9.554658
1692386487321,0.47911033,-0.86479414,9.755884
1692386487362,0.63122785,-0.8084987,9.670842
1692386487362,0.7450166,-0.6192501,9.554658
1692386487401,0.85880524,-0.5701413,9.668447
1692386487401,1.0756027,-0.79891646,9.8517065
1692386487443,1.1127337,-0.89473855,9.870871
1692386487443,1.0288894,-0.66596335,9.7079735
1692386487483,0.86838746,-0.5521746,9.658864
1692386487484,0.7078855,-0.4455726,9.678029
1692386487525,0.5940968,-0.37849715,9.705578
1692386487525,0.6503923,-0.46473703,9.715159
1692386487564,0.85880524,-0.6551834,9.869673
1692386487564,1.020505,-0.54139465,9.849311
1692386487604,1.0396694,-0.32339948,9.705578
1692386487605,1.1822047,-0.40963933,9.678029
1692386487655,1.276829,-0.52462584,9.669644
1692386487655,1.3978044,-0.801312,9.7666645
1692386487686,1.4732642,-0.8671897,9.870871
1692386487686,1.474462,-0.6767433,9.775048
1692386487727,1.4469132,-0.6012835,9.688808
1692386487727,1.4936265,-0.74381876,9.728335
1692386487768,1.5499219,-0.83005863,9.795411
1692386487768,1.5403397,-0.86838746,9.776246
1692386487808,1.5127909,-0.7725654,9.757082
1692386487808,1.4552976,-0.70548993,9.746302
1692386487849,1.4085844,-0.7629832,9.747499
1692386487849,1.4181666,-0.7917298,9.699589
1692386487889,1.3990022,-0.7246544,9.680425
1692386487889,1.3618711,-0.6300301,9.65048
1692386487930,1.3606733,-0.6767433,9.679227
1692386487930,1.3331245,-0.65757895,9.669644
1692386487971,1.2672468,-0.6000857,9.669644
1692386487971,1.1726226,-0.5150436,9.631315
1692386488011,1.143876,-0.45755038,9.630117
1692386488011,1.1342937,-0.52462584,9.640898
1692386488051,1.0863826,-0.56175685,9.669644
1692386488051,1.0672183,-0.59050345,9.640898
1692386488093,1.0672183,-0.6000857,9.631315
1692386488093,1.0492517,-0.6096679,9.660062
1692386488133,1.0300872,-0.6096679,9.679227
1692386488133,1.0193073,-0.742621,9.7079735
1692386488173,1.0109228,-0.68632555,9.65048
1692386488173,0.96301174,-0.6288323,9.669644
1692386488215,0.8959363,-0.7042922,9.717555
1692386488215,0.8863541,-0.8084987,9.794213
1692386488254,0.95223176,-0.76058763,9.869673
1692386488254,1.0851849,-0.731841,9.908002
1692386488296,1.1714247,-0.64679897,9.802597
1692386488296,1.143876,-0.49468142,9.678029
1692386488336,1.0959649,-0.5521746,9.65048
1692386488336,1.0492517,-0.6000857,9.592987
1692386488377,0.99295616,-0.56295466,9.4791975
1692386488377,0.98337394,-0.44796816,9.478
1692386488417,1.0217028,-0.36292607,9.487582
1692386488418,1.0025383,-0.36292607,9.487582
1692386488459,1.0121206,-0.43838596,9.535493
1692386488459,1.0875804,-0.40963933,9.620536
1692386488498,1.1726226,-0.38089272,9.6397
1692386488498,1.191787,-0.43838596,9.678029
1692386488539,1.1630403,-0.475517,9.697193
1692386488539,1.1630403,-0.49468142,9.72594
1692386488580,1.143876,-0.5809213,9.716357
1692386488580,1.0588338,-0.4563526,9.697193
1692386488621,0.98337394,-0.37011272,9.676831
1692386488621,0.95462734,-0.4850992,9.649282
1692386488670,0.9162985,-0.5809213,9.65048
1692386488670,0.86838746,-0.5893057,9.697193
1692386488702,0.89713407,-0.5521746,9.687611
1692386488702,0.89713407,-0.523428,9.658864
1692386488743,0.86838746,-0.5701413,9.697193
1692386488743,0.85880524,-0.5605591,9.72594
1692386488783,0.8204764,-0.60847014,9.706776
1692386488783,0.89713407,-0.5797235,9.764269
1692386488824,1.0300872,-0.4850992,9.772653
1692386488824,1.0863826,-0.46593478,9.772653
1692386488864,1.020505,-0.46473703,9.801399
1692386488864,1.0492517,-0.523428,9.716357
1692386488905,0.9917584,-0.6192501,9.669644
1692386488905,0.85880524,-0.6851278,9.679227
1692386488945,0.9162985,-0.5605591,9.706776
1692386488945,0.8779697,-0.6276345,9.679227
1692386488985,0.94384736,-0.6755456,9.669644
1692386488985,0.93426514,-0.7138744,9.698391
1692386489027,0.8959363,-0.8001143,9.670842
1692386489027,0.8959363,-0.8863541,9.66126
1692386489067,1.009725,-0.84802526,9.595382
1692386489067,1.0193073,-0.86838746,9.576218
1692386489108,1.1235137,-0.9450451,9.539086
1692386489108,1.0672183,-0.9162985,9.566635
1692386489148,0.96301174,-0.8959363,9.576218
1692386489148,0.8767719,-0.9905606,9.643293
1692386489189,0.89473855,-1.133096,9.739116
1692386489189,0.8288609,-1.0660205,9.795411
1692386489229,0.91510075,-0.8468275,9.784631
1692386489229,1.0013406,-0.6755456,9.746302
1692386489269,1.0276916,-0.9905606,9.833739
1692386489270,0.95223176,-1.0276916,9.795411
1692386489311,1.0480539,-0.7522032,9.717555
1692386489311,1.1151294,-0.70548993,9.679227
1692386489351,1.2193358,-0.6012835,9.631315
1692386489351,1.2193358,-0.59170127,9.584602
1692386489392,1.1822047,-0.55337244,9.631315
1692386489392,1.143876,-0.5150436,9.621734
1692386489432,1.116327,-0.3713105,9.601371
1692386489432,1.1738203,-0.30543283,9.601371
1692386489475,1.191787,-0.5437902,9.592987
1692386489475,1.1151294,-0.6683589,9.507944
1692386489514,1.1342937,-0.6587767,9.565437
1692386489514,1.1151294,-0.6192501,9.621734
1692386489555,1.2480824,-0.6300301,9.57502
1692386489555,1.2959934,-0.57373464,9.422902
1692386489595,1.3738489,-0.31980616,9.059977
1692386489595,1.554713,-0.1688864,8.821619
1692386489635,1.3738489,-0.5401969,8.88031
1692386489636,0.7833454,-0.81328976,9.166578
1692386489684,0.6875233,-1.0013406,9.51034
1692386489684,0.592899,-0.8767719,9.49956
1692386489717,0.71626997,-0.91390294,9.624128
1692386489717,0.9043208,-0.8264653,9.917583
1692386489757,0.99894506,-0.81568533,10.146359
1692386489757,1.1043493,-0.69231445,10.087668
1692386489798,1.2756313,-0.61685455,10.040955
1692386489798,1.5499219,-0.7138744,10.0217905
