time,x,y,z
1703572912716,3.3765302,-2.5368893,8.888695
1703572912717,3.4579787,-2.4650226,8.785686
1703572912751,3.4831321,-2.2817628,8.682677
1703572912752,3.4855278,-2.2051053,8.658721
1703572912776,3.45199,-2.1871386,8.656326
1703572912777,3.4388144,-2.229061,8.689863
1703572912830,3.4855278,-2.2913451,8.776103
1703572912831,3.4831321,-2.3536296,8.81563
1703572912865,3.5274498,-2.3811784,8.820421
1703572912866,3.5657787,-2.3608162,8.81563
1703572912896,3.5921297,-2.351234,8.8120365
1703572912897,3.5406253,-2.3416517,8.802455
1703572912925,3.531043,-2.377585,8.82641
1703572912927,3.4915166,-2.346443,8.795268
1703572912963,3.4795387,-2.3009274,8.759335
1703572912964,3.4903188,-2.287752,8.773708
1703572913002,3.5022964,-2.3105097,8.8120365
1703572913003,3.5238564,-2.3200917,8.851563
1703572913046,3.5130765,-2.3153007,8.887497
1703572913047,3.510681,-2.266192,8.931814
1703572913084,3.5753608,-2.2422364,8.909057
1703572913086,3.5466142,-2.229061,8.877914
1703572913125,3.5274498,-2.2015119,8.874321
1703572913126,3.5717676,-2.2182808,8.873123
1703572913167,3.6148875,-2.2206764,8.876717
1703572913167,3.5981185,-2.2039075,8.905463
1703572913209,3.632854,-2.1679742,8.881508
1703572913210,3.669985,-2.185941,8.904265
1703572913247,3.6663918,-2.1835454,8.894683
1703572913247,3.6520185,-2.1631832,8.898276
1703572913287,3.6472273,-2.1727653,8.846772
1703572913288,3.6663918,-2.1296453,8.822817
1703572913328,3.6400406,-2.1140742,8.814432
1703572913329,3.6100965,-2.0769434,8.822817
1703572913368,3.5921297,-2.09491,8.820421
1703572913369,3.5597897,-2.0985034,8.831202
1703572913408,3.5166698,-2.0805366,8.907859
1703572913409,3.5238564,-2.0446033,9.002483
1703572913450,3.5502076,-1.9907035,9.028834
1703572913450,3.543021,-1.912848,9.088723
1703572913493,3.7813783,-1.6649084,9.034823
1703572913493,3.5945253,-1.8062459,9.222874
1703572913530,3.7430494,-1.6469418,9.382178
1703572913531,3.7849717,-1.7655215,9.376189
1703572913571,3.804136,-1.7906748,9.329476
1703572913572,3.8280916,-1.8182237,9.360618
1703572913613,3.7143028,-1.6277773,9.340256
1703572913613,3.648425,-1.5403397,9.248027
1703572913654,3.6148875,-1.5786686,9.103096
1703572913654,3.4903188,-1.6720951,9.014461
1703572913696,3.3417945,-1.6469418,9.009669
1703572913696,3.2028525,-1.6337662,8.983318
1703572913734,3.135777,-1.5523175,8.964154
1703572913735,3.0758884,-1.5738775,8.964154
1703572913774,3.0219884,-1.5595042,8.958165
1703572913775,3.0387573,-1.6960505,8.994099
1703572913929,3.0591195,-1.7822905,8.9689455
1703572913930,3.0255818,-1.7271928,8.9821205
1703572913931,2.9992306,-1.6397551,8.950978
1703572913931,2.9728796,-1.5056043,8.88031
1703572913933,2.9453309,-1.634964,8.8839035
1703572913935,2.907002,-1.7667193,8.933012
1703572913936,2.8111799,-1.7643238,9.007275
1703572913937,2.709369,-1.725995,9.057581
1703572914003,2.596778,-1.704435,9.083932
1703572914004,2.490176,-1.7763015,9.154601
1703572914028,2.4087272,-1.7810926,9.2959385
1703572914029,2.3739917,-1.634964,9.376189
1703572914063,2.3811784,-1.3870244,9.371398
1703572914064,2.453045,-1.3486956,9.379783
1703572914099,2.4877803,-1.3690578,9.446858
1703572914100,2.5332959,-1.3498933,9.469616
1703572914144,2.575218,-1.3654644,9.442067
1703572914145,2.553658,-1.298389,9.454044
1703572914183,2.5297027,-1.2157425,9.388167
1703572914183,2.5009558,-1.1941825,9.371398
1703572914221,2.4087272,-1.0995582,9.26839
1703572914221,2.3739917,-1.057636,9.220478
1703572914262,2.3284762,-1.0121206,9.183348
1703572914263,2.3164985,-0.9809784,9.20371
1703572914302,2.3584206,-0.8492231,9.17137
1703572914303,2.3895628,-0.83964086,9.195325
1703572914344,2.4111228,-0.8204764,9.339058
1703572914345,2.4925716,-0.51863694,9.5247135
1703572914383,2.4889781,-0.0023955517,9.854102
1703572914383,2.4135182,0.48390144,10.395496
1703572914425,2.260203,1.2935979,11.219566
1703572914426,2.1128767,2.2434342,12.656898
1703572914465,2.2518187,3.2495658,14.878772
1703572914466,2.2937407,3.916727,16.883848
1703572914508,2.3416517,3.1549416,18.393045
1703572914509,2.6051624,0.5988879,19.159622
1703572914546,2.6698422,-3.0471418,19.043438
1703572914547,2.8998153,-4.7204347,17.397694
1703572914586,3.2411814,-5.1420517,15.476461
1703572914587,3.3777277,-5.4642534,14.266707
1703572914628,3.3525746,-5.2546425,12.787455
1703572914629,3.3968923,-5.080965,11.675919
1703572914670,3.313048,-5.695424,10.690149
1703572914671,3.584943,-6.2583785,9.539086
1703572914709,3.4148588,-5.4367046,7.1591063
1703572914710,3.1501505,-3.3597612,4.156282
1703572914751,3.024384,-1.506802,1.298389
1703572914753,3.1381726,0.025153292,-1.3486956
1703572914790,3.033966,1.1570514,-4.1179533
1703572914792,2.5500648,1.3690578,-5.6750617
1703572914830,2.0649655,0.9079141,-6.0835032
1703572914831,1.9751323,0.9905606,-7.608272
1703572914871,2.4805937,2.8039932,-11.218369
1703572914872,1.5044065,7.0501084,-18.851793
1703572914911,1.533153,7.7735653,-18.818256
1703572914912,13.636678,8.834794,-10.1200075
1703572915120,11.388453,19.444693,-3.9454737
1703572915121,16.407133,3.606503,5.37442
1703572915122,15.562701,-10.523659,3.745445
1703572915123,23.71716,-18.022932,7.1411395
1703572915125,51.748707,-59.2899,-16.364014
1703572915126,42.68514,-50.14369,3.7011273
1703572915127,19.75372,-23.96989,17.288696
1703572915128,5.5744486,-14.741027,22.781696
1703572915130,0.6935122,-16.840729,20.635283
1703572915131,0.20002857,-17.094656,17.785772
1703572915187,0.54738355,-11.705863,14.4427805
1703572915188,2.6027668,-7.3543434,10.585943
1703572915213,4.0317135,-6.5338674,8.173622
1703572915214,3.5250542,-4.9001007,7.1183815
1703572915239,3.1381726,-4.8222456,6.790191
1703572915241,3.2555547,-5.53612,6.363783
1703572915279,3.9394846,-5.52534,6.2487965
1703572915279,4.5383725,-4.8426075,5.791246
1703572915321,4.409013,-3.4148588,5.4055624
1703572915323,3.8532448,-2.3967495,5.411551
1703572915359,3.0004284,-1.9248258,5.678655
1703572915360,2.4231005,-1.6481395,6.246401
1703572915398,1.6912595,-1.0372739,6.3242564
1703572915399,0.33058614,-0.8420364,6.386541
1703572915438,-0.44916594,-0.86838746,7.1471286
1703572915439,-0.7366321,-1.0803938,7.9364624
1703572915479,-0.9162985,-0.8492231,8.198775
1703572915480,-1.0971626,-0.54738355,7.960418
1703572915521,-1.2588624,-0.614459,7.6981053
1703572915522,-1.4145732,-0.74022543,7.869387
1703572915561,-1.394211,-0.7569943,8.463484
1703572915561,-1.2816201,-1.1067449,9.18694
1703572915602,-1.3307289,-0.9857695,9.347443
1703572915603,-1.3055756,-0.83604753,9.074349
1703572915644,-1.2049625,-0.9917584,9.174963
1703572915645,-1.0660205,-1.2349069,9.633711
1703572915683,-1.0360761,-1.2145447,9.838531
1703572915684,-1.1558536,-1.2912023,9.787026
1703572915723,-1.2600602,-1.276829,9.563043
1703572915725,-1.3690578,-1.4169688,9.382178
1703572915764,-1.3774422,-1.5343509,9.324685
1703572915765,-1.4097822,-1.6325685,9.240841
1703572915805,-1.426551,-1.6409528,9.161787
1703572915805,-1.3822333,-1.6649084,8.949781
1703572915847,-1.3654644,-1.7080283,8.748554
1703572915848,-1.3415089,-1.9559679,8.871925
1703572915886,-1.2492802,-1.9559679,8.8839035
1703572915886,-1.0708116,-1.8421792,8.839585
1703572915927,-0.9905606,-1.6720951,8.785686
1703572915928,-0.84802526,-1.8517615,9.173765
1703572915966,-0.68153447,-1.9954945,9.695995
1703572915967,-0.5401969,-2.0853276,10.000231
1703572916007,-0.48150587,-2.05179,9.92477
1703572916008,-0.4611437,-1.9044635,9.7798395
1703572916048,-0.39047492,-1.8637391,9.767862
1703572916048,-0.27548844,-2.0002856,9.781037
1703572916093,-0.21080855,-2.121261,9.646887
1703572916094,-0.088635415,-2.2566097,9.443265
1703572916294,0.068273224,-2.2506208,9.311509
1703572916295,0.18445748,-2.14881,9.112679
1703572916296,0.26830178,-2.169172,8.831202
1703572916297,0.33298168,-2.2051053,8.464682
1703572916298,0.5174391,-2.624327,8.706633
1703572916298,0.79891646,-2.6566668,8.84797
1703572916299,0.9043208,-2.1631832,8.706633
1703572916300,0.95822066,-2.0541856,8.525768
1703572916301,1.0408672,-2.292543,9.015658
1703572916302,1.3762444,-2.4302871,9.808586
1703572916349,1.7667193,-2.158392,10.343992
1703572916350,1.9511768,-1.8445748,10.346388
1703572916374,2.2242696,-2.0074723,10.685358
1703572916375,2.5261092,-1.9727368,10.957253
1703572916414,2.6303158,-1.8266082,10.980011
1703572916414,2.6626556,-1.7427639,10.778785
1703572916454,2.6961935,-1.7439616,10.66859
1703572916455,2.7381155,-1.624184,10.418254
1703572916495,2.67104,-1.4936265,10.190677
1703572916496,2.575218,-1.5056043,10.039757
1703572916536,2.5596468,-1.5858552,9.955913
1703572916537,2.4710116,-1.6445462,9.912793
1703572916577,2.4302871,-1.6756884,9.804993
1703572916578,2.399145,-1.7487527,9.616942
1703572916619,2.4350781,-1.8469703,9.517527
1703572916620,2.4278915,-1.9667479,9.468418
1703572916658,2.3979473,-2.0158567,9.382178
