time,x,y,z
1703571456931,-0.6192501,0.4311993,9.778642
1703571456933,-0.5797235,0.38328826,9.869673
1703571456936,-0.5509769,0.2515329,9.955913
1703571456938,-0.5174391,0.23715961,9.984659
1703571456940,-0.48150587,0.25871956,9.943934
1703571456942,-0.54139465,0.21919298,9.928364
1703571456989,-0.54259247,0.1784686,9.918781
1703571456991,-0.4850992,0.1437331,9.862486
1703571457036,-0.48869252,0.19403969,9.839728
1703571457038,-0.4503637,0.12816201,9.796609
1703571457096,-0.4551548,0.18206193,9.813377
1703571457098,-0.44317704,0.22518185,9.759478
1703571457138,-0.4503637,0.21679743,9.743906
1703571457140,-0.41922155,0.22158852,9.739116
1703571457144,-0.40844154,0.14612865,9.755884
1703571457146,-0.38927713,0.19643524,9.755884
1703571457187,-0.37490383,0.24195072,9.731929
1703571457189,-0.41323265,0.21080855,9.772653
1703571457231,-0.49947253,0.26111513,9.757082
1703571457233,-0.4910881,0.3210039,9.706776
1703571457268,-0.43479264,0.33417946,9.722346
1703571457270,-0.3856838,0.26111513,9.802597
1703571457288,-0.39406824,0.2383574,9.87686
1703571457290,-0.38927713,0.26830178,9.84452
1703571457333,-0.37011272,0.2826751,9.834937
1703571457335,-0.32579502,0.25512624,9.82296
1703571457374,-0.3018395,0.26590624,9.848113
1703571457376,-0.35933274,0.21559966,9.8648815
1703571457425,-0.3916727,0.2515329,9.808586
1703571457427,-0.3928705,0.36292607,9.753489
1703571457467,-0.40005714,0.34615722,9.764269
1703571457469,-0.43838596,0.33058614,9.783433
1703571457502,-0.39047492,0.34016833,9.785829
1703571457503,-0.3772994,0.34376165,9.7930155
1703571457554,-0.40963933,0.27429065,9.807388
1703571457556,-0.45395705,0.2970484,9.81218
1703571457589,-0.44437483,0.26470846,9.802597
1703571457591,-0.43718818,0.24913737,9.767862
1703571457635,-0.37490383,0.26949957,9.729533
1703571457637,-0.34615722,0.22877519,9.701984
1703571457652,-0.34016833,0.1784686,9.697193
1703571457654,-0.3521461,0.22158852,9.673238
1703571457696,-0.3317839,0.21679743,9.700787
1703571457697,-0.4012549,0.20721522,9.733127
1703571457737,-0.38448605,0.25512624,9.753489
1703571457738,-0.39526603,0.2527307,9.771455
1703571457777,-0.4012549,0.23596184,9.808586
1703571457779,-0.3964638,0.2730929,9.830146
1703571457818,-0.3725083,0.2970484,9.777444
1703571457819,-0.36771718,0.3377728,9.740313
1703571457857,-0.31860837,0.3317839,9.737918
1703571457860,-0.3665194,0.31142172,9.787026
1703571457901,-0.37370604,0.2922573,9.82775
1703571457902,-0.36532164,0.30064175,9.837333
1703571457941,-0.40245268,0.25632402,9.8780575
1703571457945,-0.44677037,0.2227863,9.868475
1703571457984,-0.43838596,0.17367749,9.84452
1703571457987,-0.48150587,0.19643524,9.861288
1703571458023,-0.47312146,0.23236851,9.804993
1703571458024,-0.48270366,0.23476407,9.818169
1703571458247,-0.46593478,0.20122634,9.833739
1703571458248,-0.4419793,0.25871956,9.850509
1703571458250,-0.39766157,0.22997296,9.839728
1703571458251,-0.3521461,0.19883078,9.858892
1703571458254,-0.26231292,0.27429065,9.760675
1703571458255,-0.26590624,0.2730929,9.710368
1703571458257,-0.33897057,0.31261948,9.709171
1703571458259,-0.39885935,0.3269928,9.664853
1703571458261,-0.42281488,0.3066306,9.730731
1703571458262,-0.47431922,0.27429065,9.782235
1703571458319,-0.5809213,0.24674182,9.7930155
1703571458321,-0.5485813,0.2479396,9.903211
1703571458322,-0.4419793,0.20841299,9.966693
1703571458324,-0.4072438,0.15930419,10.085273
1703571458354,-0.32819057,0.11618426,10.07569
1703571458356,-0.24913737,0.20601743,10.002625
1703571458387,-0.2227863,0.1832597,9.97867
1703571458388,-0.277884,0.2132041,9.875662
1703571458427,-0.40365046,0.16409528,9.858892
1703571458428,-0.5138458,0.16768861,9.776246
1703571458472,-0.5581635,0.14013977,9.716357
1703571458474,-0.5210325,0.11977758,9.722346
1703571458516,-0.5521746,0.14013977,9.745104
1703571458518,-0.566548,0.16050196,9.705578
1703571458551,-0.6132612,0.14972198,9.6936
1703571458553,-0.6396123,0.12576646,9.662457
1703571458591,-0.6060746,0.046713255,9.687611
1703571458594,-0.58211905,0.09941539,9.679227
1703571458632,-0.55337244,0.12696424,9.656468
1703571458634,-0.55337244,0.035933275,9.753489
1703571458671,-0.5114503,0.062284343,9.731929
1703571458673,-0.48869252,0.14972198,9.692402
1703571458711,-0.5102525,0.14493087,9.729533
1703571458713,-0.54259247,0.081448756,9.7930155
1703571458752,-0.55936134,0.19403969,9.782235
1703571458754,-0.5401969,0.21200632,9.800201
