time,x,y,z
1692387365907,1.982319,-0.53899914,9.552262
1692387365907,1.1630403,-0.822872,9.554658
1692387365928,1.4061888,-0.8204764,9.6361065
1692387365928,1.5511197,-0.83964086,9.715159
1692387365981,1.2480824,-0.6755456,9.664853
1692387365981,1.4457154,-0.8552119,9.5858
1692387366005,1.4061888,-0.9162985,9.5858
1692387366005,1.5115931,-0.88276076,9.646887
1692387366046,1.4924287,-0.8084987,9.658864
1692387366046,1.5127909,-0.85401416,9.615745
1692387366087,1.4732642,-0.8839586,9.630117
1692387366087,1.437331,-0.8168831,9.642096
1692387366127,1.4121777,-0.8276631,9.658864
1692387366127,1.4564954,-0.80490535,9.640898
1692387366170,1.4433199,-0.7510055,9.637304
1692387366170,1.4457154,-0.77016985,9.705578
1692387366208,1.496022,-0.881563,9.73672
1692387366208,1.5175819,-0.812092,9.685215
1692387366252,1.4900331,-0.77615875,9.673238
1692387366252,1.4924287,-0.7929276,9.657666
1692387366289,1.4540999,-0.8025098,9.6097555
1692387366289,1.3834311,-0.801312,9.555856
1692387366331,1.4277488,-0.79053205,9.559449
1692387366331,1.3654644,-0.8204764,9.469616
1692387366371,1.2456869,-0.8348498,9.445661
1692387366371,1.2708402,-0.86838746,9.51034
1692387366412,1.426551,-0.8180809,9.492373
1692387366412,1.502011,-0.87916744,9.5319
1692387366452,1.5487242,-0.95462734,9.6936
1692387366452,1.5379442,-0.9701984,9.809784
1692387366492,1.6098107,-0.91510075,9.804993
1692387366493,1.6146019,-0.8432342,9.75828
1692387366534,1.5499219,-0.8216742,9.716357
1692387366534,1.4792532,-0.8767719,9.723544
1692387366575,1.3331245,-0.8384431,9.649282
1692387366575,1.2684447,-0.8025098,9.572624
1692387366614,1.2576646,-0.8264653,9.548669
1692387366614,1.207358,-0.92947406,9.655271
1692387366656,1.2193358,-1.0217028,9.776246
1692387366656,1.207358,-1.0300872,9.783433
1692387366697,1.1786114,-0.92348516,9.777444
1692387366697,1.2085558,-0.9222874,9.794213
1692387366736,1.228918,-0.97259396,9.821762
1692387366736,1.2301158,-0.98936284,9.794213
1692387366778,1.3451023,-0.97858286,9.772653
1692387366778,1.3906177,-1.0085273,9.730731
1692387366817,1.437331,-1.0552405,9.72594
1692387366817,1.4085844,-1.0612293,9.624128
1692387366858,1.2672468,-1.0300872,9.570229
1692387366858,1.2504779,-1.1151294,9.561845
1692387366899,1.2205336,-1.0720093,9.558251
1692387366900,1.1558536,-1.0432627,9.525911
1692387366941,1.0815916,-1.0815916,9.464825
1692387366941,0.95462734,-1.1522603,9.433682
1692387366981,0.8875519,-1.2780268,9.540284
1692387366981,0.87078303,-1.4001999,9.5247135
1692387367022,0.7725654,-1.3738489,9.361815
1692387367022,0.68153447,-1.3223445,9.221676
1692387367061,0.6899189,-1.3954089,9.240841
1692387367061,0.7677743,-1.5415375,9.540284
1692387367102,1.0983604,-1.6517329,9.808586
1692387367102,1.3510911,-1.5283619,9.839728
1692387367142,1.4924287,-1.3223445,9.740313
1692387367142,1.7331816,-1.1726226,9.578613
1692387367184,1.8852992,-1.1941825,9.506746
1692387367184,1.9535724,-1.0911738,9.470814
1692387367223,1.9643524,-0.961814,9.448055
1692387367223,1.993099,-1.0181094,9.49956
1692387367265,2.0757456,-0.9210896,9.584602
1692387367265,2.1440187,-0.88874966,9.646887
1692387367305,2.2829607,-0.8959363,9.570229
1692387367305,2.3632116,-0.8180809,9.446858
1692387367346,2.3943539,-0.6671611,9.388167
1692387367346,2.5081425,-0.49707696,9.438474
1692387367386,2.6937978,-0.55337244,9.5858
1692387367386,2.8255532,-0.603679,9.646887
1692387367428,2.8327398,-0.55936134,9.46722
1692387367428,2.772851,-0.49348363,9.353432
1692387367467,2.6410956,-0.5198347,9.349838
1692387367467,2.5524602,-0.71507215,9.536691
1692387367509,2.5512626,-0.7569943,9.598975
1692387367509,2.5225158,-0.7474121,9.558251
1692387367549,2.5464714,-0.77496094,9.530703
