time,x,y,z
1703571696300,2.3811784,1.5343509,9.519922
1703571696302,2.409925,1.693655,9.578613
1703571696308,2.4326828,1.6984462,9.676831
1703571696309,2.383574,1.7559394,9.576218
1703571696351,2.3320696,1.8134326,9.478
1703571696353,2.3644094,1.7655215,9.464825
1703571696395,2.4398694,1.7906748,9.414518
1703571696396,2.368003,1.8290037,9.261203
1703571696449,2.3692005,1.6313707,9.311509
1703571696450,2.314103,1.5403397,9.379783
1703571696452,2.2518187,1.5379442,9.357025
1703571696455,2.3093119,1.6014262,9.334267
1703571696499,2.3979473,1.6649084,9.225269
1703571696501,2.473407,1.6062174,9.216885
1703571696542,2.4374738,1.6984462,9.242039
1703571696544,2.3308718,1.6325685,9.345047
1703571696580,2.3979473,1.5391419,9.334267
1703571696582,2.4242983,1.6157995,9.327081
1703571696615,2.490176,1.4876375,9.383376
1703571696616,2.5668335,1.4133755,9.449253
1703571696651,2.4446604,1.4481109,9.476802
1703571696653,2.3847716,1.5511197,9.339058
1703571696695,2.3584206,1.5678885,9.2240715
1703571696697,2.2997296,1.6289752,9.159391
1703571696735,2.3392563,1.6217885,9.257609
1703571696736,2.447056,1.5523175,9.301927
1703571696775,2.4302871,1.5523175,9.3163
1703571696777,2.4698138,1.5978329,9.3091135
1703571696816,2.5177248,1.5044065,9.376189
1703571696818,2.5668335,1.5415375,9.395353
1703571696856,2.4698138,1.6157995,9.315103
1703571696858,2.4626272,1.5930419,9.34864
1703571696901,2.5141315,1.5642952,9.307916
1703571696903,2.511736,1.5115931,9.258807
1703571696940,2.5033514,1.5343509,9.277971
1703571696942,2.4554405,1.5858552,9.369002
1703571696979,2.447056,1.6062174,9.385772
1703571696980,2.4590337,1.5583063,9.397749
1703571697017,2.4925716,1.5259664,9.347443
1703571697019,2.4614294,1.5738775,9.304322
1703571697059,2.4207048,1.5630975,9.318696
1703571697060,2.399145,1.5044065,9.390562
1703571697098,2.4123206,1.5127909,9.469616
1703571697100,2.4877803,1.6098107,9.4205065
1703571697142,2.510538,1.5571085,9.34864
1703571697143,2.5764158,1.4109799,9.365409
1703571697180,2.5309002,1.4289466,9.351036
1703571697181,2.4302871,1.4912308,9.324685
1703571697221,2.3955517,1.485242,9.297136
1703571697223,2.4374738,1.5199776,9.276773
1703571697261,2.4111228,1.6337662,9.285158
1703571697262,2.4326828,1.5774708,9.263598
1703571697301,2.4207048,1.5367464,9.358223
1703571697303,2.3907607,1.5343509,9.379783
1703571697344,2.3703983,1.5103953,9.410925
1703571697345,2.3979473,1.5247686,9.373794
1703571697385,2.4386716,1.5044065,9.287554
1703571697387,2.451847,1.4433199,9.410925
1703571697590,2.4722092,1.4493088,9.475605
1703571697591,2.463825,1.4768575,9.409727
1703571697593,2.4015405,1.543933,9.367805
1703571697594,2.351234,1.5559108,9.360618
1703571697596,2.351234,1.5379442,9.315103
1703571697597,2.3871672,1.4864398,9.245631
1703571697599,2.457836,1.4624842,9.215687
1703571697600,2.473407,1.4936265,9.242039
1703571697603,2.4781983,1.4600887,9.378585
1703571697604,2.453045,1.5056043,9.336662
1703571697655,2.4207048,1.5451308,9.248027
1703571697656,2.4003427,1.502011,9.231258
1703571697686,2.3632116,1.5858552,9.129447
1703571697687,2.4698138,1.2420936,9.243236
1703571697726,2.3955517,1.2361046,9.378585
1703571697727,2.2733786,1.228918,9.398947
1703571697759,2.2422364,1.2780268,9.353432
1703571697760,2.260203,1.3714533,9.311509
1703571697793,2.3440473,1.4888353,9.285158
1703571697795,2.4183095,1.5367464,9.328279
1703571697831,2.494967,1.5211753,9.497165
1703571697832,2.4841871,1.5607018,9.638502
1703571697875,2.4494514,1.5786686,9.632513
1703571697877,2.4278915,1.543933,9.549867
1703571697913,2.4398694,1.5523175,9.4660225
1703571697914,2.4937692,1.4421221,9.478
1703571697952,2.6063602,1.404991,9.472012
1703571697954,2.494967,1.42176,9.433682
1703571697993,2.4398694,1.2912023,9.529505
1703571697994,2.431485,1.3630689,9.4660225
1703571698032,2.5309002,1.474462,9.500758
1703571698034,2.7333245,1.6122062,9.602569
1703571698074,2.9776707,1.4085844,9.785829
1703571698075,2.9429352,1.6505351,10.024186
1703571698114,2.8770576,1.6948528,9.945132
1703571698116,2.650678,2.07335,9.240841
1703571698155,2.5285048,1.5690863,9.167776
1703571698157,2.624327,0.26949957,9.79062
1703571698195,2.2314563,-0.5090547,9.836135
1703571698196,1.7679172,-0.29824618,9.8648815
1703571698236,1.4840442,0.36771718,9.475605
1703571698238,1.3846289,0.4455726,9.383376
1703571698280,1.3343222,0.5653502,9.470814
1703571698281,1.1091404,0.83005863,9.620536
1703571698316,1.1606448,0.8037076,9.836135
1703571698318,1.2121491,0.8731786,9.881651
1703571698360,1.0336806,1.4576932,9.480395
1703571698362,0.8983319,1.8146304,9.073152
1703571698398,0.92827624,2.0577788,8.894683
1703571698400,0.8863541,2.088921,8.974935
1703571698440,0.89354074,1.821817,9.153403
1703571698441,0.9330674,1.5894486,9.1653805
1703571698479,0.86000305,1.5367464,9.062372
1703571698481,0.822872,1.543933,8.98811
1703571698520,0.9737917,1.3726511,8.976132
1703571698523,1.111536,1.4145732,8.917441
1703571698560,1.5271642,1.6421506,8.651535
1703571698562,2.2146876,2.3320696,7.9340672
1703571698814,2.548867,2.9201775,6.714731
1703571698815,2.8255532,3.2687302,5.074976
1703571698818,2.7596755,3.1082282,3.6041074
