time,x,y,z
1703571247348,1.004934,-0.6611723,9.679227
1703571247350,1.0492517,-0.61206347,9.643293
1703571247352,1.0264939,-0.6060746,9.669644
1703571247354,0.9905606,-0.6647656,9.673238
1703571247412,1.0037361,-0.70668775,9.664853
1703571247414,1.009725,-0.7569943,9.684017
1703571247416,1.0193073,-0.7486099,9.662457
1703571247418,1.0935693,-0.6827322,9.668447
1703571247457,1.122316,-0.7018966,9.692402
1703571247459,1.1235137,-0.7138744,9.701984
1703571247523,1.0959649,-0.6743478,9.710368
1703571247527,1.0456583,-0.74621433,9.700787
1703571247530,1.0456583,-0.6899189,9.718753
1703571247532,1.074405,-0.7078855,9.70438
1703571247572,1.1043493,-0.7222588,9.687611
1703571247575,1.1295027,-0.6539856,9.652875
1703571247629,1.0983604,-0.68393,9.695995
1703571247631,1.1103382,-0.65638113,9.691204
1703571247705,1.122316,-0.6875233,9.675633
1703571247707,1.0372739,-0.70548993,9.681622
1703571247712,1.0612293,-0.6995011,9.697193
1703571247714,1.0600317,-0.6983033,9.712764
1703571247721,1.0935693,-0.72704995,9.716357
1703571247723,1.1187227,-0.7246544,9.77385
1703571247768,1.0971626,-0.7102811,9.716357
1703571247770,1.0923716,-0.7030944,9.703182
1703571247822,1.0983604,-0.7366321,9.722346
1703571247824,1.0815916,-0.7018966,9.7079735
1703571247873,1.1019537,-0.71507215,9.7079735
1703571247876,1.0732071,-0.7390277,9.712764
1703571247886,1.0779983,-0.6683589,9.737918
1703571247887,1.052845,-0.67794114,9.70438
1703571247928,1.0624272,-0.6743478,9.703182
1703571247930,1.0456583,-0.62523896,9.658864
1703571247973,1.0863826,-0.6491945,9.637304
1703571247975,1.0935693,-0.64679897,9.674436
1703571248022,1.1510626,-0.6396123,9.664853
1703571248024,1.1402826,-0.6827322,9.667249
1703571248071,1.1079426,-0.6887211,9.6947975
1703571248074,1.1103382,-0.6995011,9.686413
1703571248086,1.0923716,-0.7282477,9.74151
1703571248089,1.0851849,-0.71267664,9.712764
1703571248130,1.1067449,-0.7378299,9.724742
1703571248132,1.1354915,-0.7522032,9.72594
1703571248172,1.143876,-0.7677743,9.673238
1703571248174,1.133096,-0.7941254,9.711566
1703571248228,1.0947671,-0.8564097,9.712764
1703571248230,1.0660205,-0.84802526,9.753489
1703571248271,1.0612293,-0.81568533,9.785829
1703571248273,1.079196,-0.72944546,9.724742
1703571248323,1.0768005,-0.7138744,9.713962
1703571248328,1.0648227,-0.6216456,9.751093
1703571248334,1.0887783,-0.61086565,9.742708
1703571248335,1.137887,-0.6791389,9.722346
1703571248379,1.1534581,-0.70548993,9.711566
1703571248381,1.1199204,-0.74142325,9.719951
1703571248423,1.1151294,-0.74022543,9.713962
1703571248426,1.143876,-0.753401,9.691204
1703571248474,1.1798092,-0.8084987,9.692402
1703571248478,1.1007559,-0.8432342,9.682819
1703571248697,1.0121206,-0.8216742,9.65048
1703571248699,0.9270785,-0.81927866,9.570229
1703571248701,0.9210896,-0.7833454,9.65048
1703571248703,1.0181094,-0.6887211,9.72594
1703571248706,1.1259093,-0.6995011,9.743906
1703571248710,1.143876,-0.7090833,9.723544
1703571248712,1.1354915,-0.6959078,9.796609
1703571248714,1.202567,-0.6288323,9.8061905
1703571248716,1.2708402,-0.59649235,9.915188
1703571248718,1.196578,-0.9594184,9.804993
1703571248720,1.1989737,-0.8168831,9.723544
1703571248722,1.1762159,-0.8384431,9.606162
1703571248763,1.0360761,-0.8372453,9.620536
1703571248765,1.0923716,-0.785741,9.620536
1703571248835,1.0660205,-0.88276076,9.667249
1703571248837,1.0768005,-0.9222874,9.715159
1703571248839,1.1450737,-0.99894506,9.706776
1703571248841,1.1259093,-1.0288894,9.663655
1703571248875,1.1187227,-1.020505,9.700787
1703571248877,1.1678314,-1.0588338,9.679227
1703571248920,1.228918,-1.0312849,9.648085
1703571248922,1.2420936,-1.0396694,9.638502
1703571248970,1.1151294,-0.8432342,9.6361065
1703571248972,1.1690292,-0.9246829,9.654073
1703571248980,1.1079426,-0.94863844,9.648085
1703571248982,1.1354915,-0.88874966,9.6397
1703571249035,1.0935693,-0.85042083,9.6947975
1703571249037,1.1199204,-0.7893343,9.775048
1703571249070,1.1726226,-0.801312,9.81218
1703571249072,1.2169403,-0.86479414,9.794213
