time,x,y,z
1692387078497,0.22039075,2.5776136,9.46722
1692387078497,0.17966637,2.538087,9.482791
1692387078521,0.23596184,2.5668335,9.406134
1692387078521,0.26351067,2.6518757,9.403738
1692387078574,0.30423507,2.7081711,9.379783
1692387078574,0.22877519,2.70338,9.419309
1692387078597,0.26351067,2.6398978,9.43488
1692387078597,0.3413661,2.59558,9.376189
1692387078637,0.32459724,2.6638534,9.293543
1692387078638,0.39047492,2.7177534,9.349838
1692387078678,0.4359904,2.645887,9.430089
1692387078678,0.32459724,2.6470845,9.397749
1692387078722,0.26351067,2.6375024,9.357025
1692387078722,0.3317839,2.7201488,9.396551
1692387078758,0.38089272,2.8087842,9.377387
1692387078758,0.31142172,2.756082,9.367805
1692387078799,0.21200632,2.7488954,9.317498
1692387078799,0.2862684,2.7692578,9.333069
1692387078840,0.49228588,2.7548845,9.461231
1692387078841,0.58211905,2.8279488,9.4241
1692387078881,0.34855276,2.8303442,9.414518
1692387078881,0.22637963,2.76806,9.413321
1692387078922,0.3210039,2.7740488,9.396551
1692387078922,0.38927713,2.7548845,9.317498
1692387078962,0.33897057,2.7476978,9.239643
1692387078962,0.4311993,2.7548845,9.198918
1692387079004,0.4503637,2.7920156,9.20371
1692387079005,0.3617283,2.7285333,9.282763
1692387079043,0.31261948,2.7153578,9.369002
1692387079043,0.35813498,2.7441044,9.3941555
1692387079084,0.39047492,2.7381155,9.400145
1692387079084,0.47791255,2.7069733,9.349838
1692387079124,0.523428,2.7536867,9.373794
1692387079124,0.51264805,2.8207622,9.349838
1692387079165,0.5521746,2.7668622,9.353432
1692387079165,0.5162414,2.763269,9.292345
1692387079205,0.46833035,2.7453022,9.260005
1692387079205,0.555768,2.7932131,9.310311
1692387079247,0.53301024,2.826751,9.361815
1692387079247,0.61206347,2.8291464,9.419309
1692387079288,0.6635678,2.9369464,9.383376
1692387079288,0.5809213,2.9105952,9.325883
1692387079328,0.48030812,2.8914309,9.304322
1692387079328,0.5138458,2.9632974,9.2959385
1692387079368,0.48869252,3.0411527,9.270785
1692387079368,0.603679,2.7692578,9.293543
1692387079409,0.031142171,2.9357486,9.592987
1692387079409,0.48390144,2.842322,9.517527
1692387079449,0.62643677,2.6961935,9.576218
1692387079449,0.36412385,2.8507066,9.48878
1692387079490,0.37370604,2.9632974,9.3091135
1692387079490,0.44677037,2.8866398,9.27318
1692387079530,0.34975055,2.794411,9.271982
1692387079530,0.32938835,2.8075864,9.221676
1692387079571,0.44437483,2.9034085,9.2108965
1692387079571,0.51863694,3.0315707,9.18694
1692387079611,0.5210325,3.1453593,9.198918
1692387079611,0.5785257,3.0387573,9.231258
1692387079652,0.5749324,2.9525175,9.276773
1692387079652,0.5653502,2.928562,9.313905
1692387079693,0.6072723,3.0207906,9.277971
1692387079693,0.54139465,3.189677,9.151008
1692387079733,0.47791255,3.0770862,9.201314
1692387079733,0.43718818,2.9501219,9.347443
1692387079775,0.45395705,2.7824333,9.436078
1692387079775,0.5378013,2.8974197,9.363013
1692387079815,0.50785697,3.104635,9.206105
1692387079815,0.4204193,3.0423505,9.162985
1692387079855,0.3557394,2.9393418,9.2240715
1692387079855,0.3868816,3.024384,9.246829
1692387079896,0.46713257,2.9597042,9.174963
1692387079896,0.5174391,2.9405396,9.057581
1692387079937,0.60248125,3.0351639,9.03123
1692387079937,0.65638113,3.0399551,9.009669
1692387079977,0.81568533,2.9860551,8.888695
1692387079977,0.50665915,3.0399551,8.990505
1692387080018,0.5378013,2.9716818,8.919837
1692387080018,0.49228588,2.9034085,8.857553
1692387080059,0.23476407,2.6830177,9.044405
1692387080059,0.277884,2.6470845,9.378585
1692387080099,0.4563526,2.7405112,9.407331
1692387080099,0.5294169,2.6135468,9.371398
1692387080140,0.5102525,2.4338806,9.327081
1692387080140,0.43718818,2.4554405,9.289949
1692387080181,0.55337244,2.5764158,9.311509
1692387080181,0.8695853,2.5895913,9.34864
1692387080221,0.8372453,2.4793959,9.412123
1692387080221,0.46353924,2.2937407,9.613349
1692387080262,0.39885935,2.1020966,9.9092
1692387080262,0.54259247,2.0745478,9.990648
1692387080302,0.5306147,2.2098963,9.8553
1692387080302,0.45275927,2.4027383,9.548669
1692387080343,0.30064175,2.2997296,9.4791975
1692387080343,0.33897057,2.2206764,9.571426
1692387080383,0.5485813,2.1811497,9.662457
1692387080383,0.7222588,2.2398407,9.684017
1692387080424,0.74980766,3.1273928,9.475605
1692387080424,0.48150587,3.6568096,9.644491
1692387080465,0.34376165,3.3142457,10.6889515
1692387080465,0.6539856,3.8161137,12.028065
1692387080515,0.9570229,4.577899,12.884475
1692387080515,0.57373464,3.6029096,13.8474865
1692387080546,-0.28387287,2.371596,15.537548
1692387080546,-0.8276631,1.0480539,16.671843
1692387080588,-1.426551,0.49827474,17.008417
1692387080588,-2.1260521,0.09222874,17.414463
1692387080626,-2.9345508,-0.8144876,17.509087
1692387080627,-3.8712115,-1.8900902,17.116217
1692387080668,-4.2353354,-4.413804,16.568832
1692387080668,-4.812663,-5.738544,15.934011
1692387080708,-4.9983187,-7.145931,14.02356
1692387080708,-4.971967,-8.095767,11.463912
