time,x,y,z
1703573162247,0.8528164,1.5175819,9.710368
1703573162248,0.8168831,1.6217885,9.652875
1703573162250,0.7737632,1.6972483,9.569031
1703573162251,0.72944546,1.8290037,9.52112
1703573162288,0.71507215,1.7703127,9.517527
1703573162289,0.72585213,1.7295883,9.569031
1703573162339,0.77496094,1.6301728,9.581009
1703573162339,0.7198633,1.6253818,9.552262
1703573162372,0.76178545,1.6385573,9.571426
1703573162373,0.8468275,1.6816772,9.525911
1703573162409,0.8564097,1.6972483,9.543878
1703573162410,0.80490535,1.7235994,9.501956
1703573162447,0.7378299,1.6888639,9.549867
1703573162448,0.7689721,1.6708972,9.660062
1703573162488,0.8204764,1.7116216,9.674436
1703573162489,0.85401416,1.7822905,9.60736
1703573162525,0.84562975,1.7212038,9.613349
1703573162526,0.77615875,1.704435,9.627722
1703573162570,0.70548993,1.6972483,9.645689
1703573162571,0.71507215,1.7475549,9.642096
1703573162605,0.7138744,1.7810926,9.626524
1703573162606,0.6012835,1.7235994,9.622931
1703573162649,0.6887211,1.7140172,9.555856
1703573162649,0.65638113,1.795466,9.582207
1703573162690,0.69231445,1.7559394,9.630117
1703573162690,0.6899189,1.6553262,9.625326
1703573162728,0.71507215,1.6505351,9.619338
1703573162729,0.7977187,1.7140172,9.600173
1703573162769,0.8324542,1.6948528,9.608558
1703573162769,0.8492231,1.6792817,9.6936
1703573162810,0.83005863,1.6038219,9.705578
1703573162811,0.8084987,1.752346,9.660062
1703573162850,0.80490535,1.7355772,9.594184
1703573162851,0.731841,1.7559394,9.522318
1703573162891,0.7474121,1.7942681,9.5247135
1703573162891,0.7030944,1.7607305,9.567833
1703573162931,0.6551834,1.8026526,9.57502
1703573162932,0.6336234,1.7092261,9.533098
1703573162972,0.6180523,1.7403682,9.536691
1703573162973,0.6204479,1.7930704,9.549867
1703573163013,0.63122785,1.7367749,9.614547
1703573163013,0.6336234,1.7667193,9.560647
1703573163055,0.614459,1.8182237,9.48878
1703573163056,0.5653502,1.7319839,9.52112
1703573163093,0.74142325,2.0218456,9.277971
1703573163094,0.56175685,1.6289752,9.591789
1703573163136,0.6204479,1.8601458,9.764269
1703573163137,0.72585213,1.7235994,9.749895
1703573163177,0.5869101,1.7643238,9.684017
1703573163178,0.63242567,1.7415661,9.700787
1703573163219,0.6587767,1.7858838,9.733127
1703573163220,0.5785257,1.7727082,9.692402
1703573163257,0.544988,1.7475549,9.631315
1703573163258,0.5509769,1.7439616,9.591789
1703573163420,0.5294169,1.7990593,9.595382
1703573163420,0.63242567,1.7715105,9.613349
1703573163421,0.69231445,1.7451594,9.582207
1703573163422,0.7629832,1.7403682,9.572624
1703573163423,0.72106105,1.7942681,9.54268
1703573163424,0.67195225,1.8457725,9.57502
1703573163425,0.7030944,1.8313992,9.60736
1703573163426,0.742621,1.7247972,9.614547
1703573163482,0.72944546,1.7691149,9.626524
1703573163483,0.70548993,1.8661348,9.658864
1703573163511,0.7042922,1.9871101,9.624128
1703573163512,0.65757895,2.0182524,9.565437
1703573163542,0.6683589,1.9439901,9.536691
1703573163543,0.66596335,1.8960792,9.507944
1703573163581,0.6695567,1.8876947,9.565437
1703573163583,0.7222588,1.8673325,9.533098
1703573163624,0.73543435,1.8852992,9.485187
1703573163625,0.7677743,1.9595612,9.431287
1703573163664,0.7653788,1.9439901,9.472012
1703573163665,0.74621433,1.8960792,9.535493
1703573163704,0.7486099,1.8601458,9.566635
1703573163704,0.7725654,1.9380013,9.528307
1703573163744,0.7522032,1.9547701,9.49956
1703573163745,0.72944546,2.0002856,9.541482
1703573163784,0.7677743,2.00867,9.579811
1703573163785,0.7522032,2.009868,9.534296
1703573163824,0.74142325,1.9499791,9.569031
1703573163825,0.7306433,1.9559679,9.573822
1703573163866,0.8001143,2.04101,9.557054
1703573163867,0.8564097,1.9954945,9.535493
1703573163906,0.8492231,1.934408,9.495967
1703573163907,0.8264653,1.8278059,9.5319
1703573163947,0.7593899,1.9272213,9.555856
1703573163948,0.7977187,1.9152435,9.52112
1703573163987,0.822872,1.8841014,9.458836
1703573163988,0.7653788,1.9188368,9.4396715
1703573164029,0.72704995,1.843377,9.509142
1703573164030,0.7078855,1.7978615,9.588196
1703573164071,0.7474121,1.8146304,9.563043
1703573164071,0.8001143,1.8493658,9.5247135
1703573164109,0.7893343,1.7906748,9.474407
1703573164111,0.8001143,1.8062459,9.515131
1703573164150,0.8001143,1.7906748,9.539086
1703573164151,0.76058763,1.7679172,9.49956
1703573164190,0.8204764,1.7547415,9.433682
1703573164191,0.8719808,1.6277773,9.369002
1703573164234,0.8564097,1.6732929,9.280367
1703573164234,0.8899474,1.6852705,9.212094
1703573164271,0.8719808,1.4768575,9.313905
1703573164272,0.8635964,1.5499219,9.503154
1703573164314,1.0803938,1.6181952,9.533098
1703573164316,1.1953803,1.4672754,9.409727
1703573164352,1.2241269,1.3966066,9.262401
1703573164353,1.148667,1.5103953,9.124657
1703573164393,1.1750181,1.6265795,9.1653805
1703573164394,1.2684447,1.5499219,9.190534
1703573164575,1.4133755,1.4576932,9.056383
1703573164576,1.634964,1.3666623,8.69705
1703573164577,2.1116788,1.4385288,8.30897
1703573164578,2.3811784,0.97738504,8.16404
1703573164579,2.6063602,0.5090547,7.9831758
1703573164580,2.633909,0.20002857,7.9484406
1703573164581,2.591987,0.062284343,7.965209
1703573164582,2.425496,0.10660205,7.8502226
1703573164629,1.4205621,-0.69470996,8.296993
1703573164630,-0.34376165,-2.4111228,10.085273
1703573164651,-1.046856,-3.0698996,11.219566
1703573164652,-0.75579655,-2.426694,10.572767
1703573164682,-0.11139315,-2.4111228,10.203853
1703573164683,1.0983604,-3.4148588,9.955913
1703573164718,1.6397551,-3.9682312,9.626524
1703573164719,1.7367749,-4.1862264,9.426496
1703573164758,1.554713,-4.0089555,9.214489
1703573164759,0.7737632,-4.0053625,9.081536
1703573164801,0.27668622,-3.9191225,8.700644
1703573164802,0.24314849,-3.4555833,7.8514204
1703573164841,0.49827474,-4.5108237,8.376046
1703573164842,1.5511197,-5.573251,8.688665
1703573164881,2.05179,-6.0631413,8.790477
1703573164882,2.2637963,-6.5913606,8.797664
1703573164921,2.490176,-6.9111667,9.25162
1703573164921,2.6159425,-7.137546,9.711566
1703573164962,2.4015405,-6.8548713,9.685215
1703573164962,2.1116788,-6.2068744,9.507944
1703573165002,1.8457725,-5.766093,9.140227
1703573165003,1.6792817,-5.7085996,8.850366
1703573165043,1.7930704,-5.689435,8.8970785
1703573165044,2.0625699,-5.678655,8.870728
1703573165085,2.3153007,-5.7074018,8.758137
1703573165086,2.4626272,-5.5385156,8.623986
1703573165127,2.4997582,-5.442693,8.302982
1703573165129,2.3308718,-5.61158,7.997549
1703573165167,2.1392276,-5.488209,7.6957097
1703573165168,1.9643524,-5.661886,7.5903053
1703573165205,1.7810926,-5.924199,7.7280498
1703573165206,1.7607305,-6.0343947,7.7244563
1703573165252,1.6493373,-6.167348,7.6382165
1703573165253,1.5630975,-6.305092,7.645403
1703573165286,1.5091976,-6.288323,7.7819495
1703573165287,1.4097822,-6.2044787,7.805905
1703573165327,1.2959934,-6.1901054,7.767576
1703573165328,1.0720093,-6.093086,7.617854
1703573165368,0.83005863,-5.9385724,7.4142323
1703573165369,0.6635678,-5.7744775,7.2573237
1703573165408,0.54738355,-5.5576797,7.2357635
1703573165409,0.51264805,-5.7613015,7.4932857
1703573165448,0.51863694,-5.443891,7.380695
1703573165449,0.44916594,-5.1612163,7.2681036
1703573165490,0.3617283,-5.1168985,7.389079
1703573165490,0.44437483,-5.072581,7.539999
1703573165531,0.5210325,-5.1540294,7.676545
1703573165532,0.5653502,-5.140854,7.7064896
1703573165571,0.5653502,-5.122887,7.7388296
1703573165572,0.43359485,-5.012692,7.666963
1703573165749,0.22039075,-5.0462294,7.603481
1703573165749,-0.017966637,-5.204336,7.6657653
1703573165750,-0.16409528,-5.358849,7.7412252
1703573165751,-0.17966637,-5.509769,7.7915316
1703573165752,-0.22039075,-5.6403265,7.954429
1703573165753,-0.15571086,-5.629546,8.022702
1703573165754,-0.13055757,-5.746928,8.003538
1703573165754,-0.019164413,-5.8702993,8.062229
1703573165821,0.097019844,-6.0727234,8.221533
1703573165822,0.20961078,-6.0715256,8.238302
1703573165823,0.18685302,-6.0367904,8.241896
1703573165824,0.1928419,-5.8631124,8.180809
1703573165857,0.16289751,-5.787653,8.251477
1703573165858,0.19763301,-5.652304,8.204764
1703573165898,0.26111513,-5.556482,8.165237
1703573165899,0.2730929,-5.4798245,8.08858
1703573165936,0.20242411,-5.427122,8.014318
1703573165936,0.07066877,-5.4570665,8.020307
1703573165981,-0.067075446,-5.5504932,8.084987
1703573165982,-0.039526604,-5.716984,8.180809
1703573166018,0.10300872,-5.746928,8.1580515
1703573166019,0.27668622,-5.6762595,8.004736
1703573166064,0.41682598,-5.4989886,7.774763
1703573166065,0.3210039,-5.2390714,7.581921
1703573166103,0.11498648,-5.1480403,7.560361
1703573166103,-0.1089976,-5.291774,7.694512
1703573166139,-0.2383574,-5.5157576,7.8035097
1703573166140,-0.2575218,-5.4642534,7.795125
1703573166181,-0.21559966,-5.4726377,7.871783
1703573166181,-0.069471,-5.6511064,8.078998
1703573166220,0.12816201,-5.948155,8.269444
1703573166221,0.27069733,-6.1050634,8.226324
1703573166265,0.21919298,-6.0451746,8.126909
1703573166265,0.13055757,-5.8427505,7.9843736
1703573166302,0.0,-5.6499085,7.8574095
1703573166302,-0.1137887,-5.7085996,7.828663
1703573166348,-0.10181095,-5.861915,7.9256825
1703573166349,-0.0047911033,-5.899046,8.035878
1703573166382,0.1784686,-5.9218035,8.183205
1703573166383,0.35334387,-5.857124,8.286213
1703573166425,0.4767148,-5.823586,8.291004
1703573166426,0.5150436,-5.766093,8.2167425
1703573166465,0.4407815,-5.6127777,8.138886
1703573166465,0.33298168,-5.5337243,8.125711
1703573166505,0.25632402,-5.4486823,8.108942
1703573166505,0.17367749,-5.4642534,8.285015
1703573166545,0.12217313,-5.4798245,8.734181
1703573166546,0.061086565,-5.3313003,9.557054
1703573166588,0.13295312,-4.9168696,11.181237
1703573166589,-0.3725083,-5.846344,13.3767605
1703573166627,-2.175161,-8.59524,15.917243
1703573166628,-4.6294036,-10.894969,17.419254
1703573166667,-5.8427505,-12.502384,17.578558
1703573166668,-5.562471,-13.034197,17.730675
1703573166708,-5.182776,-12.390991,17.87321
1703573166709,-5.705006,-12.053218,17.233599
1703573166748,-6.28473,-12.1274805,15.474066
1703573166749,-5.8355637,-12.682051,12.884475
1703573166907,-4.525197,-12.501186,10.148754
1703573166908,-3.723885,-11.164469,7.550779
1703573166909,-3.216028,-9.858892,5.470242
1703573166909,-2.6937978,-8.518581,3.35497
1703573166910,-2.612349,-7.1519194,1.5535152
1703573166911,-2.4039361,-5.8798814,0.26949957
1703573166928,-1.923628,-4.07124,-1.2313136
1703573166929,-1.3031801,-2.596778,-1.5595042
1703573166974,-0.8144876,-1.4804509,-1.3139601
