time,x,y,z
1657259910755,9.414823,-2.435735,1.583108
1657259910774,9.422008,-2.4788454,1.6070582
1657259910792,9.438772,-2.5195606,1.6381935
1657259910812,9.429193,-2.5411158,1.6477735
1657259910831,9.410032,-2.555486,1.6501685
1657259910850,9.374106,-2.574646,1.6429834
1657259910870,9.347761,-2.6225464,1.6525636
1657259910889,9.319021,-2.6153615,1.6477735
1657259910907,9.314231,-2.6009912,1.6573536
1657259910925,9.307046,-2.6033864,1.6429834
1657259910945,9.326206,-2.6249416,1.6118482
1657259910964,9.3381815,-2.668052,1.6357985
1657259910982,9.302257,-2.694397,1.6262183
1657259911002,9.400452,-2.6896071,1.5639478
1657259911022,9.510623,-2.687212,1.5423926
1657259911041,9.467513,-2.682422,1.583108
1657259911060,9.374106,-2.7111623,1.6214283
1657259911079,9.333391,-2.6967921,1.575923
1657259911100,9.381292,-2.6273365,1.5807129
1657259911134,9.381292,-2.5842261,1.5711329
1657259911135,9.386082,-2.6321266,1.5950831
1657259911168,9.431587,-2.7063723,1.6094532
1657259911172,9.491463,-2.7015822,1.5926881
1657259911201,9.527389,-2.6584718,1.6046631
1657259911235,9.496253,-2.6536818,1.6070582
1657259911236,9.424402,-2.6896071,1.583108
1657259911267,9.4507475,-2.7063723,1.5232325
1657259911284,9.508228,-2.7087672,1.5280225
1657259911305,9.515413,-2.680027,1.5256275
1657259911318,9.553733,-2.7111623,1.4801221
1657259911335,9.572893,-2.7207422,1.4513819
1657259911356,9.558523,-2.7399025,1.4322218
1657259911370,9.575289,-2.7279274,1.4058765
1657259911391,9.522598,-2.699187,1.3771362
1657259911400,9.501043,-2.6896071,1.346001
1657259911420,9.457932,-2.7303224,1.334026
1657259911439,9.448353,-2.7399025,1.3388159
1657259911459,9.445957,-2.7015822,1.3172607
1657259911479,9.498648,-2.7063723,1.3220508
1657259911496,9.541759,-2.692002,1.3028907
1657259911516,9.544153,-2.7422974,1.2597803
1657259911535,9.498648,-2.816543,1.2573853
1657259911555,9.390872,-2.8213332,1.2789404
1657259911573,9.3309965,-2.816543,1.3124708
1657259911592,9.244776,-2.8476784,1.3004956
1657259911611,9.22801,-2.8333082,1.2621753
1657259911629,9.278306,-2.806963,1.2334352
1657259911649,9.374106,-2.7590625,1.1424243
