time,x,y,z
1692387866268,0.41802377,1.8349925,9.7211485
1692387866268,0.24075294,1.133096,9.767862
1692387866293,0.34735498,1.5103953,9.761873
1692387866293,0.5162414,1.4840442,9.740313
1692387866350,0.41203487,1.4445176,9.746302
1692387866350,0.3916727,1.4696709,9.755884
1692387866377,0.32579502,1.4169688,9.737918
1692387866377,0.34016833,1.3906177,9.632513
1692387866409,0.36891496,1.352289,9.567833
1692387866409,0.40245268,1.2900046,9.65048
1692387866448,0.43958372,1.282818,9.706776
1692387866448,0.49827474,1.2396979,9.742708
1692387866492,0.5461858,1.2672468,9.717555
1692387866492,0.523428,1.3115646,9.682819
1692387866529,0.4455726,1.3415089,9.666051
1692387866529,0.39047492,1.4493088,9.579811
1692387866570,0.3856838,1.4121777,9.5858
1692387866570,0.32459724,1.3822333,9.631315
1692387866610,0.31501505,1.426551,9.673238
1692387866611,0.35933274,1.4469132,9.719951
1692387866652,0.406046,1.4936265,9.709171
1692387866652,0.4551548,1.4493088,9.722346
1692387866693,0.4216171,1.4001999,9.686413
1692387866693,0.3928705,1.3954089,9.668447
1692387866733,0.35813498,1.4445176,9.67204
1692387866733,0.2515329,1.3750466,9.637304
1692387866773,0.104206495,1.266049,9.634909
1692387866773,0.0347355,1.2373024,9.608558
1692387866814,0.09342651,1.2540712,9.613349
1692387866814,0.18685302,1.2097536,9.60736
1692387866855,0.28507066,1.1259093,9.673238
1692387866855,0.3856838,1.0911738,9.784631
1692387866895,0.4108371,1.1295027,9.820564
1692387866895,0.44677037,1.1666336,9.778642
1692387866936,0.41562822,1.2013692,9.70438
1692387866936,0.37370604,1.218138,9.752291
1692387866976,0.38807938,1.2097536,9.737918
1692387866976,0.35454166,1.2337091,9.590591
1692387867017,0.39766157,1.2780268,9.66126
1692387867017,0.39885935,1.3115646,9.699589
1692387867057,0.32459724,1.2373024,9.691204
1692387867057,0.3425639,1.2229291,9.747499
1692387867099,0.3713105,1.2061603,9.799004
1692387867099,0.41682598,1.2157425,9.77385
1692387867139,0.42281488,1.2385002,9.74151
1692387867139,0.4503637,1.2456869,9.716357
1692387867180,0.42401263,1.1977758,9.701984
1692387867180,0.45156148,1.1690292,9.724742
1692387867220,0.4707259,1.2456869,9.72594
1692387867220,0.51264805,1.2109513,9.769059
1692387867260,0.51863694,1.2540712,9.709171
1692387867260,0.4767148,1.2265224,9.6947975
1692387867302,0.44437483,1.2301158,9.715159
1692387867302,0.46952814,1.2109513,9.710368
1692387867342,0.4910881,1.1941825,9.65048
1692387867342,0.50665915,1.1498648,9.638502
1692387867383,0.49228588,1.1654359,9.697193
1692387867383,0.49468142,1.1366893,9.687611
1692387867424,0.48749477,1.1103382,9.663655
1692387867424,0.5174391,1.1139315,9.67204
1692387867464,0.46952814,1.0504494,9.6361065
1692387867464,0.45395705,1.1474693,9.6097555
1692387867506,0.44437483,1.1762159,9.699589
1692387867506,0.46473703,1.159447,9.757082
1692387867545,0.46833035,1.2049625,9.789422
1692387867545,0.3916727,1.1762159,9.81218
1692387867586,0.40484822,1.1630403,9.813377
1692387867586,0.523428,1.1402826,9.810982
1692387867626,0.52462584,1.1750181,9.735522
1692387867626,0.52462584,1.1881936,9.717555
1692387867667,0.5198347,1.0732071,9.751093
1692387867668,0.5174391,1.0540427,9.698391
1692387867707,0.53301024,1.089976,9.630117
1692387867708,0.57373464,1.1079426,9.638502
1692387867748,0.52702135,1.0983604,9.662457
1692387867748,0.5210325,1.0552405,9.699589
1692387867789,0.5198347,1.0504494,9.682819
1692387867789,0.56295466,1.0768005,9.699589
1692387867829,0.5150436,1.0839871,9.742708
1692387867829,0.50665915,1.0660205,9.778642
1692387867870,0.5306147,1.0360761,9.724742
1692387867870,0.5713391,1.111536,9.6936
1692387867910,0.5689435,1.1091404,9.692402
1692387867910,0.55337244,1.0803938,9.691204
1692387867952,0.52702135,1.0803938,9.673238
1692387867952,0.52462584,1.1354915,9.626524
1692387867991,0.5485813,1.1498648,9.646887
1692387867992,0.5653502,1.1774136,9.666051
1692387868032,0.5318125,1.0995582,9.716357
1692387868032,0.52702135,1.0660205,9.753489
1692387868073,0.5641524,1.0887783,9.770257
1692387868073,0.6048768,1.0600317,9.730731
1692387868114,0.5797235,1.1199204,9.719951
1692387868114,0.5509769,1.0947671,9.66126
1692387868156,0.5090547,1.116327,9.656468
1692387868156,0.5198347,1.1534581,9.625326
1692387868195,0.49348363,1.127107,9.597777
1692387868195,0.49827474,1.0803938,9.664853
1692387868236,0.5162414,1.0504494,9.715159
1692387868236,0.50665915,1.0252961,9.729533
1692387868284,0.49947253,0.98337394,9.7666645
1692387868284,0.50186807,1.0145161,9.782235
1692387868317,0.5210325,1.0240983,9.74151
1692387868317,0.50665915,1.0504494,9.701984
1692387868359,0.5689435,1.0492517,9.703182
1692387868359,0.5893057,1.0312849,9.715159
1692387868398,0.566548,1.0217028,9.740313
