time,x,y,z
1703573351814,2.0985034,2.2673895,9.189336
1703573351815,2.0026813,2.3751895,9.143821
1703573351816,1.9787257,2.3584206,9.184545
1703573351817,2.01945,2.3632116,9.184545
1703573351873,2.0446033,2.4015405,9.218082
1703573351874,2.0601745,2.4171116,9.2240715
1703573351914,1.9966923,2.3763871,9.246829
1703573351915,1.923628,2.3871672,9.313905
1703573351939,1.8936836,2.399145,9.330673
1703573351940,1.8122349,2.4027383,9.343849
1703573351981,1.7715105,2.3811784,9.372596
1703573351982,1.6864684,2.3811784,9.425298
1703573352016,1.6193929,2.3105097,9.461231
1703573352017,1.5451308,2.2781696,9.476802
1703573352054,1.5139886,2.2302587,9.45644
1703573352055,1.4816487,2.1847432,9.4396715
1703573352096,1.4816487,2.227863,9.442067
1703573352097,1.4517043,2.2254674,9.444463
1703573352133,1.4205621,2.1823475,9.433682
1703573352134,1.3738489,2.0913167,9.433682
1703573352177,1.3762444,2.09491,9.352234
1703573352178,1.3474978,2.1188655,9.324685
1703573352217,1.3990022,2.0122633,9.421704
1703573352218,1.3870244,1.9703412,9.470814
1703573352258,1.3463,2.0242412,9.38697
1703573352259,1.4037932,1.9907035,9.415716
1703573352297,1.3223445,1.8757169,9.581009
1703573352298,1.3498933,1.8900902,9.658864
1703573352338,1.4145732,1.8589481,9.682819
1703573352339,1.5535152,1.8864969,9.735522
1703573352382,1.6157995,1.9380013,9.747499
1703573352383,1.6301728,1.9907035,9.5858
1703573352418,1.5343509,1.9978901,9.454044
1703573352418,1.4588909,2.0062745,9.3354645
1703573352459,1.2732357,2.056581,9.222874
1703573352460,1.1881936,1.993099,9.20371
1703573352499,1.1390848,1.9475834,9.306718
1703573352500,1.1893914,1.8409815,9.310311
1703573352540,1.272038,1.7679172,9.377387
1703573352541,1.2217313,1.7822905,9.503154
1703573352581,1.2744335,1.6541284,9.595382
1703573352582,1.3055756,1.7188083,9.567833
1703573352621,1.3067734,1.7619282,9.5642395
1703573352622,1.3379155,1.7942681,9.57502
1703573352661,1.3463,1.8481681,9.589394
1703573352662,1.3594756,1.8493658,9.594184
1703573352703,1.3894199,1.9511768,9.582207
1703573352703,1.4301443,2.0290322,9.530703
1703573352745,1.5187798,2.0002856,9.566635
1703573352745,1.5487242,2.056581,9.567833
1703573352783,1.474462,2.0613723,9.536691
1703573352784,1.4517043,2.05179,9.473209
1703573352824,1.4229577,1.993099,9.454044
1703573352825,1.3738489,1.9391991,9.39176
1703573352974,1.3606733,1.9535724,9.382178
1703573352975,1.3367178,1.854157,9.410925
1703573352976,1.3403112,1.7966638,9.422902
1703573352977,1.3079712,1.7164128,9.442067
1703573352978,1.2840157,1.7810926,9.369002
1703573352978,1.3175534,1.8302015,9.293543
1703573353017,1.3534867,1.7475549,9.385772
1703573353018,1.4469132,1.7092261,9.412123
1703573353038,1.4013977,1.8026526,9.371398
1703573353039,1.3654644,1.8924859,9.311509
1703573353073,1.35708,1.8601458,9.30073
1703573353073,1.463682,1.752346,9.401342
1703573353108,1.4876375,1.7619282,9.39176
1703573353109,1.4648799,1.8805081,9.358223
1703573353149,1.5056043,1.8002571,9.519922
1703573353149,1.6337662,1.5858552,9.699589
1703573353191,1.656524,1.6086129,9.684017
1703573353192,1.5607018,1.7810926,9.576218
1703573353232,1.565493,1.6397551,9.66126
1703573353232,1.645744,1.4828465,9.752291
1703573353272,1.6193929,1.6002285,9.667249
1703573353273,1.5834596,1.5786686,9.613349
1703573353314,1.6505351,1.3750466,9.727138
1703573353315,1.6601173,1.4097822,9.7211485
1703573353352,1.6086129,1.4828465,9.610953
1703573353353,1.5882508,1.5583063,9.560647
1703573353392,1.6038219,1.4840442,9.594184
1703573353393,1.6792817,1.3391134,9.67204
1703573353433,1.6768862,1.3798378,9.692402
1703573353433,1.6792817,1.4037932,9.67204
1703573353474,1.7080283,1.3750466,9.699589
1703573353474,1.7499505,1.3498933,9.713962
1703573353516,1.7882793,1.3115646,9.681622
1703573353517,1.7535439,1.3606733,9.634909
1703573353555,1.715215,1.3738489,9.584602
1703573353556,1.7056328,1.3714533,9.579811
1703573353597,1.693655,1.4073865,9.517527
1703573353598,1.6888639,1.4073865,9.452847
1703573353636,1.6816772,1.3510911,9.407331
1703573353637,1.6361618,1.3055756,9.425298
1703573353679,1.6038219,1.276829,9.367805
1703573353680,1.5211753,1.3175534,9.319894
1703573353720,1.5056043,1.3427067,9.243236
1703573353721,1.4564954,1.2588624,9.255214
1703573353758,1.5487242,1.2109513,9.262401
1703573353759,1.5115931,1.3510911,9.215687
1703573353798,1.5319552,1.4864398,9.20371
