time,x,y,z
1692386163511,0.43000153,2.6638534,9.928364
1692386163512,0.3569372,3.0866683,9.518724
1692386163546,0.11498648,3.066306,9.179754
1692386163546,0.15930419,2.7872243,9.087525
1692386163592,0.45275927,2.675831,9.1007
1692386163592,0.42760596,2.6303158,9.361815
1692386163614,0.39526603,2.5812068,9.497165
1692386163614,0.27908176,2.7429066,9.414518
1692386163655,0.28387287,2.5404825,9.443265
1692386163655,0.3377728,2.5931847,9.410925
1692386163700,0.41682598,2.633909,9.395353
1692386163700,0.35454166,2.7500932,9.409727
1692386163736,0.3269928,2.8327398,9.408529
1692386163736,0.2970484,2.730929,9.358223
1692386163777,0.3269928,2.6135468,9.365409
1692386163777,0.32459724,2.6422935,9.412123
1692386163817,0.336575,2.8075864,9.414518
1692386163817,0.3425639,2.788422,9.385772
1692386163858,0.36412385,2.6842155,9.40254
1692386163859,0.3665194,2.5824046,9.463627
1692386163899,0.37969494,2.6267223,9.485187
1692386163899,0.3725083,2.6842155,9.448055
1692386163939,0.3761016,2.6698422,9.401342
1692386163939,0.42281488,2.64948,9.3702
1692386163982,0.4264082,2.5800092,9.457638
1692386163982,0.3928705,2.6255245,9.454044
1692386164021,0.41443044,2.655469,9.395353
1692386164021,0.3725083,2.644689,9.346245
1692386164061,0.39526603,2.644689,9.374991
1692386164062,0.39406824,2.6470845,9.419309
1692386164101,0.37490383,2.666249,9.474407
1692386164102,0.39526603,2.5548558,9.4791975
1692386164142,0.406046,2.5512626,9.432485
1692386164143,0.3868816,2.6327112,9.472012
1692386164183,0.40963933,2.6375024,9.512735
1692386164183,0.41922155,2.5895913,9.470814
1692386164224,0.4204193,2.5452735,9.4205065
1692386164224,0.3928705,2.590789,9.407331
1692386164264,0.35933274,2.67104,9.517527
1692386164264,0.36771718,2.6171403,9.54268
1692386164305,0.38089272,2.5883934,9.448055
1692386164305,0.36053053,2.5560536,9.379783
1692386164346,0.34376165,2.5596468,9.369002
1692386164346,0.31860837,2.6135468,9.4241
1692386164386,0.3569372,2.624327,9.39176
1692386164387,0.3928705,2.612349,9.367805
1692386164427,0.3772994,2.5392847,9.404936
1692386164427,0.3317839,2.5297027,9.4205065
1692386164468,0.34016833,2.5416803,9.464825
1692386164468,0.36412385,2.5153291,9.400145
1692386164508,0.38448605,2.5225158,9.383376
1692386164509,0.3713105,2.5740201,9.412123
1692386164585,0.34975055,2.5824046,9.4396715
1692386164585,0.34735498,2.591987,9.3702
1692386164589,0.35813498,2.5895913,9.33786
1692386164589,0.3665194,2.6171403,9.317498
1692386164630,0.3725083,2.6363046,9.3941555
1692386164630,0.33298168,2.5871959,9.476802
1692386164671,0.32819057,2.5285048,9.448055
1692386164671,0.32339948,2.59558,9.421704
1692386164711,0.3377728,2.6171403,9.482791
1692386164711,0.3413661,2.6614578,9.485187
1692386164752,0.3377728,2.612349,9.436078
1692386164752,0.35813498,2.5979757,9.408529
1692386164793,0.35813498,2.6159425,9.415716
1692386164794,0.33298168,2.5848002,9.489978
1692386164833,0.3377728,2.59558,9.518724
1692386164833,0.35933274,2.5368893,9.462429
1692386164874,0.33058614,2.5871959,9.401342
1692386164874,0.30902615,2.612349,9.34864
1692386164914,0.32459724,2.5812068,9.395353
1692386164915,0.32938835,2.5668335,9.384574
1692386164955,0.32819057,2.5464714,9.364211
1692386164955,0.31860837,2.6159425,9.3354645
1692386164995,0.31621283,2.6135468,9.369002
1692386164995,0.33298168,2.5584493,9.397749
1692386165036,0.3174106,2.5344937,9.442067
1692386165036,0.32579502,2.565636,9.462429
1692386165077,0.3425639,2.6135468,9.427693
1692386165077,0.3413661,2.6279202,9.384574
1692386165117,0.34615722,2.6327112,9.385772
1692386165117,0.3617283,2.6015692,9.345047
1692386165158,0.3725083,2.5824046,9.334267
1692386165158,0.3665194,2.59558,9.385772
1692386165199,0.3413661,2.6351068,9.352234
1692386165199,0.30902615,2.564438,9.357025
1692386165239,0.26590624,2.5368893,9.398947
1692386165239,0.29465285,2.5093403,9.475605
1692386165280,0.3413661,2.5883934,9.475605
1692386165280,0.32819057,2.612349,9.388167
1692386165321,0.3078284,2.6171403,9.378585
1692386165321,0.32938835,2.590789,9.374991
1692386165361,0.32819057,2.585998,9.360618
1692386165361,0.3317839,2.5883934,9.38697
1692386165401,0.32579502,2.5943825,9.445661
1692386165402,0.3425639,2.5716248,9.45644
1692386165443,0.32339948,2.5620425,9.407331
1692386165443,0.30902615,2.5368893,9.389364
1692386165483,0.29465285,2.59558,9.367805
1692386165483,0.30902615,2.612349,9.415716
1692386165524,0.31022394,2.591987,9.442067
1692386165524,0.29105952,2.6315136,9.353432
1692386165566,0.28027955,2.6231291,9.361815
1692386165566,0.29944396,2.5871959,9.4241
1692386165627,0.3018395,2.5620425,9.480395
1692386165627,0.3018395,2.5680313,9.457638
1692386165646,0.29824618,2.5800092,9.430089
1692386165646,0.31501505,2.5895913,9.412123
1692386165685,0.3078284,2.607558,9.432485
1692386165686,0.31860837,2.6027668,9.3941555
1692386165726,0.33537722,2.5848002,9.373794
1692386165726,0.3174106,2.6375024,9.374991
1692386165767,0.3078284,2.6063602,9.376189
1692386165767,0.31022394,2.5895913,9.363013
1692386165807,0.28866398,2.5584493,9.355827
1692386165808,0.27069733,2.532098,9.359421
1692386165848,0.27668622,2.5680313,9.43488
1692386165849,0.28507066,2.5931847,9.462429
1692386165889,0.30064175,2.5979757,9.426496
1692386165889,0.3030373,2.575218,9.371398
1692386165930,0.3174106,2.6147447,9.313905
1692386165930,0.31860837,2.5836024,9.378585
1692386165970,0.32819057,2.5931847,9.413321
1692386165970,0.32819057,2.5584493,9.376189
1692386166010,0.3222017,2.5895913,9.321092
1692386166010,0.29824618,2.5883934,9.2108965
1692386166051,0.26830178,2.5225158,9.194127
1692386166051,0.3030373,2.399145,9.249225
1692386166092,0.5869101,2.607558,9.303124
1692386166092,0.6971055,2.7524889,9.1390295
1692386166132,0.881563,2.7908177,8.89109
1692386166132,1.1402826,2.5249114,8.495824
1692386166173,1.0648227,3.1010416,8.307774
1692386166173,1.266049,2.9525175,8.070614
1692386166214,1.0732071,2.965693,7.981978
1692386166214,0.6491945,2.4829893,8.335322
1692386166255,0.592899,2.1068876,8.615602
1692386166255,0.6671611,2.0422077,8.650337
1692386166294,0.70548993,2.2003143,8.542537
1692386166295,0.4216171,2.1835454,8.797664
1692386166336,0.22158852,2.152403,9.276773
1692386166336,0.30902615,2.0314279,9.506746
1692386166376,0.41802377,1.9140458,9.475605
1692386166376,0.70069885,1.9068592,9.470814
1692386166417,0.8384431,1.7751038,9.404936
1692386166417,0.7821476,1.4457154,9.634909
1692386166457,0.6635678,0.8755741,10.436221
1692386166457,0.7917298,0.7833454,11.091404
1692386166499,1.0456583,0.8899474,10.717698
1692386166499,1.3534867,0.047911033,10.390705
1692386166539,1.5319552,-0.8168831,10.59792
1692386166539,1.4061888,-1.159447,10.966835
1692386166579,1.1905892,-1.4876375,11.025526
1692386166579,1.0145161,-1.7164128,10.329618
1692386166620,1.1414803,-2.312905,9.539086
1692386166620,0.63122785,-2.6207335,9.597777
1692386166660,0.3856838,-2.6183379,9.751093
1692386166660,0.26470846,-3.3154435,9.379783
1692386166701,0.015571086,-3.9299026,8.443122
1692386166701,-0.4072438,-4.62581,8.011923
1692386166742,-1.068416,-5.57924,8.519779
1692386166742,-1.5642952,-5.7780704,9.152205
1692386166782,-1.6720951,-5.6990175,8.949781
1692386166782,-1.6373595,-5.56846,8.063427
1692386166823,-1.6086129,-5.7948394,7.7903337
1692386166823,-1.7415661,-5.9445615,8.235907
1692386166863,-1.6996439,-5.8702993,8.44432
1692386166863,-1.7595327,-5.7672906,8.137689
1692386166904,-1.8589481,-5.5540867,7.711281
1692386166904,-1.934408,-5.561273,7.634623
1692386166945,-1.8242126,-5.306147,8.016713
1692386166945,-1.6972483,-5.2055335,8.14248
1692386166986,-1.6265795,-5.2546425,7.8777714
1692386166986,-1.587053,-5.4163423,7.6286345
1692386167026,-1.5187798,-5.461858,7.763983
1692386167026,-1.4624842,-5.348069,8.0011425
1692386167066,-1.35708,-5.4055624,7.9700003
1692386167067,-1.4241555,-5.685842,7.913705
1692386167108,-1.4564954,-5.6415243,8.0778
1692386167108,-1.3954089,-5.42832,8.27184
1692386167148,-1.3486956,-5.3408823,8.20716
1692386167148,-1.3151579,-5.4474845,8.063427
1692386167199,-1.3331245,-5.5492954,7.9963512
1692386167199,-1.3163556,-5.451078,8.09936
1692386167229,-1.3163556,-5.3552556,8.273038
1692386167230,-1.2995868,-5.225896,8.202369
1692386167276,-1.228918,-5.1204915,8.049053
1692386167277,-1.282818,-5.1600184,8.059834
1692386167311,-1.3331245,-5.1037226,8.244291
1692386167311,-1.3498933,-5.0941405,8.267049
1692386167352,-1.3558823,-5.0941405,8.138886
1692386167352,-1.3762444,-5.122887,8.117327
1692386167392,-1.3930132,-5.0366473,8.267049
1692386167392,-1.3930132,-5.096536,8.253873
1692386167432,-1.3534867,-5.1588206,8.189194
1692386167433,-1.3846289,-5.193556,8.235907
1692386167473,-1.4529021,-5.1696005,8.286213
1692386167473,-1.4397266,-5.134865,8.234709
1692386167514,-1.4313421,-5.1001296,8.14248
1692386167515,-1.4409243,-5.0893493,8.107744
1692386167554,-1.4948242,-5.0737786,8.101756
1692386167555,-1.5091976,-5.1216893,8.149667
1692386167596,-1.4421221,-5.1480403,8.20716
1692386167596,-1.4037932,-5.1863694,8.267049
1692386167636,-1.4361333,-5.0857563,8.238302
1692386167636,-1.4588909,-5.108514,8.137689
1692386167676,-1.4660776,-5.155227,8.112535
1692386167677,-1.4576932,-5.1528316,8.204764
1692386167717,-1.5247686,-5.0833607,8.287411
1692386167717,-1.5247686,-5.0629983,8.245489
1692386167758,-1.4912308,-5.0773716,8.122118
1692386167758,-1.4660776,-5.070185,8.116129
1692386167799,-1.5056043,-5.0618005,8.247885
1692386167799,-1.5451308,-4.997121,8.292202
1692386167839,-1.506802,-5.0342517,8.2167425
1692386167839,-1.5079998,-5.071383,8.143678
1692386167880,-1.5415375,-5.0893493,8.154458
1692386167880,-1.5906463,-5.033054,8.238302
1692386167921,-1.5966352,-5.031856,8.238302
1692386167921,-1.5906463,-5.0102963,8.213149
1692386167961,-1.5283619,-5.028263,8.220336
1692386167961,-1.5379442,-5.0773716,8.26106
1692386168002,-1.5834596,-5.0258675,8.263455
1692386168002,-1.5463285,-4.973165,8.257466
1692386168042,-1.5271642,-4.9563966,8.255071
1692386168042,-1.5738775,-5.028263,8.2562685
1692386168084,-1.5738775,-5.049823,8.294598
1692386168084,-1.5559108,-5.054614,8.320949
1692386168124,-1.5307575,-4.9456162,8.307774
1692386168124,-1.5187798,-4.948012,8.238302
1692386168163,-1.6122062,-4.97077,8.264653
1692386168164,-1.6253818,-4.980352,8.294598
1692386168205,-1.6038219,-5.0689874,8.306576
1692386168206,-1.5523175,-5.0007143,8.299389
1692386168245,-1.5822619,-4.8845296,8.220336
1692386168245,-1.6301728,-4.877343,8.215545
1692386168286,-1.6193929,-4.9492097,8.255071
1692386168287,-1.5487242,-4.963583,8.246687
1692386168326,-1.5307575,-4.930045,8.238302
1692386168326,-1.6181952,-4.8665633,8.280224
1692386168367,-1.6780839,-4.8929143,8.247885
1692386168367,-1.6577218,-5.0246696,8.197577
1692386168407,-1.6409528,-5.065394,8.21794
1692386168407,-1.6493373,-5.01389,8.255071
1692386168448,-1.6673039,-4.914474,8.267049
1692386168448,-1.6529306,-4.920463,8.178413
1692386168489,-1.613404,-4.920463,8.147271
1692386168489,-1.6217885,-4.979154,8.173622
1692386168529,-1.6541284,-4.9839454,8.277829
1692386168530,-1.6888639,-4.979154,8.307774
1692386168570,-1.6780839,-4.9444184,8.225126
1692386168570,-1.6876662,-4.920463,8.143678
1692386168611,-1.7475549,-4.971967,8.227522
1692386168611,-1.7595327,-5.0342517,8.291004
1692386168651,-1.704435,-5.054614,8.310168
1692386168651,-1.6505351,-5.0174828,8.258664
1692386168692,-1.6888639,-4.973165,8.275434
1692386168692,-1.7307861,-4.9767585,8.279026
1692386168733,-1.7212038,-4.9755607,8.269444
1692386168733,-1.7128195,-4.9444184,8.289806
1692386168773,-1.7032372,-4.914474,8.279026
1692386168773,-1.7068305,-4.9432206,8.294598
1692386168814,-1.7056328,-4.9671764,8.280224
1692386168814,-1.6708972,-4.9432206,8.244291
1692386168855,-1.6756884,-4.9348364,8.302982
1692386168855,-1.6876662,-4.8965077,8.316157
1692386168895,-1.6613151,-4.9252543,8.258664
1692386168895,-1.6445462,-4.954001,8.21794
1692386168936,-1.6253818,-4.9671764,8.22872
