time,x,y,z
1663056241008,3.63564,-3.0296998,8.772957
1663056241008,3.6068995,-2.9985645,8.840017
1663056241027,3.4775686,-3.0057497,8.641231
1663056241027,3.63564,-3.04886,8.933423
1663056241046,3.8008962,-2.8380983,8.904683
1663056241046,3.8487966,-2.943479,8.897498
1663056241066,3.8775368,-2.9219239,8.880733
1663056241066,3.915857,-2.914739,8.828042
1663056241085,3.8775368,-2.9650342,8.772957
1663056241085,3.7985013,-2.9674294,8.686736
1663056241108,3.755391,-2.955454,8.626861
1663056241108,3.7242556,-2.9770093,8.600515
1663056241126,3.7098854,-2.924319,8.612491
1663056241126,3.7074904,-2.8788135,8.600515
1663056241141,3.6500099,-2.8404932,8.605306
1663056241141,3.666775,-2.7686427,8.595725
1663056241160,3.6979103,-2.692002,8.590936
1663056241160,3.7003052,-2.7159522,8.57896
1663056241179,3.68354,-2.7183473,8.571775
1663056241179,3.6955154,-2.7231374,8.58854
1663056241198,3.6931202,-2.7183473,8.619676
1663056241198,3.68354,-2.7135572,8.641231
1663056241217,3.652405,-2.7231374,8.679551
1663056241217,3.6308498,-2.7351124,8.677156
1663056241241,3.6308498,-2.7087672,8.691526
1663056241242,3.65959,-2.6967921,8.669971
1663056241258,3.6763551,-2.7758276,8.665181
1663056241258,3.7338357,-2.7830129,8.636441
1663056241274,3.786526,-2.7662477,8.650811
1663056241275,3.7386258,-2.7973828,8.679551
1663056241293,3.779341,-2.8141482,8.717872
1663056241293,3.8056862,-2.799778,8.737032
1663056241313,3.8344264,-2.811753,8.787327
1663056241313,3.8392165,-2.7758276,8.780142
1663056241332,3.8392165,-2.7901978,8.777747
1663056241332,3.7937112,-2.804568,8.756192
1663056241350,3.755391,-2.8548634,8.727451
1663056241351,3.7170706,-2.8572583,8.708291
1663056241377,3.7074904,-2.9171338,8.667576
1663056241377,3.6763551,-2.8883936,8.643626
1663056241398,3.6068995,-2.8740237,8.636441
1663056241399,3.6500099,-2.8620484,8.660391
1663056241415,3.666775,-2.804568,8.681946
1663056241415,3.7074904,-2.7854078,8.732242
1663056241448,3.7625759,-2.7446926,8.763377
1663056241448,3.8368216,-2.7542725,8.787327
1663056241453,3.8440065,-2.7327175,8.770562
1663056241453,3.8272414,-2.7542725,8.739427
1663056241471,3.788921,-2.7830129,8.693921
1663056241471,3.755391,-2.7782228,8.705896
1663056241494,3.7362306,-2.7830129,8.739427
1663056241494,3.7362306,-2.8285182,8.770562
1663056241513,3.6979103,-2.8524685,8.746612
1663056241513,3.6931202,-2.9219239,8.734636
1663056241528,3.7170706,-2.8452833,8.722662
1663056241529,3.6955154,-2.8261232,8.684341
1663056241545,3.7027004,-2.7830129,8.669971
1663056241545,3.6979103,-2.7470875,8.679551
1663056241559,3.7529957,-2.663262,8.720266
1663056241560,3.8128712,-2.5914114,8.789722
1663056241580,3.784131,-2.5195606,8.851993
1663056241580,3.671565,-2.44771,8.945398
1663056241599,3.7937112,-2.4932153,9.041199
1663056241599,3.9422023,-2.6560767,9.12263
1663056241619,3.9781277,-2.943479,9.115445
1663056241619,3.772156,-3.537444,8.988508
1663056241643,1.6453785,-1.5399976,8.334668
1663056241643,2.7734327,-1.5208374,8.844808
1663056241675,4.5409575,-3.7122805,8.693921
1663056241675,5.2355127,-3.5877395,8.823253
1663056241676,4.643943,-2.919529,8.787327
1663056241676,3.6164796,-2.7422974,8.710687
1663056241709,3.182981,-2.7566676,8.667576
1663056241709,3.4895437,-2.7590625,8.693921
1663056241712,3.9182522,-2.8404932,8.715476
1663056241712,3.9948928,-2.9722195,8.684341
