time,x,y,z
1692387592705,0.6060746,2.3440473,9.5642395
1692387592705,0.93186957,2.4338806,9.389364
1692387592764,0.65159005,1.9308146,9.673238
1692387592765,0.8324542,2.233852,9.586998
1692387592775,0.6539856,2.1296453,9.610953
1692387592775,0.73543435,2.2530162,9.680425
1692387592808,0.7629832,2.2015119,9.621734
1692387592808,0.85042083,2.238643,9.571426
1692387592849,0.8025098,2.212292,9.536691
1692387592849,0.7474121,2.217083,9.5055485
1692387592889,0.6971055,2.1679742,9.511538
1692387592889,0.66596335,2.0529878,9.492373
1692387592929,0.64679897,1.9763302,9.418111
1692387592929,0.63242567,1.9308146,9.412123
1692387592971,0.6479967,1.9104525,9.506746
1692387592971,0.69111663,1.9080569,9.54268
1692387593012,0.753401,1.8709258,9.512735
1692387593012,0.74381876,1.8529592,9.480395
1692387593052,0.65757895,1.9092547,9.442067
1692387593052,0.6384145,1.8361903,9.444463
1692387593092,0.65997446,1.7283906,9.475605
1692387593092,0.7545988,1.7966638,9.513933
1692387593133,0.7569943,1.8469703,9.452847
1692387593134,0.76178545,1.7834882,9.469616
1692387593174,0.7450166,1.6732929,9.52112
1692387593174,0.77496094,1.6780839,9.461231
1692387593214,0.7833454,1.6852705,9.313905
1692387593214,0.742621,1.6074152,9.325883
1692387593255,0.7306433,1.502011,9.369002
1692387593255,0.69470996,1.5451308,9.372596
1692387593296,0.62284344,1.3894199,9.365409
1692387593296,0.60248125,1.3151579,9.3702
1692387593336,0.534208,1.2468846,9.445661
1692387593336,0.43479264,1.2444891,9.46722
1692387593377,0.34615722,1.2408957,9.523516
1692387593377,0.3269928,1.0480539,9.656468
1692387593417,0.2179952,0.96061623,9.649282
1692387593417,0.14732642,0.8516186,9.588196
1692387593458,0.12217313,0.72704995,9.589394
1692387593458,0.118579805,0.5833168,9.658864
1692387593499,0.1485242,0.5030658,9.712764
1692387593499,0.22877519,0.41323265,9.867277
1692387593539,0.28387287,0.44796816,9.893628
1692387593539,0.2718951,0.3569372,9.873266
1692387593580,0.15451308,0.29465285,9.9499235
1692387593580,0.10779983,0.21440187,10.026582
1692387593620,0.13774422,0.21200632,10.054131
1692387593620,0.1832597,0.2036219,9.928364
1692387593661,0.22637963,0.0742621,9.8553
1692387593661,0.11618426,-0.031142171,9.970286
1692387593702,0.17128195,-0.20601743,10.007417
1692387593702,0.42760596,-0.33537722,10.197864
1692387593743,0.57732797,-0.046713255,10.384716
1692387593743,0.33537722,0.17487527,10.252961
1692387593783,-0.1089976,0.046713255,10.100843
1692387593783,-0.39047492,-0.10540427,9.919979
1692387593824,-0.41443044,-0.016768862,9.763071
1692387593824,-0.17966637,-0.04311993,9.723544
1692387593864,0.068273224,-0.10660205,9.590591
1692387593864,0.18685302,-0.30902615,9.468418
1692387593904,0.24674182,-0.57732797,9.458836
1692387593905,0.4311993,-0.6348212,9.327081
1692387593945,0.46952814,-0.49827474,9.372596
1692387593945,0.38328826,-0.544988,9.519922
1692387593986,0.3557394,-0.6887211,9.631315
1692387593986,0.3617283,-0.85042083,9.634909
1692387594026,0.48749477,-0.7821476,9.586998
1692387594027,0.5006703,-0.6539856,9.569031
1692387594067,0.45874813,-0.7450166,9.73672
1692387594067,0.43479264,-0.80490535,9.899617
1692387594108,0.4503637,-0.7677743,9.904408
1692387594109,0.5198347,-0.6959078,9.848113
1692387594148,0.5485813,-0.83125645,9.828948
1692387594149,0.56175685,-0.74142325,9.810982
1692387594189,0.603679,-0.6671611,9.830146
1692387594189,0.5988879,-0.7186655,9.797806
1692387594229,0.52223027,-0.7869387,9.803795
1692387594229,0.48629698,-0.8623986,9.788224
1692387594270,0.5509769,-0.83604753,9.820564
1692387594270,0.6192501,-0.9162985,9.969089
1692387594310,0.6491945,-0.89713407,10.15115
1692387594310,0.66596335,-1.3343222,10.261346
1692387594352,0.6240412,-1.2600602,10.379926
1692387594352,0.54738355,-1.2049625,10.385914
1692387594392,0.55936134,-1.1798092,10.523659
1692387594392,0.5401969,-0.93785846,10.564383
1692387594433,0.5294169,-0.8612008,10.627865
1692387594433,0.67075443,-0.9079141,11.297421
1692387594474,0.88515633,-0.7222588,12.326311
1692387594474,1.0672183,-0.48629698,13.891804
1692387594514,1.1606448,-0.2922573,16.205908
1692387594514,1.1977758,0.027548844,17.8792
1692387594554,1.4936265,-0.7030944,19.211126
1692387594554,1.7415661,-2.0553832,19.905836
1692387594596,0.5030658,-3.4004855,19.735752
1692387594596,-0.9330674,-5.26662,19.084162
1692387594636,-1.3403112,-6.325454,17.649227
1692387594636,-1.3690578,-5.847542,15.085986
1692387594676,-1.6122062,-5.4055624,12.164611
1692387594676,-1.9056613,-5.0102963,9.8553
1692387594719,-1.693655,-4.591075,7.6382165
1692387594719,-1.7475549,-3.6711829,4.74439
1692387594759,-1.5798663,-3.114217,1.843377
1692387594759,-1.2792246,-3.0112085,-0.3521461
1692387594798,-1.2636535,-1.821817,-1.752346
1692387594798,-0.47431922,-0.4072438,-3.7011273
1692387594840,0.76178545,-0.32339948,-5.7337527
1692387594840,2.8411243,-0.1928419,-7.779554
1692387594879,4.3419375,1.571482,-9.60736
1692387594879,5.132469,2.9357486,-12.163413
1692387594920,5.530131,4.301213,-15.483648
1692387594920,5.530131,6.175732,-19.241072
1692387594961,6.158963,8.822817,-19.59681
1692387594961,9.905606,10.233797,-18.724829
1692387595001,11.769345,12.571856,-19.81241
1692387595001,15.365068,8.102954,-11.905891
1692387595042,19.190763,-3.6041074,4.8378167
1692387595042,17.693544,-23.045206,16.747301
1692387595083,24.609503,-19.329706,-1.2349069
1692387595083,50.344913,-38.421055,12.428122
1692387595123,31.221224,-14.231973,23.933956
1692387595123,16.956913,-26.15583,25.951012
1692387595163,4.5132194,-31.420055,24.822706
1692387595164,-0.7917298,-23.986658,18.352322
1692387595205,1.9403968,-15.015318,13.139601
1692387595205,0.7713676,-9.60736,11.685501
1692387595245,-0.5437902,-8.9102545,11.717841
1692387595246,0.8168831,-8.661117,10.571569
1692387595286,2.003879,-7.920892,9.271982
1692387595286,2.6410956,-6.81774,7.4441767
1692387595326,2.3260806,-6.1421943,6.234423
1692387595326,2.2937407,-6.2056766,6.218852
1692387595367,2.7237422,-6.2428074,6.379354
1692387595367,2.7812355,-6.12303,6.2008853
1692387595407,2.548867,-5.9960656,6.0116367
1692387595407,2.068559,-5.689435,6.2559834
1692387595448,1.7822905,-4.9587917,6.883618
1692387595449,1.5391419,-4.6773148,7.205819
1692387595488,1.4421221,-4.1586776,7.218995
1692387595488,1.0300872,-3.7143028,6.995011
1692387595530,0.9162985,-3.6627984,7.4453745
1692387595530,0.8576075,-4.128733,7.7735653
1692387595573,0.9270785,-3.7418516,8.071812
1692387595573,0.8073009,-3.7382584,8.388024
1692387595611,0.97738504,-3.6316564,8.652733
1692387595611,1.0300872,-2.9932418,8.857553
1692387595652,1.0396694,-2.6422935,8.937803
1692387595652,1.0073295,-2.8135755,9.153403
1692387595692,1.0109228,-2.9513197,9.339058
1692387595692,1.0229006,-2.4841871,9.137832
1692387595733,0.88276076,-2.08413,9.008472
1692387595733,0.6935122,-1.8793103,9.129447
1692387595785,0.68393,-1.9391991,9.21928
1692387595785,0.5952946,-2.436276,9.213292
1692387595814,0.73543435,-2.5045493,9.083932
1692387595814,0.7881365,-2.3153007,9.105492
1692387595854,0.77855426,-2.227863,9.267192
1692387595854,0.7713676,-2.3356628,9.478
1692387595895,0.82526755,-2.9357486,9.437276
1692387595895,0.86838746,-2.922573,9.200116
1692387595936,0.9162985,-2.6926,9.118668
1692387595936,1.0217028,-2.405134,9.244433
1692387595976,0.99535173,-2.5225158,9.414518
1692387595977,0.9426496,-2.59558,9.604964
1692387596018,0.96900064,-2.7872243,9.486384
1692387596018,0.96420956,-2.4554405,9.39176
1692387596058,1.0169116,-2.675831,9.303124
1692387596058,1.1187227,-2.3979473,9.276773
1692387596099,1.1498648,-2.5560536,9.382178
1692387596099,1.1810069,-2.6015692,9.379783
1692387596140,1.218138,-2.7980044,9.246829
1692387596140,1.2361046,-2.6027668,9.141425
1692387596180,1.2492802,-2.5213182,9.261203
1692387596180,1.2924001,-2.6303158,9.27318
1692387596221,1.3822333,-2.5309002,9.371398
1692387596221,1.3990022,-2.6003714,9.500758
1692387596260,1.3403112,-2.6997867,9.389364
1692387596260,1.3007846,-2.5740201,9.360618
1692387596302,1.2672468,-2.6734357,9.355827
1692387596302,1.3427067,-2.5081425,9.280367
1692387596344,1.2528735,-2.6111512,9.379783
1692387596344,1.2852135,-2.704578,9.358223
1692387596383,1.3714533,-2.7656643,9.364211
1692387596383,1.4397266,-2.8614864,9.396551
1692387596424,1.4972198,-2.6937978,9.3941555
1692387596424,1.4457154,-2.8998153,9.359421
1692387596464,1.4840442,-2.8399265,9.313905
1692387596464,1.437331,-2.6997867,9.3546295
1692387596505,1.4493088,-2.8387287,9.360618
1692387596505,1.4493088,-2.7273355,9.3546295
1692387596545,1.474462,-2.6926,9.276773
1692387596545,1.4888353,-2.6219313,9.310311
1692387596587,1.4972198,-2.734522,9.293543
1692387596587,1.4864398,-2.7261379,9.230061
1692387596627,1.5032086,-2.6985888,9.2504225
1692387596628,1.5044065,-2.6650512,9.174963
1692387596667,1.576273,-2.6147447,9.28396
1692387596667,1.5690863,-2.6135468,9.292345
1692387596708,1.5127909,-2.6135468,9.178556
1692387596708,1.463682,-2.6566668,9.206105
1692387596748,1.4133755,-2.7153578,9.240841
1692387596748,1.4804509,-2.7237422,9.232456
1692387596790,1.5427352,-2.6518757,9.156996
1692387596790,1.5391419,-2.7321267,9.231258
1692387596829,1.5666908,-2.7956088,9.2959385
1692387596829,1.565493,-2.751291,9.361815
1692387596871,1.5391419,-2.7453022,9.25162
1692387596871,1.5475264,-2.7333245,9.208501
1692387596911,1.5559108,-2.8183665,9.177359
1692387596911,1.4804509,-2.756082,9.246829
1692387596952,1.5223731,-2.8399265,9.228863
1692387596952,1.5139886,-2.794411,9.227665
1692387596992,1.5187798,-2.8003998,9.2504225
1692387596992,1.565493,-2.8650799,9.255214
1692387597033,1.6146019,-2.8626842,9.227665
1692387597033,1.613404,-2.863882,9.189336
1692387597073,1.6481395,-2.8339376,9.172567
1692387597074,1.6960505,-2.868673,9.172567
1692387597114,1.6744906,-2.8866398,9.159391
1692387597114,1.7020395,-2.848311,9.122261
1692387597155,1.6637106,-2.8387287,9.220478
