time,x,y,z
1703574090374,-0.0011977758,0.17128195,9.77385
1703574090375,0.083844304,0.047911033,9.729533
1703574090376,-0.009582207,-0.117382035,9.747499
1703574090377,0.032339945,-0.13534866,9.72594
1703574090413,0.0,-0.09821762,9.703182
1703574090413,0.09222874,-0.11498648,9.740313
1703574090455,0.05988879,-0.052702136,9.690006
1703574090456,0.08504208,-0.10779983,9.759478
1703574090489,0.062284343,-0.07665765,9.778642
1703574090489,0.026351068,-0.11498648,9.72594
1703574090535,0.17607304,-0.1485242,9.771455
1703574090536,0.16050196,-0.067075446,9.784631
1703574090572,0.09342651,-0.035933275,9.739116
1703574090573,0.09941539,-0.053899914,9.718753
1703574090615,0.020362189,-0.08623986,9.703182
1703574090615,0.095822066,-0.05150436,9.75828
1703574090652,0.0011977758,0.009582207,9.684017
1703574090652,0.09222874,-0.03713105,9.698391
1703574090692,0.04551548,-0.061086565,9.729533
1703574090694,0.02275774,-0.056295462,9.745104
1703574090735,0.08025098,-0.058691017,9.739116
1703574090735,0.09821762,-0.12816201,9.7930155
1703574090774,0.12816201,-0.14972198,9.77385
1703574090775,0.10540427,-0.16768861,9.772653
1703574090814,0.12097536,-0.12696424,9.740313
1703574090814,0.17487527,-0.15091975,9.686413
1703574090854,0.20242411,-0.067075446,9.655271
1703574090854,0.22039075,0.047911033,9.640898
1703574090896,0.23356628,0.025153292,9.59658
1703574090897,0.24913737,-0.008384431,9.5510645
1703574090936,0.25991735,-0.18086416,9.582207
1703574090936,0.29105952,-0.20122634,9.604964
1703574090977,0.40963933,-0.29585063,9.527109
1703574090977,0.46353924,-0.34735498,9.555856
1703574091021,0.31980616,-0.22158852,9.561845
1703574091021,0.81927866,0.83365196,9.13304
1703574091060,0.17128195,-0.07905321,9.5858
1703574091061,0.31621283,-0.21559966,9.475605
1703574091099,0.48270366,-0.104206495,9.408529
1703574091099,0.5006703,-0.0023955517,9.361815
1703574091140,0.7545988,0.13654645,9.353432
1703574091140,0.98457175,0.056295462,9.349838
1703574091183,0.92947406,-0.19044636,9.340256
1703574091184,0.9462429,-0.29345506,9.143821
1703574091220,0.86000305,-0.3928705,9.089921
1703574091221,0.8324542,-0.48629698,9.057581
1703574091261,0.731841,-0.7222588,9.18694
1703574091261,0.56295466,-1.0324827,9.378585
1703574091302,0.5258236,-1.3642666,9.6361065
1703574091302,0.7078855,-1.543933,9.753489
1703574091342,0.89354074,-1.795466,9.746302
1703574091343,0.8983319,-2.1008987,9.800201
1703574091383,0.66237,-2.4805937,10.087668
1703574091383,0.64560115,-2.826751,10.3619585
1703574091470,0.93186957,-2.8135755,10.365552
1703574091471,1.1450737,-2.4770005,9.913991
1703574091472,1.2061603,-2.2889495,9.522318
1703574091472,0.97858286,-2.377585,9.331871
1703574091506,0.64320564,-2.538087,9.263598
1703574091506,0.35933274,-2.6590624,9.130645
1703574091550,0.2275774,-2.772851,9.06357
1703574091551,0.22637963,-2.9908462,9.06836
1703574091586,0.3425639,-3.3956945,9.123459
1703574091586,0.6060746,-3.7059183,9.17137
1703574091627,0.8576075,-3.8508494,9.1653805
1703574091628,0.95223176,-3.8197072,9.109085
1703574091667,0.8875519,-3.750236,8.962956
1703574091667,0.8372453,-4.0257244,9.137832
1703574091708,0.9450451,-4.18982,9.263598
1703574091708,1.1103382,-3.9251113,9.180952
1703574091748,1.0672183,-3.740654,9.14981
1703574091748,0.8144876,-3.654414,9.081536
1703574091789,0.7677743,-3.6220741,9.08513
1703574091789,0.68632555,-3.6460297,9.153403
1703574091830,0.5605591,-3.4555833,9.122261
1703574091830,0.47791255,-3.2986746,9.071954
1703574091870,0.49468142,-3.3861122,8.962956
1703574091871,0.6539856,-3.5657787,8.88031
1703574091911,0.73543435,-3.6951385,8.941397
1703574091911,0.9570229,-3.8316848,9.207303
1703574091951,1.2013692,-3.9658358,9.409727
1703574091952,1.3415089,-3.9933846,9.450451
1703574091995,1.4229577,-4.012549,9.353432
1703574091995,1.6122062,-3.9790113,9.329476
1703574092037,1.6649084,-3.858036,9.226467
1703574092037,1.6110085,-3.7011273,9.11747
1703574092073,1.5008131,-3.5286477,8.903068
1703574092073,1.5391419,-3.4963076,8.887497
1703574092114,1.7319839,-3.580152,8.917441
1703574092114,1.8505636,-3.6364474,8.892288
1703574092155,1.9835168,-3.6891496,8.91265
1703574092155,2.08413,-3.8963647,9.051592
1703574092197,2.1763587,-3.9586492,9.069558
1703574092197,2.2422364,-3.7658072,8.784488
1703574092235,2.254214,-3.6376452,8.456297
1703574092236,2.3284762,-3.7478406,8.483846
1703574092277,2.3200917,-3.6136897,8.594042
1703574092277,2.3452451,-3.404079,8.373651
1703574092317,2.431485,-3.4795387,8.295795
1703574092317,2.5560536,-3.9143314,8.383233
1703574092358,2.6926,-4.04968,8.615602
1703574092358,2.7596755,-3.9466712,8.953374
1703574092399,2.7321267,-3.8903759,9.038416
1703574092399,2.7117646,-3.6747763,8.766521
1703574092439,2.7129622,-3.9454737,8.663512
1703574092439,2.8075864,-3.9778135,8.737775
1703574092533,2.784829,-3.9358914,8.795268
1703574092533,2.6363046,-3.889178,8.851563
1703574092533,2.6375024,-3.836476,8.813234
1703574092534,2.6422935,-3.7226872,8.592844
1703574092566,2.7069733,-3.9502647,8.591646
1703574092566,2.7644665,-4.0856133,8.633568
1703574092601,2.8003998,-3.9670336,8.687469
1703574092601,2.756082,-3.901156,8.748554
1703574092643,2.7129622,-3.8831892,8.620393
1703574092643,2.6147447,-3.916727,8.579668
1703574092683,2.5596468,-3.9442759,8.42755
1703574092684,2.5572515,-3.9873958,8.528164
1703574092724,2.6003714,-3.9742203,8.69705
1703574092725,2.6087558,-4.0137467,8.7988615
1703574092765,2.5045493,-4.1107664,8.622788
1703574092765,2.4758027,-3.9502647,8.380837
1703574092805,2.4817915,-3.8879802,8.312564
1703574092805,2.5871959,-3.9670336,8.574877
1703574092852,2.5848002,-4.037702,8.658721
1703574092852,2.5213182,-4.102382,8.591646
1703574092885,2.4793959,-4.001769,8.462286
1703574092885,2.6039646,-3.9885936,8.5569105
1703574092927,2.5991735,-3.932298,8.619195
1703574092927,2.4722092,-4.0065603,8.626382
1703574092968,2.4398694,-4.0640535,8.631172
1703574092968,2.3608162,-3.990989,8.537746
1703574093010,2.4746048,-3.9119358,8.497022
1703574093011,2.4997582,-3.9850001,8.5569105
1703574093050,2.5632403,-4.0916023,8.568889
1703574093051,2.5225158,-4.1275353,8.516186
1703574093088,2.5237136,-4.0592623,8.3868265
1703574093089,2.4817915,-3.959847,8.318553
1703574093129,2.463825,-4.0329113,8.450309
1703574093130,2.4650226,-4.10358,8.491033
1703574093169,2.405134,-4.1970067,8.39042
1703574093170,2.4015405,-4.145502,8.237104
1703574093213,2.463825,-4.1694574,8.306576
1703574093214,2.5213182,-4.231742,8.486241
1703574093251,2.485385,-4.226951,8.564097
1703574093252,2.485385,-4.2329397,8.574877
1703574093292,2.4710116,-4.139513,8.552119
1703574093292,2.4626272,-4.1263375,8.511395
1703574093332,2.4877803,-4.111964,8.42755
1703574093333,2.5596468,-4.139513,8.4718685
1703574093373,2.5261092,-4.1670623,8.602426
1703574093373,2.4746048,-4.1431065,8.579668
1703574093413,2.4829893,-4.1694574,8.550921
1703574093413,2.5500648,-4.162271,8.506604
1703574093455,2.5740201,-4.0844154,8.461088
1703574093456,2.6207335,-4.104778,8.500615
1703574093497,2.6147447,-4.1478977,8.613206
1703574093497,2.645887,-4.1071734,8.582064
1703574093596,2.6171403,-4.1011844,8.501813
1703574093596,2.6351068,-4.0904045,8.441924
1703574093597,2.6003714,-4.1275353,8.39042
1703574093597,2.6087558,-4.137118,8.402397
1703574093638,2.6638534,-4.104778,8.360476
1703574093638,2.6638534,-4.151491,8.3413105
1703574093668,2.6351068,-4.0904045,8.310168
1703574093668,2.6087558,-4.093998,8.371255
1703574093704,2.5692291,-4.1383157,8.380837
1703574093704,2.5680313,-4.2029953,8.431144
1703574093739,2.575218,-4.2293463,8.4263525
1703574093739,2.6279202,-4.213775,8.440726
1703574093778,2.6327112,-4.1742487,8.548526
1703574093779,2.7009845,-4.1754465,8.709028
1703574093821,2.7273355,-4.086811,9.070756
1703574093822,2.814773,-4.1431065,9.9367485
1703574093861,3.0100107,-4.494055,11.083019
1703574093862,3.2675323,-5.1863694,12.331102
1703574093904,3.50589,-5.893057,13.92055
1703574093904,3.0471418,-5.8092127,16.45145
1703574093969,2.0422077,-5.7780704,18.691292
1703574093970,1.3007846,-6.3721676,20.255587
1703574093994,1.0720093,-7.298048,21.26651
1703574093994,0.96660507,-8.138886,21.241356
1703574094026,0.54259247,-8.383233,20.230434
1703574094026,0.2036219,-8.499417,19.195555
1703574094068,-0.019164413,-8.925825,17.034767
1703574094069,-0.45395705,-9.154601,14.156512
1703574094117,-0.8779697,-9.065966,11.58369
1703574094117,-0.7629832,-8.669501,8.755741
1703574094145,-0.112590924,-7.98078,5.8175974
1703574094146,0.3713105,-7.0381308,2.911793
1703574094186,0.8767719,-5.646315,0.5509769
1703574094187,1.8278059,-4.2065887,-1.0516472
1703574094230,2.9632974,-2.8363333,-2.2218742
1703574094230,4.0808225,-1.5858552,-3.5825474
1703574094267,5.097734,-0.4072438,-5.476231
1703574094268,6.6752048,0.81927866,-7.1339526
