time,x,y,z
1703573888762,0.4503637,1.565493,9.688808
1703573888763,0.43958372,1.7511482,9.719951
1703573888786,0.40365046,1.7403682,9.668447
1703573888786,0.41682598,1.4433199,9.594184
1703573888816,0.5174391,1.5391419,9.52112
1703573888817,0.44916594,1.5283619,9.598975
1703573888852,0.42880374,1.4804509,9.616942
1703573888852,0.4611437,1.4013977,9.615745
1703573888898,0.41682598,1.4109799,9.685215
1703573888898,0.3928705,1.4672754,9.691204
1703573888949,0.34855276,1.6014262,9.610953
1703573888949,0.2862684,1.4600887,9.560647
1703573888979,0.3066306,1.502011,9.660062
1703573888980,0.26949957,1.5511197,9.576218
1703573889016,0.27668622,1.4241555,9.506746
1703573889016,0.2718951,1.218138,9.52112
1703573889057,0.23715961,1.3894199,9.776246
1703573889058,0.33897057,1.5798663,9.760675
1703573889097,0.2718951,1.4013977,9.789422
1703573889097,0.30423507,1.3103667,9.769059
1703573889139,0.22637963,1.3690578,9.735522
1703573889140,0.23955517,1.4552976,9.667249
1703573889177,0.23715961,1.3954089,9.67204
1703573889177,0.2874662,1.3091689,9.771455
1703573889217,0.23476407,1.4025955,9.734324
1703573889218,0.22398408,1.3307289,9.612151
1703573889259,0.16768861,1.2780268,9.606162
1703573889260,0.2227863,1.2935979,9.674436
1703573889301,0.21679743,1.2864113,9.684017
1703573889301,0.25632402,1.3127623,9.733127
1703573889341,0.26351067,1.3774422,9.740313
1703573889341,0.25512624,1.463682,9.70438
1703573889379,0.29944396,1.32474,9.5858
1703573889380,0.23117073,1.133096,9.554658
1703573889421,0.20002857,1.2265224,9.663655
1703573889421,0.138942,1.3750466,9.81218
1703573889462,0.26111513,1.2109513,9.804993
1703573889462,0.21919298,1.0372739,9.59658
1703573889501,0.15451308,1.1318982,9.537889
1703573889502,0.055097688,1.185798,9.608558
1703573889542,0.089833185,1.0756027,9.729533
1703573889542,0.08743764,1.0001428,9.767862
1703573889583,0.044317707,0.9534296,9.767862
1703573889584,0.062284343,0.96660507,9.735522
1703573889625,0.1437331,1.0875804,9.676831
1703573889625,0.1832597,1.0276916,9.657666
1703573889664,0.112590924,1.0827893,9.687611
1703573889665,-0.069471,1.0025383,9.778642
1703573889705,-0.02874662,1.0037361,9.832541
1703573889706,0.0023955517,1.0240983,9.825356
1703573889746,0.075459875,0.9965495,9.737918
1703573889747,0.104206495,0.98936284,9.734324
1703573889789,0.067075446,1.0229006,9.82296
1703573889789,0.117382035,0.82526755,9.8912325
1703573889890,0.029944396,0.94983625,9.77385
1703573889890,0.056295462,1.1666336,9.748697
1703573889891,0.06348212,1.2420936,9.742708
1703573889891,0.062284343,1.1342937,9.712764
1703573889926,0.041922152,0.9270785,9.643293
1703573889927,0.09103096,0.8983319,9.592987
1703573889951,0.10181095,1.111536,9.554658
1703573889952,0.14013977,1.074405,9.487582
1703573889990,0.1533153,1.0444605,9.442067
1703573889991,0.38209048,1.063625,9.315103
1703573890031,1.4205621,0.86000305,9.2108965
1703573890032,0.41323265,1.6852705,8.978528
1703573890070,1.4588909,2.2350497,8.748554
1703573890071,0.7893343,1.2373024,8.961759
1703573890111,0.7917298,0.9354629,9.039614
1703573890111,1.0803938,1.6421506,8.8970785
1703573890155,0.7773565,1.5319552,8.989307
1703573890156,0.44437483,0.6539856,9.448055
1703573890193,0.09342651,-0.05988879,10.007417
1703573890193,0.09821762,-0.20122634,10.148754
1703573890235,0.17607304,0.28866398,10.01101
1703573890235,0.117382035,0.35933274,9.967891
1703573890276,0.07306433,0.12217313,10.195468
1703573890276,0.31621283,-0.061086565,10.373937
1703573890314,0.43838596,0.05749324,10.383518
1703573890314,0.35454166,0.15810642,10.316443
1703573890355,0.41562822,-0.08623986,10.203853
1703573890356,0.42521042,-0.24314849,10.29129
1703573890395,0.34855276,0.09222874,10.439815
1703573890396,0.32579502,0.09103096,10.439815
1703573890436,0.20002857,-0.14133754,10.39909
1703573890436,0.138942,-0.3317839,10.145162
1703573890478,0.18924858,-0.25033516,9.82296
1703573890478,0.32938835,0.04910881,9.54268
1703573890517,0.5318125,0.097019844,9.164183
1703573890517,0.61206347,-0.11618426,8.7533455
1703573890559,0.59050345,-0.7186655,8.405991
1703573890559,0.50426364,-0.9390563,8.365267
1703573890598,0.43000153,-0.79053205,8.526966
1703573890599,0.47911033,-0.9222874,8.917441
1703573890641,0.3425639,-1.2732357,9.194127
1703573890641,0.12576646,-1.6229862,9.174963
1703573890679,0.10540427,-1.634964,9.242039
1703573890680,0.34855276,-1.4397266,9.313905
1703573890721,0.65159005,-1.3534867,9.395353
1703573890722,0.7653788,-1.2816201,9.2695875
1703573890763,0.71626997,-1.2744335,8.952176
1703573890763,0.7581921,-1.8002571,8.895881
1703573890801,0.93785846,-2.6434913,9.069558
1703573890802,0.8276631,-2.6842155,9.3941555
1703573890843,0.5605591,-1.8505636,9.377387
1703573890843,0.55337244,-1.415771,9.18215
1703573890883,0.7665765,-2.0817344,9.08513
1703573890883,1.148667,-3.1765015,9.23605
1703573890987,1.4624842,-3.814916,9.158194
1703573890988,1.4229577,-3.130986,9.3809805
1703573890989,1.3283334,-2.2590053,9.724742
1703573890989,1.5786686,-2.4877803,10.423045
1703573891029,1.4277488,-2.1296453,11.352519
1703573891029,1.2612579,-1.2396979,12.654502
1703573891049,1.2636535,-1.1127337,14.302641
1703573891050,1.1127337,-1.5259664,17.287498
1703573891086,0.9797806,-1.2169403,20.357397
1703573891087,1.0624272,-1.0217028,21.840244
1703573891126,1.3762444,-2.5476692,22.694258
1703573891127,0.801312,-4.508428,23.532701
1703573891169,0.016768862,-6.246401,23.87766
1703573891169,0.48150587,-8.8970785,22.74217
1703573891210,0.32819057,-11.289037,21.052109
1703573891210,0.082646534,-12.689237,18.2014
1703573891249,0.13055757,-13.103667,16.08613
1703573891250,-0.033537723,-12.254444,13.738489
1703573891289,0.5378013,-11.617228,11.423188
1703573891290,0.56295466,-10.4338255,8.758137
1703573891329,0.8324542,-9.3546295,5.705006
1703573891329,0.7773565,-7.6561832,3.7921584
1703573891371,1.4505066,-6.4500227,0.96900064
1703573891372,2.7524889,-4.7300167,-0.8276631
1703573891410,3.4951098,-2.6398978,-1.9427924
1703573891411,4.371882,-1.4085844,-3.3837168
1703573891450,5.946957,-0.4503637,-5.7085996
1703573891451,8.30897,-0.5857124,-8.990505
1703573891492,11.091404,-0.8084987,-12.2520485
1703573891492,13.197094,-1.4025955,-14.799718
1703573891532,13.14559,-2.7009845,-15.7830925
1703573891532,13.054559,-3.3753324,-18.698479
1703573891573,12.135864,-5.047427,-20.697567
1703573891574,7.095624,-5.962528,-21.925287
1703573891613,5.2762027,-7.524428,-20.762247
1703573891614,12.266422,-10.593129,-15.628579
1703573891654,22.152864,-10.820706,-10.4338255
1703573891655,36.30099,-8.31496,7.207017
1703573891697,49.262123,-12.165809,31.700335
1703573891697,50.397617,-11.828036,41.468197
1703573891738,54.234093,-8.189194,53.548965
1703573891738,41.575996,-9.190534,56.290672
1703573891776,20.074722,-0.5461858,50.737785
1703573891776,7.030944,3.4232433,40.2812
1703573891816,1.843377,3.0423505,32.436966
1703573891816,2.4482539,2.6003714,25.564129
1703573891863,4.315586,2.734522,20.53946
1703573891864,5.409156,0.85880524,16.643095
1703573891907,6.2919164,-1.2444891,12.974308
1703573891908,7.474121,-3.6711829,11.633997
1703573891942,7.8035097,-5.233083,9.43488
1703573891942,6.429661,-5.678655,6.8548713
1703573891984,4.77673,-5.8954525,5.7577085
1703573891984,3.4220455,-4.1155577,4.226951
1703573892095,2.4302871,-1.7774993,2.249423
1703573892095,1.5103953,-0.33417946,1.2456869
1703573892096,0.6875233,0.06467989,2.003879
1703573892097,0.3772994,-1.042065,2.751291
1703573892122,0.112590924,-1.5774708,3.7394562
1703573892122,-0.5054614,-0.4216171,4.415002
1703573892146,-0.74022543,0.9594184,4.708457
1703573892147,-0.8432342,0.94025403,5.822388
1703573892190,-0.94983625,0.2179952,8.520977
1703573892190,-1.2337091,-0.37969494,9.590591
1703573892252,-1.3067734,0.20481966,8.771313
1703573892253,-1.2624557,1.2516757,8.307774
1703573892279,-1.3726511,2.068559,8.88031
1703573892279,-1.3403112,1.3223445,10.389507
1703573892307,-1.2648513,0.406046,10.571569
1703573892307,-1.3031801,0.26949957,9.874464
1703573892346,-1.3007846,1.266049,9.438474
1703573892346,-1.1426781,1.8589481,9.494769
1703573892387,-0.8025098,1.5355486,10.170315
1703573892387,-0.79891646,0.74142325,10.081679
1703573892426,-0.8767719,0.38927713,9.646887
1703573892427,-0.9354629,1.0157139,9.445661
1703573892469,-0.9462429,1.3163556,9.785829
1703573892469,-0.86479414,1.0732071,9.994242
1703573892509,-0.9737917,0.81927866,9.7930155
1703573892509,-0.96420956,1.4397266,9.390562
1703573892553,-0.8084987,1.645744,9.26839
1703573892553,-0.64560115,1.1738203,9.648085
1703573892591,-0.6995011,1.1295027,9.832541
1703573892591,-0.7366321,1.4804509,9.592987
1703573892630,-0.6276345,1.8841014,9.449253
1703573892631,-0.4898903,1.4588909,9.559449
1703573892674,-0.2970484,0.9007274,9.919979
1703573892675,-0.4012549,1.3175534,9.943934
1703573892713,-0.5401969,2.0853276,9.6397
1703573892714,-0.4455726,2.036219,9.546273
1703573892754,-0.28027955,1.3307289,9.6936
1703573892754,-0.17367749,1.2528735,9.742708
1703573892793,-0.33537722,1.832597,9.724742
1703573892793,-0.43838596,1.9655502,9.664853
1703573892833,-0.32579502,1.5810641,9.640898
1703573892834,-0.2515329,1.543933,9.516329
1703573892876,-0.2227863,1.6074152,9.560647
1703573892876,-0.1832597,1.5008131,9.898419
1703573892915,-0.20841299,1.502011,9.948726
1703573892915,-0.18685302,1.5319552,9.622931
1703573892956,-0.19403969,1.6277773,9.549867
1703573892956,-0.21679743,1.3714533,9.673238
1703573892996,-0.2383574,1.4289466,9.870871
1703573892996,-0.3713105,1.9200346,9.676831
1703573893037,-0.34975055,2.2470274,9.349838
1703573893037,-0.3030373,1.923628,9.130645
1703573893077,-0.36292607,1.3091689,9.131843
1703573893077,-0.47312146,1.2480824,9.016856
1703573893172,-0.63721675,1.8769147,8.742566
1703573893173,-0.475517,1.8038504,8.736577
1703573893173,-0.277884,1.2708402,8.706633
1703573893174,-0.3761016,1.0660205,8.824015
1703573893213,-0.3964638,1.3067734,8.85875
1703573893213,-0.3509483,1.3762444,9.022845
1703573893240,-0.267104,1.1055471,8.881508
1703573893241,-0.31501505,1.0839871,8.797664
1703573893280,-0.34735498,0.9534296,9.421704
1703573893280,0.07066877,0.41802377,9.649282
1703573893321,0.17008416,0.4551548,9.428891
1703573893321,-0.047911033,0.8564097,8.900672
1703573893361,-0.07905321,1.1079426,9.0803385
1703573893361,0.5845146,0.26470846,10.246972
1703573893403,1.2193358,-0.62643677,10.535636
1703573893404,1.1953803,-0.3269928,10.015801
1703573893442,0.90551853,0.65997446,9.51034
1703573893442,1.1678314,0.29944396,9.705578
1703573893483,1.8960792,-0.9007274,10.660205
1703573893483,2.1727653,-1.5271642,10.9045515
1703573893524,1.8122349,-0.74381876,10.408672
1703573893525,1.4253533,0.3557394,9.875662
1703573893570,1.5103953,0.42281488,9.765467
1703573893570,1.9212325,-0.8061031,9.997835
1703573893606,2.0829322,-1.4660776,10.196666
1703573893607,1.9415946,-1.0923716,10.207445
1703573893646,1.7882793,-0.39526603,10.28051
