time,x,y,z
1663046730581,-4.6271777,-0.2562671,9.172925
1663046730582,-5.0439115,-0.6490503,9.017249
1663046730598,-4.8451247,-0.37122804,8.938213
1663046730598,-4.648733,-0.21555176,8.861572
1663046730619,-4.792434,-0.39996827,8.691526
1663046730619,-4.854705,-0.6394702,8.490345
1663046730637,-4.768484,-0.6179151,8.353828
1663046730638,-4.749324,-0.5843848,8.298743
1663046730659,-4.7804594,-0.7568262,8.267608
1663046730659,-4.756509,-0.94603276,8.262817
1663046730677,-4.7229786,-1.0346485,8.238868
1663046730677,-4.737349,-1.0346485,8.178992
1663046730701,-4.775669,-0.9963282,8.152647
1663046730702,-4.799619,-1.0298585,8.126302
1663046730713,-4.792434,-1.0274634,8.119117
1663046730714,-4.8044095,-0.9987232,8.119117
1663046730733,-4.8044095,-0.9987232,8.155042
1663046730733,-4.7804594,-0.9867481,8.222102
1663046730751,-4.7948294,-0.90052736,8.272398
1663046730751,-4.8283596,-0.85741705,8.289163
1663046730770,-4.8211746,-0.8310718,8.315508
1663046730771,-4.799619,-0.7879615,8.380174
1663046730791,-4.792434,-0.74724615,8.471185
1663046730791,-4.7469287,-0.69216067,8.519085
1663046730815,-4.7397437,-0.74006104,8.57417
1663046730815,-4.749324,-0.75203615,8.610096
1663046730827,-4.773274,-0.7041358,8.62207
1663046730828,-4.773274,-0.7161109,8.650811
1663046730847,-4.773274,-0.7232959,8.6627865
1663046730847,-4.7876444,-0.7424561,8.6627865
1663046730866,-4.790039,-0.7592212,8.650811
1663046730866,-4.806804,-0.75203615,8.636441
1663046730885,-4.799619,-0.8143067,8.614885
1663046730885,-4.775669,-0.847837,8.62207
1663046730904,-4.766089,-0.81191164,8.62207
1663046730904,-4.749324,-0.7664063,8.581355
1663046730922,-4.751719,-0.79993653,8.523875
1663046730923,-4.756509,-0.7951465,8.485555
1663046730942,-4.734954,-0.8214917,8.490345
1663046730942,-4.7133985,-0.8143067,8.487949
1663046730964,-4.7133985,-0.7831714,8.490345
1663046730965,-4.744534,-0.7783814,8.466394
1663046730985,-4.761299,-0.8047266,8.461604
1663046730985,-4.782854,-0.8047266,8.459209
1663046731003,-4.7876444,-0.8310718,8.48316
1663046731003,-4.7780643,-0.8885523,8.50711
1663046731026,-4.7708793,-0.9029224,8.53106
1663046731027,-4.768484,-0.87418216,8.533455
1663046731061,-4.7804594,-0.86939216,8.52627
1663046731061,-4.768484,-0.8813672,8.53106
1663046731065,-4.7876444,-0.8669971,8.557405
1663046731066,-4.8020144,-0.81909674,8.54543
1663046731083,-4.7948294,-0.79993653,8.55501
1663046731083,-4.7708793,-0.82388675,8.56938
1663046731105,-4.756509,-0.82388675,8.57896
1663046731105,-4.754114,-0.8310718,8.586145
1663046731123,-4.7229786,-0.8310718,8.576566
1663046731124,-4.7086086,-0.859812,8.56938
1663046731139,-4.7253737,-0.8861573,8.557405
1663046731139,-4.718189,-0.855022,8.56459
1663046731155,-4.7253737,-0.86220706,8.54543
1663046731155,-4.7133985,-0.90771246,8.5502205
1663046731171,-4.6894484,-0.90052736,8.54543
1663046731172,-4.6990285,-0.855022,8.54543
1663046731189,-4.6918435,-0.8430469,8.52148
1663046731190,-4.7133985,-0.8669971,8.502319
1663046731209,-4.7325587,-0.8646021,8.49753
1663046731209,-4.737349,-0.8286768,8.485555
