time,x,y,z
1663046730582,-0.15515971,0.080634184,0.00977384
1663046730599,-0.12950338,0.07819072,-0.01343903
1663046730619,0.00488692,0.080634184,-0.03909536
1663046730638,0.0488692,0.07086034,-0.05009093
1663046730659,0.014660761,0.061086502,-0.04520401
1663046730677,0.01954768,0.029321522,-0.03420844
1663046730702,0.03176498,0.00610865,-0.01588249
1663046730714,0.00488692,-0.01343903,-0.00610865
1663046730734,-0.02076941,-0.03787363,-0.0036651902
1663046730752,-0.03176498,-0.0488692,0.00488692
1663046730771,-0.029321522,-0.05253439,0.0122173
1663046730791,-0.021991141,-0.054977853,0.00977384
1663046730815,-0.036651902,-0.04276055,-0.00122173
1663046730828,-0.04153882,-0.02809979,-0.00977384
1663046730847,-0.036651902,-0.018325951,-0.01588249
1663046730866,-0.04276055,-0.00610865,-0.021991141
1663046730885,-0.036651902,-0.00244346,-0.0244346
1663046730904,-0.014660761,-0.00977384,-0.01954768
1663046730923,-0.01588249,-0.0122173,-0.014660761
1663046730942,-0.0073303804,-0.01954768,-0.010995571
1663046730965,0.0,-0.02809979,-0.01343903
1663046730985,-0.00977384,-0.029321522,-0.01588249
1663046731003,-0.014660761,-0.029321522,-0.01710422
1663046731027,-0.00977384,-0.030543251,-0.01343903
1663046731062,-0.00855211,-0.029321522,-0.00977384
1663046731066,-0.0073303804,-0.02687806,-0.00610865
1663046731083,-0.01343903,-0.02321287,-0.00855211
1663046731105,-0.010995571,-0.01954768,-0.0122173
1663046731124,-0.0073303804,-0.018325951,-0.01343903
1663046731139,-0.00610865,-0.01710422,-0.0122173
1663046731156,-0.00488692,-0.01588249,-0.01343903
1663046731172,0.0036651902,-0.01710422,-0.010995571
1663046731190,0.00610865,-0.01954768,-0.010995571
1663046731209,-0.00122173,-0.01710422,-0.0122173
1663046731228,-0.0073303804,-0.018325951,-0.014660761
1663046731247,-0.00488692,-0.01710422,-0.01588249
1663046731266,-0.0036651902,-0.01710422,-0.01710422
1663046731285,-0.00855211,-0.01588249,-0.01954768
1663046731304,-0.010995571,-0.01588249,-0.021991141
1663046731322,-0.00488692,-0.018325951,-0.02076941
1663046731342,-0.00610865,-0.02076941,-0.02076941
1663046731362,-0.0122173,-0.02321287,-0.02076941
1663046731380,-0.0122173,-0.02321287,-0.02076941
1663046731399,-0.0073303804,-0.0244346,-0.02076941
1663046731418,-0.010995571,-0.0244346,-0.02321287
1663046731437,-0.014660761,-0.0244346,-0.030543251
1663046731456,-0.01954768,-0.029321522,-0.036651902
1663046731474,-0.03176498,-0.02809979,-0.030543251
1663046731494,-0.029321522,-0.02809979,-0.014660761
1663046731513,-0.01343903,-0.03298671,-0.00244346
1663046731532,-0.00488692,-0.03543017,0.00122173
1663046731551,-0.00122173,-0.03543017,0.0
1663046731570,-0.00244346,-0.03298671,-0.00244346
1663046731589,-0.00977384,-0.029321522,-0.0036651902
1663046731609,-0.0073303804,-0.02687806,-0.00488692
1663046731627,0.0,-0.030543251,-0.00488692
1663046731647,-0.00122173,-0.03176498,-0.00244346
1663046731666,0.0036651902,-0.03298671,0.00488692
1663046731694,0.014660761,-0.03543017,0.0073303804
1663046731703,0.025656331,-0.03543017,0.00977384
1663046731723,0.0244346,-0.03176498,0.0122173
1663046731741,0.02076941,-0.0244346,0.014660761
1663046731761,0.01343903,-0.01343903,0.01710422
1663046731780,0.00488692,-0.0036651902,0.018325951
1663046731799,-0.010995571,0.00488692,0.025656331
1663046731817,-0.01588249,0.00488692,0.036651902
1663046731836,-0.010995571,-0.00488692,0.05253439
1663046731856,-0.00488692,-0.01954768,0.073303804
1663046731875,0.0122173,-0.03420844,0.08918629
1663046731894,0.021991141,-0.043982282,0.0977384
1663046731912,0.01343903,-0.0488692,0.0977384
1663046731931,0.010995571,-0.05253439,0.09040802
1663046731951,0.02076941,-0.054977853,0.080634184
1663046731975,0.040317092,-0.058643043,0.07208207
1663046731999,0.03787363,-0.061086502,0.067195155
1663046732014,0.02076941,-0.05253439,0.067195155
1663046732033,0.036651902,-0.04520401,0.06841688
1663046732060,0.07941245,-0.04276055,0.067195155
1663046732074,0.101403594,-0.04520401,0.061086502
1663046732094,0.073303804,-0.04276055,0.047647472
1663046732111,0.040317092,-0.04276055,0.029321522
1663046732130,0.02321287,-0.04276055,0.00855211
1663046732144,0.01710422,-0.04520401,-0.0122173
1663046732161,0.0036651902,-0.04520401,-0.0244346
1663046732179,-0.00855211,-0.04276055,-0.02809979
1663046732198,0.00244346,-0.047647472,-0.030543251
1663046732217,0.00855211,-0.05619958,-0.03176498
1663046732236,0.00122173,-0.05742131,-0.030543251
1663046732255,-0.00122173,-0.05375612,-0.0244346
1663046732275,0.00488692,-0.05009093,-0.01710422
1663046732293,0.018325951,-0.05009093,-0.010995571
1663046732312,0.0244346,-0.04642574,-0.00610865
1663046732330,0.03543017,-0.04153882,-0.00244346
1663046732350,0.02809979,-0.03176498,-0.00122173
1663046732369,0.010995571,-0.0244346,-0.0073303804
1663046732388,-0.00122173,-0.02321287,-0.01588249
1663046732406,-0.00488692,-0.025656331,-0.01710422
1663046732426,-0.00244346,-0.029321522,-0.010995571
1663046732445,0.0036651902,-0.03298671,-0.00488692
1663046732465,0.00122173,-0.03787363,-0.00122173
1663046732484,-0.00244346,-0.04276055,0.00244346
1663046732503,-0.00122173,-0.047647472,0.0036651902
1663046732522,0.00488692,-0.05375612,0.0
1663046732540,0.010995571,-0.05986477,-0.00488692
1663046732559,0.018325951,-0.06963861,-0.010995571
1663046732579,0.02076941,-0.07574726,-0.014660761
1663046732598,0.01710422,-0.0855211,-0.01710422
1663046732616,0.0073303804,-0.09040802,-0.018325951
1663046732635,0.0073303804,-0.09407321,-0.01710422
1663046732654,0.0244346,-0.0977384,-0.01343903
1663046732674,0.03543017,-0.09896013,-0.00855211
1663046732692,0.014660761,-0.09162975,-0.00855211
1663046732712,-0.0073303804,-0.08918629,-0.01343903
1663046732731,-0.018325951,-0.08918629,-0.02076941
1663046732750,-0.01343903,-0.09285148,-0.02809979
1663046732769,-0.010995571,-0.09896013,-0.03298671
1663046732787,-0.0122173,-0.101403594,-0.040317092
1663046732806,-0.01954768,-0.0977384,-0.04153882
