time,x,y,z
0,8.928633,0.34488282,8.432864
0,8.629255,0.6394702,7.6233473
0,8.289163,-1.096919,6.337222
0,9.072334,-0.56522465,6.9958525
0,9.616004,4.095484,8.396939
0,8.547825,7.862849,8.859178
0,6.706055,7.6353226,8.087981
0,6.0402393,4.9289503,6.473738
0,6.5407987,3.1949563,6.0522146
0,6.8042507,4.3493557,6.6270194
0,6.466553,6.2701616,7.038963
0,5.9875493,6.210286,7.1323686
0,5.858218,5.391189,6.837781
0,5.712122,4.8427296,7.0365677
0,5.695357,4.0571632,7.32876
0,5.877378,3.3506324,7.4054008
0,5.9228835,2.8285182,7.510782
0,5.630691,2.7351124,7.7646537
0,5.839058,2.1219873,8.387359
0,6.3060865,0.78556645,9.21364
0,6.593489,-0.40715334,9.568104
0,6.6749196,-1.6549586,9.592053
0,6.356382,-1.5591577,9.254355
0,6.239026,-1.1543995,8.681946
0,6.2677665,-1.5735279,9.096285
0,6.452183,-2.914739,9.79563
0,6.464158,-3.9829175,10.039923
0,6.349197,-3.796106,9.750125
0,6.332432,-3.0871804,8.792117
0,6.356382,-2.9746144,7.999366
0,6.104905,-3.3793726,7.9873905
0,6.0354495,-3.7170706,8.054451
0,5.7073317,-2.9626393,8.01613
0,5.1708474,-1.8561403,8.011341
0,4.591253,-1.4705421,8.035291
0,3.894302,-1.4106666,7.7167535
0,3.5182838,-1.5232325,7.573052
0,3.297942,-1.4250367,7.814949
0,3.3362625,-1.2981006,8.327483
0,3.7529957,-1.3244458,8.459209
0,4.2439747,-1.6357985,8.423284
0,4.6822634,-2.0070264,8.092772
0,5.6929617,-2.4093897,8.423284
0,7.6161623,-3.027305,9.239985
0,9.568104,-2.668052,9.690249
0,11.2374325,-1.9926564,9.436378
0,12.152329,-1.7627344,8.456815
0,11.752361,-2.179468,7.94428
0,11.479329,-2.816543,7.3551054
0,11.383529,-2.0285816,6.9024467
0,10.712923,-1.0035132,6.330037
0,9.17053,-1.0394385,5.637876
0,7.1635036,-1.4154567,5.8198977
0,5.7791824,-1.5711329,6.09293
0,5.374424,-1.1448194,5.886958
0,4.974456,-1.2166699,5.7863674
0,4.119434,-1.4729371,6.3851223
0,3.8104763,-1.3244458,7.0030375
0,4.006868,-0.58198977,7.3622904
0,3.8248463,0.23471193,7.072493
0,3.3578174,-0.40715334,6.3899126
0,3.2548318,-1.5423926,6.2653713
0,3.03928,-1.9567311,6.4905033
0,2.6201515,-1.6908839,6.4330225
0,2.3854396,-1.6070582,6.219866
0,2.2393434,-1.7387843,6.239026
0,2.3064039,-1.3052857,7.1778736
0,2.8859987,-1.8034497,9.486672
0,3.2093263,-2.6536818,11.172767
0,2.8213332,-1.2885206,11.472144
0,3.171006,-0.9029224,11.486514
0,3.9206471,-2.083667,11.996654
0,4.119434,-2.7087672,11.943963
0,4.2224197,-2.7734327,11.829002
0,4.782854,-3.3985329,11.263778
0,4.869075,-3.4368532,10.471025
0,4.6750784,-3.0009596,9.606423
0,4.7086086,-2.9219239,8.842413
0,4.6750784,-3.0656252,8.47837
0,4.608018,-3.1949563,8.408914
0,4.773274,-3.173401,8.485555
0,5.125342,-3.1087356,8.411309
0,5.237908,-2.7590625,8.286768
0,5.4366946,-2.6273365,8.020921
0,5.6187162,-2.7015822,7.7478886
0,5.613926,-2.8093581,7.7430983
0,5.637876,-2.7782228,7.8820095
0,5.637876,-2.7782228,7.7790236
0,5.49178,-2.8548634,7.5251517
0,5.2929935,-2.663262,7.407796
0,5.1708474,-2.454895,7.31439
0,5.0774417,-2.687212,7.431746
0,4.9576907,-3.0225148,7.6113725
0,4.711004,-3.0656252,7.668853
0,4.550537,-2.682422,7.776629
0,4.567302,-2.4093897,7.8341093
0,4.5744877,-2.4453151,7.9394903
0,4.5816727,-2.694397,8.159832
0,4.497847,-2.799778,8.214917
0,4.4427614,-2.579436,8.277188
0,4.380491,-2.4956105,8.346643
0,4.358936,-2.5051906,8.308323
0,4.397256,-2.6704469,8.322693
0,4.4691067,-2.6704469,8.55501
0,4.485872,-2.5698562,8.660391
0,4.481082,-2.5219557,8.737032
0,4.481082,-2.6249416,8.638836
0,4.4259963,-2.6608667,8.528665
0,4.423601,-2.7351124,8.428074
0,4.4547367,-2.6608667,8.480764
0,4.543352,-2.699187,8.641231
0,4.543352,-2.7758276,8.53106
0,4.3637257,-2.6009912,8.380174
0,4.3349857,-2.692002,8.305928
0,4.2248144,-2.7303224,8.310719
0,4.1793094,-2.6464968,8.404124
0,4.2080493,-2.6321266,8.3179035
0,4.181704,-2.6033864,8.337064
0,4.25595,-2.7854078,8.370594
0,4.30385,-2.8907888,8.349038
0,4.3086405,-2.8931837,8.471185
0,4.382886,-2.9698243,8.442444
0,4.390071,-2.9865894,8.394544
0,4.4188113,-2.9817994,8.487949
0,4.4834766,-2.9650342,8.495134
0,4.505032,-3.0105398,8.365804
0,4.4451566,-3.0249097,8.387359
0,4.4212065,-2.8836036,8.475974
0,4.4834766,-2.919529,8.411309
0,4.4331813,-2.8883936,8.368198
0,4.416416,-2.8524685,8.368198
0,4.471502,-2.8548634,8.277188
0,4.4283915,-2.8931837,8.255632
0,4.4475513,-2.823728,8.308323
0,4.509822,-2.7901978,8.339458
0,4.488267,-2.8285182,8.3179035
0,4.4667115,-2.8357031,8.346643
0,4.512217,-2.8476784,8.3322735
0,4.4738965,-2.8333082,8.341853
0,4.4906616,-2.8692336,8.305928
0,4.493057,-2.8979738,8.301138
0,4.485872,-2.936294,8.262817
0,4.526587,-2.8333082,8.3322735
0,4.6032276,-2.8620484,8.365804
0,4.5696974,-2.929109,8.404124
0,4.5457473,-2.9985645,8.358619
0,4.521797,-2.9650342,8.327483
0,4.5074267,-2.9650342,8.277188
0,4.517007,-2.9746144,8.234077
0,4.533772,-2.9817994,8.267608
0,4.5074267,-2.9410841,8.238868
0,4.543352,-3.0704153,8.2125225
0,4.5792775,-3.1015503,8.246053
0,4.598438,-3.0153298,8.241262
0,4.636758,-3.1015503,8.152647
0,4.591253,-3.1494508,8.164622
0,4.5529323,-3.0368848,8.265213
0,4.5960426,-2.9674294,8.214917
0,4.5649076,-3.056045,8.174202
0,4.497847,-3.0296998,8.121511
0,4.4762917,-3.0009596,8.095166
0,4.4691067,-3.0919704,8.111932
0,4.4738965,-3.06802,8.250843
0,4.5601172,-3.1063404,8.255632
0,4.495452,-3.0536501,8.250843
0,4.4834766,-3.0033545,8.384964
0,4.543352,-3.0201197,8.413704
0,4.4643164,-3.0656252,8.4376545
0,4.4523416,-3.1422658,8.396939
0,4.4523416,-3.0704153,8.380174
0,4.423601,-3.05844,8.341853
0,4.4379716,-3.046465,8.3179035
0,4.4523416,-3.051255,8.361013
0,4.4451566,-3.0368848,8.308323
0,4.4212065,-3.0967603,8.291558
0,4.4403663,-3.1207106,8.298743
0,4.4834766,-3.0871804,8.293953
0,4.502637,-3.1159205,8.272398
0,4.481082,-3.168611,8.260423
0,4.4691067,-3.1183155,8.193362
0,4.4547367,-3.1326857,8.181387
0,4.502637,-3.1470559,8.171807
0,4.5385623,-3.1207106,8.258028
0,4.5457473,-3.1326857,8.253238
0,4.495452,-3.1183155,8.255632
0,4.481082,-3.0871804,8.226892
0,4.4643164,-3.046465,8.238868
0,4.4188113,-3.0608351,8.200547
0,4.361331,-3.04407,8.188572
0,4.3565407,-3.0344899,8.171807
0,4.3637257,-3.0847852,8.229287
0,4.4355764,-3.1494508,8.298743
0,4.4691067,-3.0296998,8.286768
0,4.4475513,-3.1542408,8.272398
0,4.399651,-3.2284865,8.3179035
0,4.4116263,-3.1853762,8.416099
0,4.4188113,-3.166216,8.454419
0,4.392466,-3.1255007,8.380174
0,4.399651,-3.0991554,8.396939
0,4.4451566,-3.1302907,8.358619
0,4.430786,-3.1374757,8.334668
0,4.404441,-3.06802,8.337064
0,4.385281,-3.0608351,8.368198
0,4.416416,-3.0847852,8.3322735
0,4.4691067,-3.1111305,8.315508
0,4.526587,-3.0728102,8.265213
0,4.5577226,-3.1159205,8.243657
0,4.521797,-3.1015503,8.270002
0,4.4834766,-3.0249097,8.310719
0,4.481082,-3.0344899,8.250843
0,4.4667115,-3.0656252,8.190968
0,4.481082,-3.0608351,8.174202
0,4.481082,-3.04407,8.131092
0,4.481082,-2.9841945,8.169412
0,4.517007,-3.0919704,8.272398
0,4.543352,-3.0991554,8.3322735
0,4.622388,-3.0895753,8.401729
0,4.7301636,-3.1446607,8.452024
0,4.806804,-3.1183155,8.372989
0,4.7397437,-3.0033545,8.310719
0,4.615203,-3.0153298,8.291558
0,4.524192,-3.0991554,8.248447
0,4.4619217,-3.0129347,8.164622
0,4.4379716,-2.8740237,8.111932
0,4.4188113,-2.9171338,8.066426
0,4.387676,-3.0225148,8.018526
0,4.3709106,-3.03928,8.0999565
0,4.287085,-2.914739,8.243657
0,4.2200246,-2.7590625,8.4376545
0,4.119434,-2.6560767,8.595725
0,3.9661524,-2.694397,8.789722
0,3.7410207,-2.6704469,8.995694
0,3.3985329,-2.193838,9.316627
0,2.8141482,-1.9040406,9.589659
0,2.2585034,-1.8872755,9.831555
0,1.6813037,-1.8872755,10.097403
0,1.0753639,-1.8824854,10.360855
0,0.60833496,-2.1459377,10.356065
0,0.39278322,-1.954336,10.116563
0,0.6658155,-1.9734962,9.877061
0,1.1280543,-2.3016138,9.793235
0,1.7986598,-2.692002,9.980047
0,2.3806496,-2.8404932,9.673484
0,2.7614577,-2.9698243,9.1202345
0,3.0823903,-2.823728,8.655601
0,3.4727786,-2.4022048,8.296348
0,3.899092,-2.5914114,7.8676395
0,4.311035,-2.9602442,7.209009
0,4.4547367,-2.7399025,6.856941
0,4.8044095,-1.9591261,6.71324
0,5.465435,-1.705254,6.557564
0,5.836663,-2.184258,6.2677665
0,5.738467,-2.4141798,6.09293
0,5.9540186,-2.0405567,6.4114676
0,6.5168486,-1.8633252,7.1611085
0,7.074888,-2.0142114,7.3575
0,7.1467385,-2.0118165,7.165899
0,7.2329593,-2.2656887,7.0245924
0,7.534732,-2.2513185,7.479646
0,7.9730206,-1.9950514,8.234077
0,8.222102,-1.8489552,8.181387
0,7.537127,-1.8944606,7.800579
0,6.935977,-2.074087,7.683223
0,6.557564,-1.8082398,7.8987746
0,6.1480155,-1.092129,7.9347
0,5.9156985,-0.75203615,7.917935
0,5.8989334,-0.9196875,7.9562554
0,5.927674,-0.75203615,8.267608
0,6.06419,-0.81191164,8.176597
0,6.262976,-1.1064991,7.94428
0,6.3060865,-1.2621753,7.6353226
0,6.567144,-1.4992822,8.013736
0,6.4210477,-0.97956306,8.487949
0,6.2677665,-0.3879932,8.583751
0,6.205496,-0.7113208,8.454419
0,6.0522146,-1.1615845,8.135881
0,6.016289,-1.1424243,7.8724294
0,5.968389,-0.96040285,7.7311234
0,5.9635987,-0.73527104,7.7502837
0,5.836663,-0.613125,7.9394903
0,5.601951,-0.66342044,7.783814
0,5.704937,-1.1472144,7.661668
0,5.733677,-1.3124708,7.767049
0,5.740862,-1.1879297,8.0999565
0,5.934859,-1.1088941,8.327483
0,5.999524,-0.9412427,8.372989
0,5.982759,-0.9651929,8.296348
0,5.9707837,-0.94603276,8.241262
0,5.865403,-0.852627,8.095166
0,5.736072,-0.8861573,7.9610453
0,5.6618266,-0.83586186,7.781419
0,5.6738014,-0.7783814,7.783814
0,5.726492,-0.7568262,7.8676395
0,5.807923,-0.84065187,7.879615
0,5.760022,-0.9580079,7.90117
0,5.609136,-1.0466236,7.913145
0,5.7791824,-1.0202783,7.92512
0,5.836663,-0.9915381,7.788604
0,5.5396805,-1.1184741,7.817344
0,5.4582496,-1.1975098,7.810159
0,5.5372853,-1.2789404,7.812554
0,5.252278,-1.1328443,7.6257424
0,5.110972,-0.98914313,7.683223
0,5.2858086,-1.5711329,7.776629
0,5.144502,-1.710044,7.8748245
0,5.3289185,-1.5974782,7.91075
0,5.719307,-1.5807129,7.94907
0,5.807923,-1.8561403,8.044871
0,5.7001467,-1.6813037,8.092772
0,5.9061184,-1.8513502,8.186177
0,5.992339,-1.9854712,8.253238
0,5.9133034,-1.8896705,8.097562
0,5.9635987,-1.5399976,7.7215433
0,6.0450296,-0.47900394,7.92512
0,6.2941117,-1.3986914,8.303533
0,6.023474,-1.6094532,8.523875
0,5.7839723,-0.51971924,8.183782
0,5.654641,0.18681154,7.7454934
0,5.6450615,-0.100590825,7.838899
0,5.7959476,-0.6730005,8.049661
0,5.848638,-0.8167017,8.059241
0,5.910908,-0.7568262,8.0017605
0,5.774392,-1.0753639,7.893985
0,5.7001467,-1.6453785,7.7862086
0,5.807923,-1.7986598,7.453301
0,5.6809864,-0.57001466,7.1611085
0,6.0043144,-0.50774413,7.702383
0,6.167176,-0.89573735,8.289163
0,5.822293,-0.7927515,8.281978
0,5.9947343,-0.91010743,8.018526
0,6.09293,-0.7592212,7.8269243
0,5.9707837,-0.9532178,7.676038
0,5.5253105,-1.2981006,7.5706573
0,5.7719975,-0.8933423,7.316785
0,5.8989334,-0.60833496,7.817344
0,5.740862,-0.9651929,7.951465
0,5.7767873,-0.7927515,7.807764
0,5.688172,-0.5125342,8.111932
0,5.5157304,-0.035925295,8.262817
0,5.374424,0.92208254,7.9778104
0,5.494175,-0.0047900393,7.8772197
0,5.52052,-0.23950197,7.9394903
0,5.704937,-0.07664063,7.965835
0,5.989944,-0.4143384,7.903565
0,6.0306597,-0.21315674,7.807764
0,5.910908,-1.0609937,7.1491337
0,5.7073317,-0.8214917,6.581514
0,5.992339,-1.9327809,7.6377177
0,6.478528,-2.7470875,8.720266
0,6.100115,-0.6682105,8.971744
0,6.0258694,-0.51013917,8.6627865
0,5.8175025,-0.5412744,8.1071415
0,5.53489,0.57959473,7.2329593
0,5.5660257,0.31374758,6.9096317
0,5.712122,-0.06706055,7.199429
0,6.1456203,-0.06227051,7.692803
0,6.8186207,-0.6346802,8.401729
0,6.832991,-0.8310718,8.4304695
0,6.2653713,-0.19878663,7.678433
0,6.013894,0.21794678,7.2808595
0,6.104905,-0.25387207,7.3455253
0,6.330037,-1.3795313,7.549102
0,6.047425,-2.2225783,7.4652762
0,5.982759,-1.6214283,7.7430983
0,6.013894,-1.2549903,7.7502837
0,5.860613,-0.4766089,7.4006104
0,5.855823,-0.12454102,7.32397
0,6.0378447,-0.7041358,7.194639
0,5.9396486,-0.7544312,7.2760696
0,6.143225,-0.7424561,7.654483
0,6.109695,-1.092129,7.8580594
0,5.9372535,-1.2669654,7.9155397
0,5.8031325,-1.2645704,7.549102
0,5.879773,-1.2334352,7.558682
0,6.095325,-2.0573218,7.5035963
0,6.217471,-2.3662794,7.7215433
0,6.2605815,-2.323169,7.95865
0,6.1863356,-2.2106032,7.893985
0,6.12646,-1.8465601,7.9921803
0,6.1552005,-1.7986598,7.565867
0,6.08814,-2.0453467,7.3766603
0,6.13604,-2.0573218,7.6377177
0,6.205496,-2.2800586,7.7215433
0,6.200706,-2.076482,8.068821
0,6.100115,-1.6860938,8.138277
0,6.1216702,-1.7771046,7.831714
0,6.0354495,-1.9064356,7.4006104
0,5.9947343,-1.5687379,7.101233
0,6.0570045,-1.8824854,6.947952
0,6.1743608,-1.6836988,7.206614
0,6.0402393,-1.8800904,6.981482
0,6.0617948,-1.5423926,6.871311
0,6.248606,-1.3244458,6.828201
0,6.3012967,-1.8154249,6.7324004
0,6.5479836,-2.1722827,7.6592727
0,7.1491337,-1.0825489,8.777747
0,6.550379,-1.4968873,8.155042
0,6.1695704,-1.8705103,7.661668
0,5.961204,-1.2765454,7.544312
0,5.7767873,-1.7363893,7.1611085
0,5.7911572,-1.8992506,7.8652444
0,5.4127445,-1.8968556,7.8891945
0,5.125342,-2.339934,7.6425076
0,5.264253,-2.1507277,7.893985
0,5.6833816,-1.5208374,7.6496925
0,6.0665846,-1.2861255,7.781419
0,6.2653713,-1.3483961,7.8676395
0,6.3803325,-2.4069948,7.781419
0,6.7755103,-1.5926881,7.817344
0,6.543194,-1.0178833,7.6401124
0,6.423443,-1.5304176,7.2425394
0,6.253396,-1.1472144,6.9240017
0,6.1623855,-0.859812,7.1156034
0,6.1695704,-1.341211,7.6425076
0,6.2725563,-1.4010864,8.011341
0,6.325247,-1.5783179,7.9347
0,6.095325,-2.071692,7.6329274
0,5.724097,-2.703977,7.3096
0,5.7648125,-2.6153615,7.32876
0,5.855823,-1.8657203,7.417376
0,5.640271,-1.2717555,7.29523
0,5.8989334,-1.0801538,7.563472
0,5.958809,-0.96758795,7.6664577
0,6.071375,-1.2981006,7.975415
0,6.342012,-1.9016455,8.298743
0,6.2581863,-1.8944606,8.087981
0,6.212681,-1.6453785,7.7359133
0,6.2438164,-1.3627661,7.6257424
0,6.3060865,-1.1759547,7.4580913
0,6.3132715,-1.1879297,7.462881
0,6.4354177,-1.3004956,7.6281376
0,6.4928985,-1.2861255,7.7502837
0,6.5216384,-1.1352394,7.831714
0,6.5048733,-1.2573853,7.8868
0,6.5144534,-1.5423926,7.8772197
0,6.6270194,-1.4849122,7.9802055
0,6.864126,-1.0274634,7.7646537
0,7.3622904,-1.2813355,8.126302
0,8.164622,-2.339934,8.581355
0,8.758587,-2.7111623,9.158555
0,9.062755,-2.565066,9.807606
0,9.393267,-2.0980372,10.178833
0,9.230406,-1.8226099,9.230406
0,8.5502205,-0.12693603,8.727451
0,8.123906,-2.3519094,9.546548
0,7.6113725,-4.2104445,10.717712
0,6.861731,-3.2069314,10.921289
0,5.9300685,-2.4788454,10.3872
0,4.258345,-2.1627028,9.821976
0,2.3854396,-2.1555176,8.986114
0,0.73048097,-2.694397,7.8269243
0,-0.3305127,-4.164939,6.3923073
0,-0.89573735,-6.4186525,4.5744877
0,-1.1759547,-7.671248,3.2236965
0,-1.1903248,-7.829319,2.6488917
0,-0.9196875,-7.278465,3.2476466
0,-0.4766089,-6.5072684,4.282295
0,-0.2945874,-7.1539235,4.380491
0,-0.2562671,-7.213799,4.0499783
0,0.06945557,-6.7874856,3.803291
0,0.7759864,-6.1695704,4.4667115
0,1.3100758,-7.0198026,6.241421
0,1.0178833,-7.790999,5.863008
0,0.8885523,-3.4631984,6.488108
0,0.74006104,-2.9770093,5.4989653
0,0.79035646,-3.187771,5.4534597
0,0.97956306,-5.5588408,6.3084817
0,1.0106983,-6.7324004,7.3000197
0,0.6466553,-7.8532696,7.302415
0,0.62749517,-7.965835,6.598279
0,1.3699512,-7.453301,6.337222
0,1.2645704,-8.083191,3.791316
0,0.48618898,-9.541759,2.5938063
0,0.51013917,-11.464959,2.8620484
0,0.847837,-11.184742,4.2176294
0,1.2286451,-9.932146,4.366121
0,0.9532178,-8.854387,4.2990603
0,0.6466553,-7.6592727,3.6140847
0,1.0633887,-8.665181,3.06802
0,1.5304176,-10.083033,3.0201197
0,1.5112574,-10.312955,2.430945
0,1.5950831,-10.966795,1.7220191
0,2.095642,-12.303216,1.7842896
0,2.335144,-12.432547,2.3686745
0,2.193838,-11.060201,2.8931837
0,2.4069948,-10.051897,3.2404616
0,2.9770093,-9.376502,3.3793726
0,3.3673975,-8.911868,3.537444
0,3.5997145,-8.856783,3.6140847
0,3.8535867,-9.192085,3.652405
0,3.915857,-9.168135,3.5781593
0,3.6500099,-8.447234,3.532654
0,3.3482375,-7.8269243,3.523074
0,3.300337,-7.7622585,3.4655933
0,3.4751735,-8.289163,3.6452198
0,3.412903,-8.600515,3.9733377
0,3.2045362,-8.432864,4.129014
0,3.1853762,-8.131092,4.1960745
0,3.2332766,-7.9059596,4.277505
0,3.178191,-7.822134,4.378096
0,3.1925611,-7.92991,4.4451566
0,3.278782,-7.975415,4.493057
0,3.2117214,-7.795789,4.4619217
0,3.0943654,-7.589817,4.232
0,3.1087356,-7.656878,3.9350173
0,3.05844,-7.9897857,3.774551
0,2.8668385,-8.341853,3.7194655
0,2.6321266,-8.459209,3.7649708
0,2.3926246,-8.320298,3.7266505
0,2.2824538,-8.178992,3.6763551
0,2.3303542,-8.459209,3.4991236
0,2.4333398,-9.074729,3.3099172
0,2.5890162,-9.690249,3.3602126
0,2.672842,-9.651929,3.542234
0,2.6273365,-9.237591,3.7027004
0,2.7303224,-9.08431,3.7506008
0,3.187771,-8.919053,3.6763551
0,3.6907253,-9.06994,3.6979103
0,3.9014869,-9.261541,3.8440065
0,3.923042,-9.230406,3.9350173
0,3.9422023,-9.237591,3.9326222
0,3.8008962,-9.11784,3.8368216
0,3.3889527,-8.595725,3.551814
0,3.1925611,-8.353828,3.4296682
0,3.2572267,-8.392149,3.5015187
0,3.2260914,-8.468789,3.527864
0,3.417693,-8.619676,3.432063
0,3.6548,-8.837623,3.3147073
0,3.7242556,-8.804092,3.1973512
0,4.0116577,-8.52148,3.1901662
0,4.232,-8.394544,3.2021413
0,4.184099,-8.327483,3.1853762
0,4.277505,-8.5502205,3.0752053
0,4.648733,-8.777747,2.9841945
0,4.9481106,-9.21364,2.8764186
0,5.3121533,-9.316627,2.8548634
0,5.374424,-9.045989,2.8596535
0,5.2594633,-9.115445,2.8524685
0,5.1876125,-9.079519,2.9027638
0,5.024751,-8.284373,2.9578493
0,4.617598,-8.0305,3.1183155
0,4.4643164,-8.226892,3.1542408
0,4.485872,-8.157437,2.929109
0,4.4331813,-8.590936,2.694397
0,4.4475513,-8.813672,2.7327175
0,4.4475513,-8.698711,2.684817
0,4.634363,-8.480764,2.6536818
0,4.7325587,-8.126302,2.574646
0,4.7636943,-7.9778104,2.4453151
0,4.905,-8.5119,2.4908204
0,5.245093,-8.792117,2.550696
0,5.5947657,-9.211246,2.435735
0,5.740862,-9.716595,2.3950195
0,6.10251,-9.316627,2.2585034
0,6.696475,-8.0017605,2.912344
0,6.9048414,-7.798184,4.311035
0,6.5144534,-9.031619,4.761299
0,6.128855,-9.604029,4.0356083
0,5.872588,-9.302257,3.7003052
0,5.992339,-9.18011,4.2511597
0,5.6666164,-8.533455,4.512217
0,4.9241605,-8.116721,3.7434156
0,4.4331813,-9.139395,3.391348
0,3.894302,-8.528665,3.2093263
0,3.3386574,-6.7946706,3.420088
0,3.278782,-5.846243,4.157754
0,2.8859987,-5.271438,4.751719
0,2.668052,-4.6607084,5.400769
0,3.0153298,-6.615044,5.5301003
0,3.7506008,-7.91075,5.5803957
0,4.0811133,-7.6209526,4.6511283
0,4.4427614,-4.7325587,5.5301003
0,5.3145485,-3.3626075,7.472461
0,5.5875807,-4.2918754,8.222102
0,4.711004,-5.000801,8.638836
0,4.414021,-4.382886,8.461604
0,4.1242237,-3.767366,7.8412943
0,3.1087356,-6.358777,7.185059
0,2.9506643,-7.5179667,6.231841
0,5.3935843,-3.0201197,8.49274
0,8.677156,-0.05748047,7.6329274
0,8.298743,-3.1039455,6.332432
0,6.349197,-5.8103175,6.5791187
0,5.4606447,-6.047425,6.8186207
0,6.461763,-4.9217653,7.1443434
0,6.5000834,-6.0761647,6.7683253
0,5.949229,-6.109695,6.725215
0,6.6102543,-5.5732107,7.704778
0,6.358777,-5.3217335,7.0030375
0,4.8834453,-5.233118,6.210286
0,4.591253,-4.5720925,6.72761
0,5.1828227,-5.4582496,6.085745
0,5.221143,-7.32397,4.782854
0,4.282295,-6.9240017,4.773274
0,3.2117214,-6.4354177,4.505032
0,2.9506643,-6.5791187,3.8823268
0,2.4788454,-8.729847,3.903882
0,2.2608986,-10.588382,4.263135
0,2.047742,-11.220667,4.239185
0,1.9734962,-10.195599,4.006868
0,2.42376,-8.866363,3.3793726
0,2.5914114,-7.2545147,3.0776002
0,3.3362625,-6.8856816,3.6308498
0,4.502637,-8.353828,4.533772
0,4.782854,-8.820857,4.6990285
0,4.373306,-5.702542,4.960086
0,5.022356,-4.018843,6.0665846
0,6.710845,-4.7469287,5.9228835
0,4.8307548,-4.3349857,6.6198344
0,0.77359134,-6.6174393,6.1480155
0,2.5171657,-9.333391,5.0271463
0,5.513335,-10.490186,4.9481106
0,8.701106,-2.1555176,6.2989016
0,9.14658,-1.9208057,6.047425
0,7.1203933,-9.996812,6.1959157
0,6.109695,-9.144185,6.4928985
