time,x,y,z
0,3.7446024,-1.3634508,4.3799024
0,3.733607,-1.0971136,4.499632
0,3.3878574,-0.94317555,4.5546093
0,3.602882,-0.96150154,4.5179577
0,4.1208954,-0.88941944,4.213747
0,3.6187644,-0.4312707,3.6945117
0,2.3774867,-0.0073303804,3.4184005
0,1.3524551,-0.0073303804,3.076316
0,1.2363908,-0.18081604,2.6853626
0,1.569923,-0.4031709,1.946216
0,1.4147633,-0.5448916,1.3561203
0,0.69272095,-0.65606904,0.8344416
0,0.1832595,-0.8063418,0.3579669
0,0.0855211,-0.9602798,-0.09651667
0,0.10629051,-1.1068875,-0.5400047
0,0.029321522,-1.2412777,-0.9896013
0,-0.21258102,-1.3267988,-1.4184285
0,-0.5265656,-1.3866636,-1.8106039
0,-0.8833108,-1.452637,-2.1245885
0,-1.0763441,-1.425759,-2.3835952
0,-1.1007787,-1.3402379,-2.547307
0,-1.1533132,-1.1814129,-2.60595
0,-1.1691957,-1.0433575,-2.5827372
0,-1.1655304,-0.9346235,-2.547307
0,-1.2803731,-0.8051201,-2.412917
0,-1.5234973,-0.6157519,-2.1942272
0,-1.5088366,-0.38606668,-1.9779809
0,-1.2192866,-0.23823735,-1.7531825
0,-1.0873398,-0.10018186,-1.5198321
0,-1.1374307,0.07941245,-1.2608254
0,-1.0971136,0.25045466,-0.9896013
0,-0.86376315,0.37140593,-0.7305946
0,-0.5119049,0.43249243,-0.5619958
0,-0.42149687,0.46547914,-0.4105013
0,-0.65240383,0.50335276,-0.28344136
0,-0.89674985,0.5131266,-0.1869247
0,-1.0201446,0.45448357,-0.073303804
0,-0.9810492,0.36285383,-0.00610865
0,-0.88941944,0.26022848,0.0488692
0,-0.9224062,0.19181162,0.10629051
0,-0.99082303,0.15638144,0.15027279
0,-0.94317555,0.13072512,0.20402892
0,-0.7819072,0.07208207,0.23823735
0,-0.4349359,0.058643043,0.24923292
0,0.04153882,0.10629051,0.27488926
0,0.21380275,0.2565633,0.4031709
0,0.08185591,0.6133085,0.6255258
0,0.087964565,1.0629051,0.9065237
0,0.46670088,1.3231336,1.2156214
0,1.0641268,1.3988808,1.4062113
0,1.194852,1.5467103,1.5283842
0,0.8539893,1.6395617,1.5955794
0,0.5742131,1.6175705,1.5650362
0,0.5607741,1.3878853,1.5503753
0,0.63285613,1.0103707,1.4953976
0,0.55222195,0.79045933,1.4147633
0,0.49968758,0.63896483,1.2644906
0,0.5766566,0.3506365,1.1337655
0,0.5253439,0.043982282,0.94195384
0,0.073303804,-0.13439031,0.74036837
0,-0.5400047,-0.23090698,0.5045745
0,-0.9896013,-0.42271858,0.31154117
0,-1.1056657,-0.6157519,0.01954768
0,-1.1423175,-0.8148939,-0.30787596
0,-1.3133597,-1.0140359,-0.5461133
0,-1.5564841,-1.1838564,-0.77213335
0,-1.6444486,-1.3597856,-1.0311401
0,-1.5137235,-1.4367545,-1.2058475
0,-1.1765261,-1.2754861,-1.317025
0,-0.9028585,-1.1252134,-1.3878853
0,-1.0396923,-0.96516675,-1.3903288
0,-1.2632688,-0.68661225,-1.3353509
0,-1.1423175,-0.43249243,-1.3109163
0,-0.9602798,-0.22724178,-1.2315038
0,-0.8210026,-0.014660761,-1.0787876
0,-0.5778783,0.16004664,-0.91141057
0,-0.40072745,0.28588483,-0.6976078
0,-0.366519,0.36041036,-0.47891816
0,-0.28344136,0.41416648,-0.26755887
0,-0.05986477,0.42394033,-0.067195155
0,0.2076941,0.38606668,0.080634184
0,0.4263838,0.34697133,0.21991141
0,0.53756124,0.3494148,0.32253674
0,0.51801354,0.3579669,0.39706227
0,0.4679226,0.37140593,0.43249243
0,0.4605922,0.39706227,0.44104454
0,0.4508184,0.3909536,0.4105013
0,0.38606668,0.39339706,0.35307997
0,0.31520635,0.3946188,0.28344136
0,0.2480112,0.366519,0.22968525
0,0.1710422,0.33108884,0.17226394
0,0.06352996,0.31642807,0.15149452
0,0.0122173,0.30665424,0.12828165
0,0.080634184,0.2797762,0.08429937
0,0.108733974,0.23090698,0.074525535
0,0.04642574,0.17959431,0.05375612
0,-0.06230823,0.15515971,0.036651902
0,-0.13927722,0.13805549,0.03909536
0,-0.08674283,0.11972954,0.021991141
0,-0.02076941,0.08918629,0.01588249
0,-0.03543017,0.07208207,0.01588249
0,-0.080634184,0.054977853,0.00488692
0,-0.07208207,0.021991141,-0.00488692
0,-0.03298671,-0.00488692,0.00977384
0,0.00488692,-0.01954768,0.00610865
0,-0.029321522,-0.02076941,0.00610865
0,-0.080634184,-0.00610865,0.00977384
0,-0.087964565,0.0,0.00855211
0,-0.07696899,0.00855211,0.010995571
0,-0.058643043,0.0036651902,0.00610865
0,-0.06475169,0.00977384,0.00122173
0,-0.058643043,0.03298671,-0.00244346
0,-0.04642574,0.036651902,-0.00977384
0,-0.07086034,0.030543251,-0.0122173
0,-0.0488692,0.021991141,-0.0244346
0,-0.029321522,-0.00244346,-0.02687806
0,-0.04276055,-0.021991141,-0.029321522
0,-0.080634184,-0.03543017,-0.025656331
0,-0.11239916,-0.047647472,-0.014660761
0,-0.10384705,-0.058643043,-0.0036651902
0,-0.080634184,-0.061086502,0.00122173
0,-0.06352996,-0.06352996,0.0122173
0,-0.04642574,-0.06230823,0.01954768
0,-0.05009093,-0.05742131,0.03176498
0,-0.05619958,-0.054977853,0.03909536
0,-0.05253439,-0.043982282,0.05253439
0,-0.01710422,-0.030543251,0.058643043
0,-0.00244346,-0.03298671,0.06352996
0,-0.025656331,-0.025656331,0.058643043
0,-0.03420844,-0.014660761,0.05742131
0,-0.03420844,-0.014660761,0.058643043
0,-0.036651902,-0.01588249,0.05742131
0,-0.01588249,-0.010995571,0.05375612
0,0.00977384,-0.02076941,0.05742131
0,0.00488692,-0.02687806,0.054977853
0,-0.02076941,-0.01588249,0.05986477
0,-0.01954768,-0.01710422,0.05619958
0,-0.0036651902,-0.0244346,0.05619958
0,0.00122173,-0.021991141,0.051312663
0,-0.00610865,-0.025656331,0.04642574
0,-0.00610865,-0.0244346,0.043982282
0,0.018325951,-0.02809979,0.040317092
0,0.03909536,-0.04642574,0.03543017
0,0.02076941,-0.05009093,0.021991141
0,-0.01343903,-0.036651902,0.018325951
0,-0.01954768,-0.02321287,0.01588249
0,0.0,-0.01954768,0.01954768
0,0.00488692,-0.0122173,0.025656331
0,0.00244346,-0.0122173,0.02321287
0,-0.00610865,-0.00977384,0.01954768
0,-0.0244346,-0.010995571,0.01954768
0,-0.04520401,-0.00855211,0.02076941
0,-0.01954768,-0.01343903,0.018325951
0,0.00122173,-0.01343903,0.02076941
0,-0.01954768,-0.00244346,0.025656331
0,-0.00855211,0.00244346,0.025656331
0,0.01588249,-0.00610865,0.021991141
0,-0.0036651902,-0.01343903,0.01954768
0,-0.03909536,-0.00244346,0.01710422
0,-0.0488692,-0.0073303804,0.014660761
0,-0.054977853,-0.01954768,0.010995571
0,-0.051312663,-0.025656331,0.00855211
0,-0.01710422,-0.03909536,0.0
0,0.01588249,-0.047647472,-0.00488692
0,0.03176498,-0.040317092,-0.00244346
0,0.00855211,-0.04276055,0.0
0,-0.03176498,-0.03787363,0.00244346
0,-0.061086502,-0.01588249,0.00610865
0,-0.058643043,-0.00855211,0.00855211
0,-0.02809979,-0.00488692,0.0036651902
0,-0.02321287,0.0073303804,0.00244346
0,-0.02321287,0.0122173,-0.00122173
0,-0.021991141,0.018325951,-0.00488692
0,-0.02809979,0.0244346,-0.00610865
0,-0.03787363,0.03176498,-0.00855211
0,-0.02809979,0.03176498,-0.01343903
0,-0.00977384,0.02687806,-0.01954768
0,-0.021991141,0.03176498,-0.01343903
0,-0.02809979,0.036651902,-0.01710422
0,-0.021991141,0.02809979,-0.0122173
0,-0.018325951,0.0244346,-0.00610865
0,-0.00244346,0.010995571,-0.00122173
0,0.00977384,-0.00122173,-0.00488692
0,0.00244346,-0.00244346,-0.00610865
0,0.00244346,0.0,-0.00610865
0,0.0,-0.00244346,-0.00244346
0,-0.01588249,0.0,0.0
0,-0.03176498,0.00244346,0.00122173
0,-0.040317092,-0.0036651902,0.0
0,-0.04520401,-0.01954768,-0.010995571
0,-0.040317092,-0.03176498,-0.02076941
0,-0.014660761,-0.04642574,-0.02687806
0,-0.00610865,-0.054977853,-0.0244346
0,-0.03298671,-0.040317092,-0.01588249
0,-0.030543251,-0.03787363,-0.00610865
0,-0.00122173,-0.04642574,-0.00122173
0,0.00610865,-0.043982282,0.00122173
0,0.00488692,-0.03420844,0.0036651902
0,-0.00488692,-0.02687806,0.0073303804
0,-0.010995571,-0.018325951,0.014660761
0,0.0036651902,-0.00855211,0.018325951
0,0.00977384,-0.00244346,0.021991141
0,0.0073303804,0.0,0.01588249
0,0.0073303804,-0.00488692,0.0073303804
0,0.01954768,-0.00977384,0.0036651902
0,0.02809979,-0.01343903,0.0036651902
0,0.02809979,-0.00610865,0.00855211
0,0.030543251,0.0,0.010995571
0,0.02687806,0.0,0.0036651902
0,0.00977384,-0.00122173,0.00122173
0,0.014660761,-0.00488692,-0.0073303804
0,0.0244346,-0.01343903,-0.00610865
0,0.029321522,-0.02076941,-0.00977384
0,0.018325951,-0.030543251,-0.0122173
0,0.00122173,-0.029321522,-0.0122173
0,0.01343903,-0.03176498,-0.018325951
0,0.03176498,-0.02809979,-0.02687806
0,0.047647472,-0.01343903,-0.03176498
0,0.05619958,0.01343903,-0.03787363
0,0.03787363,0.0488692,-0.04153882
0,-0.00855211,0.0855211,-0.036651902
0,-0.01588249,0.101403594,-0.04153882
0,0.021991141,0.0855211,-0.051312663
0,0.025656331,0.06597342,-0.058643043
0,-0.02076941,0.05742131,-0.058643043
0,-0.05253439,0.043982282,-0.05619958
0,-0.029321522,0.0244346,-0.051312663
0,0.0,-0.00122173,-0.04153882
0,-0.01954768,-0.029321522,-0.03787363
0,-0.08307764,-0.05619958,-0.02321287
0,-0.13439031,-0.074525535,0.00977384
0,-0.08918629,-0.07941245,0.061086502
0,0.0244346,-0.08674283,0.11484262
0,0.07941245,-0.06597342,0.16371182
0,0.0244346,-0.04276055,0.20158546
0,0.01588249,-0.00122173,0.21868968
0,0.08429937,0.04276055,0.26755887
0,0.25289813,0.10629051,0.33108884
0,0.5045745,0.09896013,0.33108884
0,0.6267475,0.08307764,0.31887153
0,0.6585125,0.10384705,0.24434601
0,0.7110469,0.10751224,0.17715086
0,0.77946377,0.12828165,0.116064355
0,0.8026766,0.14294241,0.06963861
0,0.75991607,0.10629051,0.01343903
0,0.65606904,0.043982282,-0.06352996
0,0.51923525,0.0073303804,-0.16126837
0,0.42516205,-0.054977853,-0.23457217
0,0.46425742,-0.15027279,-0.29199347
0,0.533896,-0.3139846,-0.33231056
0,0.4508184,-0.45448357,-0.31887153
0,0.22235486,-0.45326185,-0.2968804
0,0.17837258,-0.45448357,-0.3506365
0,0.30421078,-0.58398694,-0.37751457
0,0.3335323,-0.67683846,-0.37629285
0,0.18448123,-0.66095597,-0.3738494
0,0.0073303804,-0.59131736,-0.37262765
0,-0.05009093,-0.565661,-0.30054557
