time,x,y,z
1657260263770,9.778865,0.5484595,2.1243825
1657260263790,9.960887,0.6514453,2.066902
1657260263809,9.848321,0.9364527,2.0501368
1657260263830,9.388477,0.76161623,1.9567311
1657260263848,9.0076685,0.50534916,1.9974464
1657260263875,8.945398,0.42152345,1.9758912
1657260263895,9.043594,0.31853762,1.8776954
1657260263913,9.038804,0.07185059,1.7435743
1657260263933,9.17053,-0.13651612,1.7268091
1657260263947,9.419612,-0.28979737,1.7962648
1657260263967,9.68067,-0.33769777,1.7794995
1657260263979,9.922566,-0.30177248,1.6765138
1657260263997,10.049502,-0.016765138,1.705254
1657260264017,9.970467,0.25866213,1.8010547
1657260264038,9.70941,0.4526587,1.9160157
1657260264056,9.4435625,0.4981641,2.0333717
1657260264075,9.4435625,0.68737066,1.9926564
1657260264093,9.565708,0.80233157,1.839375
1657260264112,9.659114,0.6442603,1.7459693
1657260264131,9.75731,0.40954837,1.7411792
1657260264150,9.889036,0.244292,1.7603394
1657260264170,9.917776,0.364043,1.7890797
1657260264189,9.936936,0.5245093,1.8369801
1657260264208,9.901011,0.57719976,1.8345851
1657260264227,9.7740755,0.68737066,1.7914747
1657260264248,9.654325,0.5221143,1.7459693
1657260264266,9.72378,0.35925296,1.7172291
1657260264285,9.857901,0.22992188,1.7244141
1657260264303,9.75252,0.15328126,1.6597486
1657260264322,9.68067,0.081430666,1.4992822
1657260264340,9.707015,-0.021555176,1.3148658
1657260264362,9.524993,-0.28979737,1.214275
1657260264380,9.515413,-0.5245093,1.1831397
1657260264398,9.544153,-0.50774413,1.1567944
1657260264416,9.481883,-0.30416748,1.1400293
1657260264436,9.541759,-0.07424561,1.2022998
1657260264456,9.884246,0.06706055,1.2502003
1657260264474,10.308165,0.28500733,1.1975098
1657260264493,10.43031,0.46702883,1.2502003
1657260264511,10.44468,0.43589357,1.4585669
1657260264531,10.473421,0.25147706,1.7555494
1657260264551,10.487791,0.20357667,2.0405567
1657260264570,10.487791,0.2921924,2.2585034
1657260264589,10.41115,0.36883304,2.3686745
1657260264609,10.36804,0.366438,2.5842261
1657260264627,10.186019,0.34967285,2.684817
1657260264647,9.977652,0.22992188,2.6393116
1657260264665,9.821976,0.18441652,2.5842261
1657260264682,9.460327,-0.12693603,2.8285182
1657260264702,9.323812,-0.5125342,3.163821
1657260264721,9.613608,-1.2717555,3.551814
1657260264740,9.702225,-2.2776637,3.6404297
1657260264760,9.477093,-3.4560134,3.908672
1657260264778,9.460327,-5.125342,4.4259963
1657260264797,9.716595,-6.09772,4.8427296
1657260264816,9.558523,-5.6666164,4.9385304
1657260264836,9.002879,-5.2355127,5.108577
1657260264860,8.677156,-5.597161,5.3959794
1657260264879,8.466394,-6.1791506,5.415139
1657260264901,8.083191,-6.0378447,5.254673
1657260264925,7.3551054,-5.6426663,4.9720607
1657260264939,6.4282327,-5.398374,4.550537
1657260264957,5.740862,-5.6498513,4.071533
1657260264978,5.479805,-6.346802,3.5829494
1657260264998,5.1756372,-6.7635355,3.0009596
1657260265035,4.8163843,-6.806646,2.5123756
1657260265036,4.7157936,-6.5455885,2.1411476
1657260265067,4.670288,-6.3803325,1.949546
1657260265068,4.3278003,-6.06419,1.84177
1657260265102,4.2224197,-5.726492,1.6118482
1657260265102,4.5457473,-5.949229,1.2478052
1657260265133,4.88105,-6.6677346,0.7759864
1657260265138,5.230723,-7.5706573,0.6658155
1657260265168,5.5061502,-8.334668,0.80233157
1657260265202,5.8103175,-8.964559,1.4705421
1657260265203,5.7145166,-8.62207,2.703977
1657260265217,5.4989653,-8.313113,3.3147073
1657260265235,6.1408305,-8.5502205,3.6979103
1657260265254,6.557564,-9.168135,4.4667115
1657260265273,6.0019193,-7.5467067,5.736072
1657260265291,5.592371,-7.3096,6.248606
1657260265311,4.897815,-7.1227884,6.1312504
1657260265330,4.378096,-5.6929617,6.047425
1657260265350,4.167334,-6.1791506,6.224656
1657260265369,4.0116577,-6.3970976,6.5384035
1657260265388,4.2200246,-5.7624173,6.478528
1657260265434,4.888235,-5.4055595,6.1240654
1657260265436,5.3552637,-5.295388,6.241421
1657260265447,5.3959794,-5.518125,6.2581863
1657260265471,5.633086,-6.701265,6.0593996
1657260265482,5.8510327,-7.2425394,5.8677983
1657260265500,5.5229154,-6.480923,5.527705
1657260265520,5.3025737,-5.6354814,5.079837
1657260265541,5.4223247,-5.369634,4.8187795
1657260265560,5.863008,-5.575606,4.4691067
1657260265580,6.262976,-5.4103494,4.25595
1657260265597,6.351592,-5.4342995,4.392466
1657260265616,6.3779373,-5.601951,4.253555
1657260265635,6.349197,-6.239026,3.9853127
1657260265655,6.1647806,-8.54543,3.8008962
1657260265672,5.5444703,-7.822134,4.528982
1657260265691,5.695357,-5.716912,5.2594633
1657260265711,6.464158,-5.0678616,5.6761966
1657260265729,6.7228203,-5.3480787,5.5157304
1657260265748,6.6413894,-6.6174393,5.096602
1657260265767,6.720425,-7.2185893,4.988826
1657260265786,6.591094,-6.969507,4.7301636
1657260265806,6.303692,-6.550379,4.24158
1657260265826,6.183941,-6.6030693,3.803291
1657260265852,6.1743608,-6.686895,3.4727786
1657260265872,6.198311,-7.065308,3.1326857
1657260265889,6.167176,-7.223379,3.04886
1657260265913,5.726492,-7.175479,2.919529
1657260265934,5.6857767,-7.0293827,2.7566676
1657260265947,6.229446,-7.1778736,2.7542725
1657260265966,6.813831,-7.5299416,2.8261232
1657260265986,7.1371584,-7.695198,3.1255007
1657260265998,7.1874537,-7.3814507,3.3889527
1657260266015,7.2353544,-6.7371902,3.300337
1657260266034,7.33355,-6.356382,3.412903
1657260266052,7.175479,-6.1480155,3.4608033
1657260266071,7.27128,-6.11209,3.4608033
1657260266092,7.417376,-5.958809,3.1925611
1657260266113,7.7478886,-5.9635987,2.9889846
1657260266130,8.231683,-6.564749,3.03928
1657260266149,8.181387,-6.70366,3.173401
1657260266169,7.783814,-6.8928666,3.3626075
1657260266187,7.8341093,-7.180269,4.0811133
1657260266205,7.7622585,-7.060518,4.87147
1657260266224,7.470066,-6.9551373,5.1636624
1657260266245,7.3958206,-7.4964113,5.127737
1657260266262,7.685618,-7.8197393,5.0343313
1657260266282,8.291558,-7.3575,5.2905984
1657260266301,8.54543,-6.823411,5.6714063
1657260266321,8.073611,-7.0988383,5.479805
1657260266340,8.301138,-8.011341,5.0774417
1657260266358,8.353828,-8.337064,4.5768824
1657260266377,7.90117,-5.695357,4.4212065
1657260266396,7.893985,-4.646338,4.744534
1657260266415,8.370594,-7.316785,4.4595265
1657260266433,8.425679,-6.5192432,4.718189
1657260266454,7.4988065,-3.1159205,4.478687
1657260266472,7.165899,-1.9830762,4.174519
1657260266491,6.9958525,-3.7697608,4.9648757
1657260266510,6.5791187,-4.9361353,5.6618266
1657260266529,6.1623855,-3.65959,5.5732107
1657260266548,5.8103175,-2.8261232,5.127737
1657260266568,5.5875807,-2.6177564,5.0199614
1657260266587,5.333709,-3.1350808,5.4055595
1657260266606,5.0343313,-3.3626075,6.198311
1657260266624,5.0846267,-3.06802,6.5216384
1657260266650,5.4414845,-3.180586,6.2941117
1657260266684,5.5061502,-3.3817677,6.4593678
1657260266685,5.4199295,-3.3051271,6.7635355
1657260266719,5.400769,-3.3290772,6.792276
1657260266720,5.621111,-3.903882,6.816226
1657260266752,5.745652,-4.629573,6.7898808
1657260266756,5.6450615,-4.4116263,6.701265
1657260266784,5.5564456,-3.7529957,6.7395854
1657260266818,5.5780005,-3.5997145,7.0078273
1657260266819,5.597161,-4.0763235,7.3790555
1657260266848,5.52052,-4.3206153,7.4988065
1657260266857,5.5540504,-4.402046,7.436536
1657260266881,5.49178,-4.3349857,7.3742657
1657260266901,5.367239,-3.9661524,7.4580913
1657260266922,5.1636624,-3.9350173,7.6425076
1657260266942,5.0989966,-3.9445972,7.6353226
1657260266952,5.199588,-4.033213,7.606582
1657260266975,5.400769,-4.176914,7.544312
1657260266984,5.48699,-4.2200246,7.510782
1657260267005,5.4247193,-3.9685476,7.455696
1657260267023,5.360054,-4.140989,7.414981
1657260267041,5.278623,-4.5625124,7.3766603
1657260267061,5.2810183,-4.4595265,7.237749
1657260267080,5.4319043,-4.481082,7.062913
1657260267100,5.4271145,-4.634363,7.1419487
1657260267119,5.2977834,-4.4523416,7.1706886
1657260267138,5.2283278,-4.648733,7.1347637
1657260267158,5.1876125,-4.4667115,7.094048
1657260267176,5.1756372,-3.9781277,7.1299734
1657260267196,5.199588,-3.9757326,7.2928348
1657260267214,5.3480787,-4.3637257,7.32397
1657260267233,5.367239,-4.3349857,7.326365
1657260267253,5.398374,-4.0859036,7.2976246
1657260267270,5.4534597,-3.9805226,7.2593045
1657260267290,5.4534597,-4.1074586,7.3766603
1657260267309,5.3863993,-4.133804,7.510782
1657260267330,5.384004,-4.478687,7.4054008
1657260267349,5.367239,-4.27032,7.326365
1657260267366,5.3073635,-3.8392165,7.335945
1657260267385,5.3241286,-4.009263,7.3455253
1657260267404,5.2882032,-4.164939,7.311995
1657260267424,5.2929935,-4.3541455,7.2688847
1657260267446,5.326524,-4.615203,7.194639
1657260267465,5.343289,-4.3134303,7.1635036
1657260267481,5.3959794,-4.0859036,7.2329593
1657260267500,5.48699,-4.5457473,7.32397
1657260267519,5.364844,-4.26553,7.446116
1657260267538,5.3289185,-3.6021094,7.446116
1657260267556,5.3097587,-3.5829494,7.429351
1657260267576,5.295388,-3.9733377,7.4916215
1657260267595,5.3121533,-4.608018,7.4509063
1657260267614,5.2905984,-4.0811133,7.3790555
1657260267633,5.254673,-3.5949244,7.4748564
1657260267651,5.3241286,-3.767366,7.5035963
1657260267672,5.4534597,-3.908672,7.3646855
1657260267689,5.503755,-3.903882,7.2185893
1657260267709,5.4750147,-4.112249,7.1156034
1657260267730,5.4606447,-4.5864625,7.0269876
1657260267747,5.494175,-5.1732426,6.962322
1657260267766,5.407954,-4.646338,7.0245924
1657260267785,5.326524,-3.8775368,7.1323686
1657260267809,5.2810183,-3.7985013,7.230564
1657260267834,5.1780324,-4.054768,7.311995
1657260267848,5.1900077,-4.1170387,7.302415
1657260267866,5.2666483,-4.148174,7.2832546
1657260267887,5.4175344,-4.4403663,7.3814507
1657260267912,5.3792143,-4.3206153,7.436536
1657260267925,5.343289,-4.0763235,7.3814507
1657260267956,5.367239,-4.263135,7.3742657
1657260267964,5.4295096,-4.591253,7.340735
1657260267974,5.3552637,-4.497847,7.3311553
1657260267994,5.4103494,-4.2128396,7.2401443
1657260268013,5.4342995,-4.148174,7.197034
1657260268032,5.4319043,-4.2200246,7.220984
1657260268051,5.398374,-4.3421707,7.216194
