time,x,y,z
1657260263770,-0.03176498,-0.04153882,0.0488692
1657260263790,0.00855211,-0.030543251,0.030543251
1657260263809,0.021991141,0.02076941,0.05009093
1657260263831,-0.06352996,0.05619958,0.07941245
1657260263848,-0.14905107,0.036651902,0.07696899
1657260263875,-0.18081604,-0.014660761,0.040317092
1657260263896,-0.18203777,-0.06597342,0.0
1657260263913,-0.14782934,-0.08307764,-0.043982282
1657260263933,-0.05742131,-0.11117743,-0.102625325
1657260263947,0.06475169,-0.13439031,-0.13439031
1657260263968,0.17715086,-0.15271625,-0.11117743
1657260263979,0.24434601,-0.16859874,-0.04153882
1657260263998,0.22968525,-0.15393798,0.05619958
1657260264018,0.16371182,-0.12950338,0.1624901
1657260264038,0.08307764,-0.11484262,0.26267195
1657260264057,0.01343903,-0.117286086,0.3176498
1657260264075,-0.014660761,-0.13072512,0.31642807
1657260264094,-0.04520401,-0.11484262,0.2797762
1657260264112,-0.09407321,-0.07208207,0.21746795
1657260264131,-0.09285148,-0.047647472,0.15027279
1657260264150,-0.02809979,-0.04642574,0.10506878
1657260264170,0.06352996,-0.05375612,0.09651667
1657260264190,0.11117743,-0.07696899,0.108733974
1657260264208,0.08918629,-0.101403594,0.122173004
1657260264228,0.03543017,-0.11117743,0.13194685
1657260264248,-0.03909536,-0.108733974,0.13439031
1657260264266,-0.07086034,-0.102625325,0.11362089
1657260264285,-0.03787363,-0.07696899,0.0855211
1657260264303,-0.00122173,-0.029321522,0.07208207
1657260264322,0.00977384,-0.010995571,0.06230823
1657260264341,-0.036651902,-0.00244346,0.05742131
1657260264362,-0.08674283,0.0244346,0.06475169
1657260264381,-0.074525535,0.00977384,0.074525535
1657260264398,0.025656331,-0.00488692,0.10018186
1657260264417,0.102625325,-0.02809979,0.15760317
1657260264436,0.101403594,-0.07941245,0.2565633
1657260264456,0.051312663,-0.14049895,0.366519
1657260264474,-0.05619958,-0.14782934,0.4838051
1657260264493,-0.22846352,-0.07574726,0.5986477
1657260264511,-0.40927956,0.0122173,0.69027746
1657260264531,-0.49968758,0.102625325,0.75747263
1657260264551,-0.48747027,0.19303334,0.80878526
1657260264571,-0.44593146,0.28466308,0.855211
1657260264589,-0.44959664,0.37751457,0.8991933
1657260264609,-0.5326743,0.4679226,0.9175193
1657260264628,-0.69027746,0.5644393,0.91141057
1657260264648,-0.87842387,0.6585125,0.8857543
1657260264665,-1.0812311,0.7208207,0.86498487
1657260264683,-1.293812,0.75869435,0.8515458
1657260264702,-1.5992446,0.7367032,0.84421545
1657260264721,-1.8619165,0.72570765,0.86009794
1657260264740,-2.0085242,0.77213335,0.95783633
1657260264760,-1.9584333,0.900415,1.0372488
1657260264778,-1.6933178,1.0311401,1.0958918
1657260264797,-1.357342,1.1191047,1.1349872
1657260264816,-0.9395104,1.2718209,1.1936302
1657260264836,-0.6279692,1.420872,1.2596036
1657260264860,-0.5619958,1.470963,1.317025
1657260264880,-0.547335,1.4880672,1.3316858
1657260264901,-0.48624855,1.5002844,1.3915505
1657260264926,-0.42394033,1.534493,1.5332712
1657260264939,-0.46303567,1.538158,1.6884309
1657260264958,-0.5436699,1.4648542,1.7629564
1657260264978,-0.5962043,1.3585638,1.733635
1657260264998,-0.38851014,1.3182467,1.601688
1657260265036,-0.030543251,1.3121381,1.434311
1657260265036,0.16371182,1.2498298,1.2559384
1657260265068,0.23579389,1.1887434,1.1056657
1657260265068,0.18448123,1.1203264,1.0262532
1657260265102,-0.11239916,0.9407321,0.9737188
1657260265102,-0.5571089,0.70493823,0.9040802
1657260265133,-0.87720215,0.5326743,0.81245047
1657260265139,-0.84421545,0.398284,0.6585125
1657260265168,-0.46181396,0.29077175,0.46914434
1657260265202,0.07574726,0.1869247,0.33108884
1657260265203,0.58398694,0.040317092,0.16982047
1657260265217,0.8857543,-0.108733974,0.08674283
1657260265235,0.950506,-0.26145023,0.03787363
1657260265255,1.1533132,-0.14294241,0.06475169
1657260265273,1.1789695,0.0244346,0.12828165
1657260265292,1.05924,0.018325951,0.23335044
1657260265311,1.0739007,0.02321287,0.29443693
1657260265331,0.99815345,-0.04520401,0.32620192
1657260265350,0.79168105,-0.12461646,0.2736675
1657260265369,0.66095597,-0.21258102,0.18448123
1657260265389,0.69394267,-0.33841923,0.109955706
1657260265435,0.60353464,-0.38851014,0.07086034
1657260265436,0.24068081,-0.3139846,0.043982282
1657260265448,-0.30787596,-0.25778502,-0.010995571
1657260265471,-0.6633994,-0.25778502,-0.07941245
1657260265483,-0.60109115,-0.23335044,-0.12461646
1657260265501,-0.30787596,-0.20158546,-0.11362089
1657260265520,-0.22968525,-0.24923292,-0.08429937
1657260265541,-0.3824015,-0.35674515,-0.09285148
1657260265560,-0.66095597,-0.5045745,-0.13805549
1657260265580,-0.9871579,-0.63652134,-0.18936816
1657260265597,-1.2095127,-0.6841688,-0.21624622
1657260265616,-1.3793331,-0.687834,-0.21258102
1657260265635,-1.3414595,-0.5729914,-0.23212871
1657260265655,-0.7208207,-0.30787596,-0.38973188
1657260265672,0.15515971,-0.040317092,-0.6133085
1657260265691,0.62430406,-0.03420844,-0.75625086
1657260265711,0.321315,-0.16004664,-0.77579856
1657260265730,-0.3506365,-0.23457217,-0.72448593
1657260265748,-0.70493823,-0.18448123,-0.6633994
1657260265768,-0.64263,-0.05253439,-0.60719985
1657260265787,-0.40561438,0.09651667,-0.65240383
1657260265806,-0.2565633,0.19181162,-0.751364
1657260265826,-0.3738494,0.20158546,-0.85765445
1657260265853,-0.6682863,0.16737701,-0.95783633
1657260265872,-0.8063418,0.11239916,-1.0067055
1657260265890,-0.70615995,0.051312663,-0.99570996
1657260265913,-0.45692703,-0.00977384,-0.95905805
1657260265934,-0.24923292,-0.1624901,-0.9676102
