time,x,y,z
1657260263834,-0.0042487346,-0.0031699687,-0.062253
1657260263849,5.6691095E-4,-0.008022562,-0.08139515
1657260263868,5.4284185E-4,-0.0032082498,-0.07601166
1657260263890,-0.0044160523,0.0014307201,-0.0760088
1657260263903,-0.004425019,0.0015004575,-0.07600975
1657260263921,-0.0044897757,0.0014080405,-0.07600784
1657260263939,0.0051516704,-0.0034022778,-0.07660675
1657260263958,-0.00437459,-0.0033733398,-0.07182217
1657260263976,4.4221804E-4,-0.0034526438,-0.07182121
1657260263994,3.6431476E-4,-0.0033691823,-0.07182217
1657260264012,3.4228712E-4,-0.00344868,-0.07182026
1657260264035,2.1130219E-4,0.0012449175,-0.07181835
1657260264048,-0.0045829862,-0.0034576803,-0.0766058
1657260264066,-0.0046449974,-0.0033747852,-0.07182026
1657260264085,-0.004437916,-0.0033458322,-0.076607704
1657260264102,-0.004395213,-0.0034250766,-0.07182121
1657260264120,-0.004349429,0.0012677759,-0.0766058
1657260264139,4.6809763E-4,0.0012296885,-0.07660484
1657260264157,-0.0042735524,0.0010838062,-0.0718174
1657260264179,-0.0042282045,-0.003780961,-0.08138752
1657260264193,-0.00928103,0.0059565604,-0.0718174
1657260264211,2.124533E-4,-0.0036890954,-0.06702995
1657260264229,1.8390268E-4,-0.0036427826,-0.0718174
1657260264248,-0.004560847,-0.008315831,-0.07181835
1657260264270,-0.0046830587,-0.0034847409,-0.071819305
1657260264283,1.2926385E-4,0.006160304,-0.06703377
1657260264302,-0.004616741,0.0013532043,-0.07182026
1657260264320,1.404956E-4,-0.0033326596,-0.06703472
1657260264339,5.9731305E-5,-0.0032339245,-0.076607704
1657260264366,-2.0127743E-5,-0.0032436103,-0.07182217
1657260264374,-0.009754067,-0.0032531023,-0.07660675
1657260264392,-1.5625358E-4,0.0014563799,-0.0766058
1657260264411,-7.565692E-5,0.0015426576,-0.076607704
1657260264428,0.0045634545,-0.0033065677,-0.06703377
1657260264447,-0.005128041,0.0012403578,-0.06702995
1657260264469,-2.5962666E-4,-0.0033916533,-0.071819305
1657260264483,-3.3856183E-4,-0.0034548491,-0.06703091
1657260264503,-2.5564805E-4,-0.0036259443,-0.07181549
1657260264520,-6.242469E-5,-0.00829944,-0.0718174
1657260264537,-1.4353171E-4,0.0011963546,-0.071816444
1657260264562,-6.374717E-5,0.0011212826,-0.07660103
1657260264573,1.9866973E-5,8.831769E-4,-0.07181263
1657260264592,-7.484108E-6,0.0010792017,-0.07660103
1657260264614,-3.478676E-5,-0.0036603957,-0.07660198
1657260264627,1.5775114E-4,-0.008388162,-0.076602936
1657260264646,-0.0046409816,0.0012696534,-0.07181835
1657260264666,1.1777878E-4,0.0012480766,-0.071219444
1657260264682,9.108707E-5,0.0011723638,-0.07121754
1657260264700,-4.2963773E-5,0.0012049079,-0.07121849
1657260264719,-0.0050027296,0.0011832416,-0.06702995
1657260264738,-0.0051237233,0.0012702793,-0.06702995
1657260264757,-0.005138632,-0.003523305,-0.071816444
1657260264772,-5.398579E-4,-0.00358665,-0.076600075
1657260264791,-5.6397915E-4,-0.0034871548,-0.071816444
1657260264810,0.0042912513,0.0059954673,-0.07181454
1657260264828,0.0041989945,0.0012962967,-0.07660198
1657260264845,-6.6484883E-4,0.0012741387,-0.07660103
1657260264863,-0.00540806,0.0013064295,-0.07660198
1657260264881,-0.0055272058,-0.0035964996,-0.07181358
1657260264901,-0.0055370443,0.0011671036,-0.07659912
1657260264917,-0.005549267,-0.0037351847,-0.076597214
1657260264936,-7.878542E-4,-0.003797546,-0.07659531
1657260264956,-7.5959787E-4,-0.0037509352,-0.071811676
1657260264972,-8.8975206E-4,0.0010130107,-0.07181072
1657260264990,-0.005685568,9.918213E-4,-0.07180977
1657260265008,-8.6987764E-4,-0.0038562417,-0.081380844
1657260265026,-0.0057746433,0.0010710806,-0.071811676
1657260265045,-0.005840156,-0.008224949,-0.076600075
1657260265062,-0.005690098,-0.0033394843,-0.0718174
1657260265080,0.0040616095,0.0014775097,-0.07660389
1657260265102,-9.123683E-4,0.006120205,-0.07181549
1657260265117,-9.887554E-4,0.0013123453,-0.07181454
1657260265135,-0.005837675,0.0012900978,-0.07181454
1657260265153,-0.0010764226,0.0013226569,-0.07181454
1657260265171,-8.818209E-4,-0.0036346167,-0.07181263
1657260265190,-0.0011214875,-0.0036974847,-0.07659626
1657260265208,-0.0011974461,-0.008533105,-0.07659531
1657260265226,0.0035520345,0.0012875795,-0.07659817
1657260265247,0.0033521391,-0.0035063475,-0.07181263
1657260265262,-0.0062820166,-0.003569588,-0.07659626
1657260265280,-0.0014081113,0.0011938661,-0.07181072
