time,x,y,z
1657260263826,-0.001985312,-0.004276057,-4.5814895E-4
1657260263844,1.5271631E-4,-9.162979E-4,-0.0
1657260263868,3.0543262E-4,1.5271631E-4,6.1086525E-4
1657260263879,9.162979E-4,-7.6358154E-4,4.5814895E-4
1657260263901,-6.1086525E-4,-4.5814895E-4,-1.5271631E-4
1657260263916,1.5271631E-4,-4.5814895E-4,-1.5271631E-4
1657260263934,6.1086525E-4,1.5271631E-4,7.6358154E-4
1657260263952,-0.0,1.5271631E-4,-0.0
1657260263970,-1.5271631E-4,1.5271631E-4,-3.0543262E-4
1657260263989,-9.162979E-4,-3.0543262E-4,3.0543262E-4
1657260264007,1.5271631E-4,6.1086525E-4,-1.5271631E-4
1657260264025,7.6358154E-4,-6.1086525E-4,3.0543262E-4
1657260264046,-4.5814895E-4,-3.0543262E-4,-1.5271631E-4
1657260264061,-4.5814895E-4,-7.6358154E-4,-4.5814895E-4
1657260264080,0.0,7.6358154E-4,3.0543262E-4
1657260264098,-3.0543262E-4,4.5814895E-4,3.0543262E-4
1657260264115,3.0543262E-4,-1.5271631E-4,-6.1086525E-4
1657260264137,1.5271631E-4,-6.1086525E-4,-6.1086525E-4
1657260264152,6.1086525E-4,6.1086525E-4,-3.0543262E-4
1657260264171,6.1086525E-4,4.5814895E-4,-7.6358154E-4
1657260264190,-7.6358154E-4,-0.0012217305,-1.5271631E-4
1657260264206,3.0543262E-4,-7.6358154E-4,-3.0543262E-4
1657260264227,-3.0543262E-4,-1.5271631E-4,7.6358154E-4
1657260264243,-7.6358154E-4,6.1086525E-4,-3.0543262E-4
1657260264260,-1.5271631E-4,-7.6358154E-4,-3.0543262E-4
1657260264279,-0.0,-4.5814895E-4,3.0543262E-4
1657260264297,4.5814895E-4,4.5814895E-4,3.0543262E-4
1657260264315,-6.1086525E-4,1.5271631E-4,3.0543262E-4
1657260264336,-6.1086525E-4,-1.5271631E-4,-1.5271631E-4
1657260264365,-0.0,-0.0010690142,-4.5814895E-4
1657260264371,-0.0,-9.162979E-4,3.0543262E-4
1657260264387,-1.5271631E-4,-1.5271631E-4,6.1086525E-4
1657260264405,-6.1086525E-4,3.0543262E-4,9.162979E-4
1657260264425,0.0,-4.5814895E-4,-3.0543262E-4
1657260264442,9.162979E-4,-4.5814895E-4,-3.0543262E-4
1657260264460,-3.0543262E-4,-0.0,0.0
1657260264478,-1.5271631E-4,-3.0543262E-4,3.0543262E-4
1657260264496,4.5814895E-4,1.5271631E-4,-3.0543262E-4
1657260264514,-3.0543262E-4,6.1086525E-4,-9.162979E-4
1657260264533,3.0543262E-4,3.0543262E-4,3.0543262E-4
1657260264550,1.5271631E-4,3.0543262E-4,0.0012217305
1657260264568,0.0012217305,3.0543262E-4,-6.1086525E-4
1657260264588,-4.5814895E-4,-0.0,4.5814895E-4
1657260264605,-3.0543262E-4,-0.0,1.5271631E-4
1657260264625,-4.5814895E-4,0.0012217305,-6.1086525E-4
1657260264642,-0.0010690142,4.5814895E-4,-3.0543262E-4
1657260264660,-1.5271631E-4,-1.5271631E-4,-3.0543262E-4
1657260264677,4.5814895E-4,1.5271631E-4,-3.0543262E-4
1657260264695,-4.5814895E-4,-6.1086525E-4,0.0
1657260264713,-3.0543262E-4,-0.0013744468,-7.6358154E-4
1657260264731,-4.5814895E-4,-3.0543262E-4,-3.0543262E-4
1657260264749,-0.0,-6.1086525E-4,0.0010690142
1657260264768,6.1086525E-4,-0.0010690142,-4.5814895E-4
1657260264786,-0.0,-3.0543262E-4,-7.6358154E-4
1657260264804,3.0543262E-4,6.1086525E-4,-0.0
1657260264823,-1.5271631E-4,-0.0,1.5271631E-4
1657260264840,0.0,-7.6358154E-4,-3.0543262E-4
1657260264858,-6.1086525E-4,1.5271631E-4,-3.0543262E-4
1657260264876,-0.0,-9.162979E-4,-3.0543262E-4
1657260264894,3.0543262E-4,-6.1086525E-4,0.0
1657260264913,7.6358154E-4,-3.0543262E-4,-1.5271631E-4
1657260264931,1.5271631E-4,-0.0,-4.5814895E-4
1657260264948,-7.6358154E-4,0.0,4.5814895E-4
