time,x,y,z
1657259910755,-0.03420844,-0.01343903,-0.02809979
1657259910774,-0.040317092,-0.018325951,-0.03787363
1657259910792,-0.04276055,-0.0244346,-0.04642574
1657259910813,-0.040317092,-0.02687806,-0.05253439
1657259910832,-0.03543017,-0.029321522,-0.05253439
1657259910850,-0.03176498,-0.03176498,-0.047647472
1657259910870,-0.021991141,-0.036651902,-0.04276055
1657259910890,-0.00488692,-0.043982282,-0.04153882
1657259910907,0.0073303804,-0.05253439,-0.04153882
1657259910926,0.0122173,-0.05742131,-0.040317092
1657259910946,0.00488692,-0.06230823,-0.03298671
1657259910964,-0.0036651902,-0.06230823,-0.021991141
1657259910983,0.00610865,-0.061086502,-0.00977384
1657259911002,0.01710422,-0.06597342,0.0036651902
1657259911023,0.01343903,-0.06597342,0.02076941
1657259911042,0.0073303804,-0.061086502,0.03787363
1657259911061,0.021991141,-0.06963861,0.054977853
1657259911079,0.05009093,-0.080634184,0.06963861
1657259911101,0.06597342,-0.08674283,0.08307764
1657259911135,0.05375612,-0.07941245,0.0977384
1657259911135,0.02809979,-0.07574726,0.11362089
1657259911169,0.03176498,-0.07696899,0.11972954
1657259911172,0.05742131,-0.08185591,0.11850781
1657259911201,0.067195155,-0.08185591,0.11972954
1657259911236,0.05253439,-0.073303804,0.12705992
1657259911236,0.03909536,-0.06475169,0.13927722
1657259911268,0.047647472,-0.061086502,0.14905107
1657259911285,0.05375612,-0.054977853,0.15393798
1657259911305,0.05253439,-0.047647472,0.15515971
1657259911319,0.0488692,-0.047647472,0.15393798
1657259911336,0.04153882,-0.04520401,0.15271625
1657259911356,0.043982282,-0.03909536,0.15027279
1657259911370,0.05009093,-0.040317092,0.14782934
1657259911391,0.0488692,-0.03298671,0.14416414
1657259911401,0.04153882,-0.03176498,0.14294241
1657259911421,0.036651902,-0.03543017,0.13927722
1657259911439,0.05009093,-0.04520401,0.12828165
1657259911459,0.06597342,-0.054977853,0.11484262
1657259911479,0.061086502,-0.061086502,0.101403594
1657259911497,0.043982282,-0.05742131,0.08918629
1657259911517,0.01954768,-0.05375612,0.07941245
1657259911535,0.00244346,-0.05375612,0.073303804
1657259911556,0.01954768,-0.06597342,0.06597342
1657259911574,0.05742131,-0.09651667,0.06597342
1657259911592,0.10384705,-0.123394735,0.06352996
1657259911612,0.15760317,-0.14538588,0.047647472
1657259911630,0.18570296,-0.14660761,0.014660761
1657259911649,0.14782934,-0.122173004,-0.0244346
1657259911669,0.05253439,-0.09651667,-0.05375612
1657259911689,-0.02809979,-0.07086034,-0.073303804
1657259911707,-0.04520401,-0.06597342,-0.07819072
1657259911726,-0.021991141,-0.061086502,-0.07086034
1657259911747,-0.00610865,-0.05253439,-0.051312663
1657259911764,-0.00244346,-0.04642574,-0.02809979
1657259911783,-0.0073303804,-0.036651902,-0.00977384
1657259911802,-0.01710422,-0.03909536,0.0036651902
1657259911821,-0.018325951,-0.0488692,0.00610865
1657259911841,-0.0036651902,-0.05986477,-0.00122173
1657259911860,0.0122173,-0.06352996,-0.0073303804
1657259911879,0.0073303804,-0.06230823,-0.0073303804
1657259911897,-0.0073303804,-0.058643043,-0.0073303804
1657259911916,-0.0122173,-0.0488692,-0.010995571
1657259911935,-0.01343903,-0.040317092,-0.014660761
1657259911954,-0.025656331,-0.03909536,-0.010995571
1657259911974,-0.030543251,-0.03543017,-0.0036651902
1657259911993,-0.01710422,-0.03176498,0.0073303804
1657259912013,0.00122173,-0.02809979,0.014660761
1657259912031,0.01588249,-0.02076941,0.01343903
1657259912055,0.00610865,-0.0122173,0.0073303804
1657259912069,-0.021991141,-0.00610865,0.00244346
1657259912087,-0.03787363,-0.00122173,0.00122173
1657259912107,-0.029321522,-0.0036651902,0.0036651902
1657259912127,-0.00855211,-0.0073303804,0.00855211
1657259912146,0.00488692,-0.00977384,0.01343903
1657259912164,0.0036651902,-0.0073303804,0.01588249
1657259912182,-0.01343903,-0.00122173,0.01954768
1657259912202,-0.02809979,0.0,0.0244346
1657259912228,-0.02809979,-0.00244346,0.0244346
1657259912250,-0.0122173,0.0,0.021991141
1657259912267,0.00122173,0.0,0.021991141
1657259912286,-0.01343903,0.00488692,0.0244346
1657259912309,-0.03543017,0.00977384,0.02321287
1657259912321,-0.029321522,0.00977384,0.01710422
1657259912345,0.0036651902,0.00244346,0.00977384
1657259912364,0.018325951,-0.0036651902,0.00610865
1657259912379,0.0036651902,0.00122173,0.0073303804
1657259912390,-0.00244346,0.0073303804,0.00488692
1657259912410,0.00855211,0.00855211,-0.00122173
1657259912431,0.01710422,0.00244346,-0.00855211
1657259912448,0.01588249,-0.00244346,-0.01588249
1657259912468,0.010995571,-0.00855211,-0.01710422
1657259912487,0.0122173,-0.010995571,-0.010995571
1657259912507,0.014660761,-0.014660761,-0.00122173
1657259912526,0.018325951,-0.01588249,0.00488692
1657259912550,0.029321522,-0.018325951,0.0036651902
1657259912567,0.03176498,-0.02321287,0.0036651902
1657259912581,0.0073303804,-0.02687806,0.00977384
1657259912600,-0.0073303804,-0.02321287,0.018325951
1657259912621,0.0036651902,-0.0244346,0.0244346
1657259912639,0.021991141,-0.0244346,0.02809979
1657259912660,0.021991141,-0.021991141,0.029321522
1657259912680,0.00610865,-0.018325951,0.030543251
1657259912697,-0.00855211,-0.01343903,0.02809979
1657259912716,-0.0122173,-0.010995571,0.02809979
1657259912736,-0.00122173,-0.00610865,0.025656331
1657259912754,0.00977384,-0.0036651902,0.0244346
1657259912783,0.010995571,-0.00122173,0.0244346
1657259912790,-0.00244346,0.00488692,0.02321287
1657259912817,-0.02321287,0.010995571,0.02076941
1657259912853,-0.0244346,0.00977384,0.018325951
1657259912853,-0.00855211,0.0036651902,0.01343903
1657259912885,0.0036651902,0.00122173,0.0122173
1657259912886,-0.00855211,-0.00122173,0.02076941
1657259912917,-0.029321522,0.0036651902,0.025656331
1657259912923,-0.03176498,0.0036651902,0.0244346
1657259912949,-0.01710422,-0.00122173,0.02076941
1657259912983,0.00122173,-0.0122173,0.018325951
1657259912983,0.0,-0.01954768,0.018325951
1657259913000,-0.0122173,-0.01710422,0.01588249
1657259913019,-0.00977384,-0.010995571,0.00855211
1657259913039,0.00122173,-0.00977384,0.0
1657259913058,-0.00122173,-0.0073303804,-0.00488692
1657259913077,-0.01343903,-0.00610865,-0.00855211
1657259913095,-0.01343903,-0.00610865,-0.0122173
1657259913115,0.0036651902,-0.00855211,-0.01343903
1657259913134,0.014660761,-0.01954768,-0.00855211
1657259913153,0.00855211,-0.01954768,-0.0073303804
1657259913173,0.00122173,-0.01710422,-0.00977384
1657259913193,0.00610865,-0.018325951,-0.0122173
1657259913218,0.00977384,-0.02321287,-0.0122173
1657259913237,0.010995571,-0.021991141,-0.0122173
1657259913252,0.014660761,-0.01710422,-0.01343903
1657259913271,0.01954768,-0.010995571,-0.01710422
1657259913293,0.01954768,-0.00610865,-0.02076941
1657259913328,0.010995571,-0.00244346,-0.021991141
1657259913330,0.0036651902,0.0,-0.02076941
1657259913352,0.0073303804,0.00244346,-0.02076941
1657259913366,0.01588249,0.0036651902,-0.01954768
1657259913381,0.01588249,0.00610865,-0.01588249
1657259913400,0.0122173,0.0073303804,-0.0122173
1657259913420,0.0122173,0.00488692,-0.0073303804
1657259913439,0.00855211,0.00244346,-0.0036651902
1657259913458,-0.00122173,-0.00244346,0.0036651902
1657259913478,-0.00122173,-0.0036651902,0.00855211
1657259913497,0.010995571,-0.0073303804,0.01710422
1657259913516,0.0073303804,-0.00855211,0.02687806
1657259913533,-0.010995571,-0.00488692,0.03298671
1657259913552,-0.01954768,-0.00488692,0.03543017
1657259913571,0.00122173,-0.00855211,0.03176498
1657259913591,0.025656331,-0.014660761,0.02687806
1657259913611,0.010995571,-0.01343903,0.025656331
1657259913631,-0.010995571,-0.00488692,0.02076941
1657259913648,-0.00488692,0.00244346,0.00610865
1657259913667,0.00977384,0.0036651902,-0.0073303804
1657259913712,0.0073303804,0.00488692,-0.01588249
1657259913713,-0.010995571,0.0073303804,-0.018325951
1657259913722,-0.01343903,0.010995571,-0.01588249
1657259913742,0.00244346,0.00977384,-0.010995571
1657259913761,0.0122173,0.0036651902,-0.0073303804
1657259913780,0.00488692,0.00122173,-0.0073303804
1657259913801,-0.00244346,-0.00122173,-0.0122173
1657259913819,-0.0036651902,-0.00977384,-0.014660761
1657259913838,0.0,-0.01710422,-0.014660761
1657259913857,0.00122173,-0.021991141,-0.00855211
1657259913876,0.00122173,-0.02321287,0.00122173
1657259913896,0.0036651902,-0.02076941,0.0073303804
1657259913914,0.00488692,-0.01954768,0.010995571
1657259913932,0.0,-0.01710422,0.014660761
1657259913952,-0.0073303804,-0.01588249,0.014660761
1657259913972,-0.00488692,-0.01343903,0.01343903
1657259913990,0.0036651902,-0.0122173,0.010995571
1657259914009,0.0122173,-0.00610865,0.0073303804
1657259914029,0.00610865,-0.00122173,0.0073303804
1657259914047,-0.0073303804,0.0036651902,0.0073303804
1657259914065,-0.02076941,0.00977384,0.0073303804
1657259914086,-0.029321522,0.0122173,0.00610865
1657259914105,-0.0122173,0.010995571,0.0
1657259914124,0.0122173,0.0036651902,-0.0036651902
1657259914143,0.00122173,0.00122173,-0.0036651902
1657259914163,-0.025656331,0.00244346,-0.00488692
1657259914182,-0.0244346,-0.00122173,-0.00855211
1657259914210,0.00244346,-0.00855211,-0.01343903
1657259914229,0.01710422,-0.01710422,-0.0122173
1657259914242,-0.0073303804,-0.014660761,-0.0036651902
1657259914262,-0.02687806,-0.00855211,-0.00244346
1657259914283,-0.014660761,-0.00610865,-0.00855211
1657259914309,0.0036651902,-0.00855211,-0.01710422
1657259914327,0.00122173,-0.010995571,-0.01954768
1657259914341,-0.01710422,-0.0073303804,-0.01710422
1657259914351,-0.02076941,0.0,-0.0122173
1657259914370,-0.00855211,0.0,-0.00244346
1657259914392,-0.00122173,0.00122173,0.00122173
1657259914409,-0.010995571,0.00488692,-0.00122173
1657259914436,-0.01710422,0.0073303804,-0.00855211
1657259914467,-0.01954768,0.00244346,-0.010995571
1657259914468,-0.00977384,-0.00244346,-0.00977384
1657259914499,-0.00244346,-0.00244346,-0.00610865
1657259914502,-0.0036651902,0.00244346,-0.00244346
1657259914532,-0.00855211,0.00488692,0.0
1657259914541,-0.01343903,0.00610865,0.0
1657259914567,-0.02076941,0.00488692,0.00122173
1657259914603,-0.02076941,0.00122173,0.00488692
1657259914603,-0.0122173,-0.0036651902,0.0073303804
1657259914637,0.0,-0.00855211,0.00977384
1657259914637,0.00488692,-0.00977384,0.00855211
1657259914667,0.0,-0.00977384,0.0073303804
1657259914673,-0.00488692,-0.010995571,0.00610865
1657259914694,-0.0073303804,-0.014660761,0.00610865
1657259914713,-0.00488692,-0.01710422,0.00610865
1657259914732,0.00977384,-0.018325951,0.00610865
1657259914752,0.021991141,-0.01954768,0.0073303804
1657259914771,0.00977384,-0.014660761,0.0122173
1657259914790,-0.014660761,-0.00855211,0.01588249
1657259914809,-0.01710422,-0.0073303804,0.01710422
1657259914830,0.014660761,-0.014660761,0.01588249
1657259914848,0.03543017,-0.01954768,0.0122173
1657259914865,0.01343903,-0.01343903,0.00977384
1657259914883,-0.00488692,-0.00610865,0.00244346
1657259914903,0.0073303804,-0.00244346,-0.010995571
1657259914923,0.02687806,-0.00488692,-0.0244346
1657259914943,0.01954768,-0.00488692,-0.030543251
1657259914961,0.0036651902,0.0,-0.03420844
1657259914981,0.00244346,0.00610865,-0.03176498
1657259914999,0.0073303804,0.0036651902,-0.01954768
1657259915017,0.00855211,0.0036651902,-0.0073303804
1657259915037,0.00855211,0.0036651902,-0.00244346
1657259915055,0.00488692,0.00122173,0.0
1657259915075,-0.0036651902,-0.0036651902,0.00244346
1657259915094,-0.00244346,-0.0073303804,0.00855211
1657259915113,0.0073303804,-0.0122173,0.014660761
1657259915132,0.01588249,-0.01343903,0.01954768
1657259915151,0.018325951,-0.010995571,0.02076941
1657259915175,0.0073303804,-0.00977384,0.0244346
1657259915192,-0.0036651902,-0.0073303804,0.02687806
1657259915215,-0.0036651902,-0.00610865,0.030543251
1657259915231,0.00488692,-0.00855211,0.036651902
1657259915252,0.00488692,-0.00244346,0.03909536
1657259915270,-0.0073303804,0.0036651902,0.03787363
1657259915291,-0.00610865,0.0073303804,0.029321522
1657259915315,0.0036651902,0.014660761,0.01710422
1657259915328,-0.018325951,0.01710422,0.0073303804
1657259915339,-0.06230823,0.01588249,-0.00122173
1657259915360,-0.06963861,0.02076941,-0.01710422
1657259915378,-0.051312663,0.00855211,-0.029321522
1657259915397,-0.047647472,-0.00244346,-0.03543017
1657259915417,-0.054977853,-0.00610865,-0.043982282
1657259915437,-0.07086034,-0.00977384,-0.04642574
1657259915456,-0.058643043,-0.02321287,-0.04153882
1657259915476,-0.03909536,-0.02809979,-0.03298671
1657259915495,-0.051312663,-0.018325951,-0.01343903
1657259915516,-0.06352996,-0.00488692,0.0036651902
1657259915531,-0.036651902,-0.0036651902,0.00855211
1657259915551,-0.0036651902,-0.00244346,0.00488692
1657259915569,-0.01710422,0.00610865,0.0036651902
1657259915589,-0.03543017,0.014660761,0.00610865
1657259915607,-0.0244346,0.018325951,0.00977384
1657259915627,-0.00855211,0.01954768,0.01954768
1657259915646,-0.00977384,0.021991141,0.02809979
1657259915665,-0.01343903,0.025656331,0.03543017
1657259915683,-0.00244346,0.01954768,0.040317092
1657259915703,0.0036651902,0.0122173,0.047647472
1657259915723,0.00977384,0.010995571,0.05009093
1657259915742,0.02076941,0.00610865,0.051312663
1657259915761,0.02321287,0.00610865,0.04642574
1657259915780,0.018325951,0.00610865,0.040317092
1657259915798,0.00977384,0.00244346,0.03298671
1657259915817,0.00244346,-0.00122173,0.025656331
1657259915836,0.00488692,-0.010995571,0.01710422
1657259915855,0.010995571,-0.01710422,0.00977384
1657259915874,0.00855211,-0.0244346,0.00610865
1657259915895,0.00610865,-0.025656331,0.0036651902
1657259915913,0.0073303804,-0.02687806,-0.0036651902
1657259915932,0.0,-0.030543251,-0.00977384
1657259915951,-0.01710422,-0.030543251,-0.018325951
1657259915969,-0.025656331,-0.030543251,-0.029321522
1657259915988,-0.0122173,-0.03420844,-0.04153882
1657259916006,0.00244346,-0.03298671,-0.05253439
