time,x,y,z
1657259910822,-0.0022907446,-0.0030543262,-3.0543262E-4
1657259910840,-9.162979E-4,-0.002443461,4.5814895E-4
1657259910858,-1.5271631E-4,-0.0022907446,-4.5814895E-4
1657259910878,-0.0012217305,-0.0013744468,-6.1086525E-4
1657259910895,-1.5271631E-4,-0.0010690142,-1.5271631E-4
1657259910913,-3.0543262E-4,-6.1086525E-4,7.6358154E-4
1657259910932,-1.5271631E-4,6.1086525E-4,-4.5814895E-4
1657259910949,-6.1086525E-4,-3.0543262E-4,-1.5271631E-4
1657259910967,3.0543262E-4,7.6358154E-4,3.0543262E-4
1657259910986,-0.0,-6.1086525E-4,-3.0543262E-4
1657259911005,6.1086525E-4,-6.1086525E-4,-6.1086525E-4
1657259911022,4.5814895E-4,-3.0543262E-4,4.5814895E-4
1657259911039,7.6358154E-4,9.162979E-4,4.5814895E-4
1657259911059,9.162979E-4,3.0543262E-4,1.5271631E-4
1657259911076,-6.1086525E-4,-3.0543262E-4,7.6358154E-4
1657259911094,6.1086525E-4,4.5814895E-4,3.0543262E-4
1657259911113,-3.0543262E-4,-1.5271631E-4,-9.162979E-4
1657259911130,-0.0,-0.0,-6.1086525E-4
1657259911149,1.5271631E-4,-9.162979E-4,-6.1086525E-4
1657259911167,-4.5814895E-4,4.5814895E-4,-0.0
1657259911185,1.5271631E-4,3.0543262E-4,-7.6358154E-4
1657259911206,-4.5814895E-4,-3.0543262E-4,-1.5271631E-4
1657259911221,9.162979E-4,1.5271631E-4,-0.0010690142
1657259911239,3.0543262E-4,0.0015271631,-3.0543262E-4
1657259911257,3.0543262E-4,1.5271631E-4,0.0
1657259911275,7.6358154E-4,1.5271631E-4,-4.5814895E-4
1657259911297,-1.5271631E-4,3.0543262E-4,-6.1086525E-4
1657259911312,6.1086525E-4,-9.162979E-4,-6.1086525E-4
1657259911329,1.5271631E-4,3.0543262E-4,3.0543262E-4
1657259911349,6.1086525E-4,0.0010690142,9.162979E-4
1657259911367,1.5271631E-4,0.0010690142,1.5271631E-4
1657259911384,7.6358154E-4,1.5271631E-4,9.162979E-4
1657259911403,9.162979E-4,0.0012217305,-7.6358154E-4
1657259911421,1.5271631E-4,6.1086525E-4,-9.162979E-4
1657259911439,1.5271631E-4,1.5271631E-4,-4.5814895E-4
1657259911457,3.0543262E-4,1.5271631E-4,6.1086525E-4
1657259911474,-3.0543262E-4,-4.5814895E-4,-1.5271631E-4
1657259911495,-1.5271631E-4,0.0,4.5814895E-4
1657259911510,-0.0010690142,4.5814895E-4,3.0543262E-4
1657259911528,4.5814895E-4,3.0543262E-4,1.5271631E-4
1657259911547,-1.5271631E-4,1.5271631E-4,-9.162979E-4
1657259911565,6.1086525E-4,6.1086525E-4,0.0
1657259911583,-0.0021380284,6.1086525E-4,1.5271631E-4
1657259911601,-4.5814895E-4,-1.5271631E-4,3.0543262E-4
1657259911619,-9.162979E-4,-0.0,4.5814895E-4
1657259911638,-3.0543262E-4,-4.5814895E-4,-0.0
1657259911656,-1.5271631E-4,0.0016798794,1.5271631E-4
1657259911674,6.1086525E-4,6.1086525E-4,-7.6358154E-4
1657259911692,3.0543262E-4,-0.0,-3.0543262E-4
1657259911711,0.0,0.0010690142,-1.5271631E-4
1657259911728,4.5814895E-4,4.5814895E-4,3.0543262E-4
1657259911746,9.162979E-4,-4.5814895E-4,-4.5814895E-4
1657259911764,-0.0,-0.0,-0.0012217305
1657259911783,0.0,3.0543262E-4,0.0
1657259911800,7.6358154E-4,0.0013744468,4.5814895E-4
1657259911819,3.0543262E-4,0.0,-1.5271631E-4
1657259911837,9.162979E-4,-1.5271631E-4,-4.5814895E-4
1657259911855,4.5814895E-4,4.5814895E-4,6.1086525E-4
1657259911873,0.0,-4.5814895E-4,-3.0543262E-4
1657259911892,-9.162979E-4,6.1086525E-4,1.5271631E-4
1657259911910,-4.5814895E-4,-4.5814895E-4,9.162979E-4
1657259911927,-0.0,-3.0543262E-4,3.0543262E-4
1657259911945,0.0,-1.5271631E-4,3.0543262E-4
1657259911964,9.162979E-4,-1.5271631E-4,-1.5271631E-4
1657259911983,-6.1086525E-4,-1.5271631E-4,-0.0010690142
1657259912000,0.0010690142,-3.0543262E-4,6.1086525E-4
1657259912018,7.6358154E-4,1.5271631E-4,1.5271631E-4
1657259912037,1.5271631E-4,-3.0543262E-4,-0.0
1657259912054,-0.0,3.0543262E-4,4.5814895E-4
1657259912073,3.0543262E-4,0.0,1.5271631E-4
1657259912091,1.5271631E-4,3.0543262E-4,-1.5271631E-4
1657259912110,-0.0010690142,3.0543262E-4,6.1086525E-4
1657259912127,-1.5271631E-4,-7.6358154E-4,-6.1086525E-4
1657259912144,-1.5271631E-4,6.1086525E-4,-0.0
1657259912163,-1.5271631E-4,-4.5814895E-4,3.0543262E-4
1657259912183,-1.5271631E-4,-7.6358154E-4,-1.5271631E-4
1657259912199,4.5814895E-4,-6.1086525E-4,-4.5814895E-4
1657259912221,3.0543262E-4,-9.162979E-4,-7.6358154E-4
1657259912236,1.5271631E-4,9.162979E-4,0.0
1657259912253,6.1086525E-4,-6.1086525E-4,-1.5271631E-4
1657259912272,-0.0,-1.5271631E-4,-4.5814895E-4
1657259912289,-7.6358154E-4,-3.0543262E-4,0.0
1657259912308,3.0543262E-4,-1.5271631E-4,1.5271631E-4
1657259912326,7.6358154E-4,1.5271631E-4,-3.0543262E-4
1657259912344,1.5271631E-4,-4.5814895E-4,1.5271631E-4
1657259912362,-4.5814895E-4,-7.6358154E-4,1.5271631E-4
1657259912382,1.5271631E-4,6.1086525E-4,1.5271631E-4
1657259912398,-0.0010690142,-3.0543262E-4,3.0543262E-4
1657259912416,-6.1086525E-4,3.0543262E-4,-0.0
1657259912435,-4.5814895E-4,1.5271631E-4,7.6358154E-4
1657259912452,-3.0543262E-4,9.162979E-4,0.0010690142
1657259912472,9.162979E-4,-0.0012217305,-1.5271631E-4
1657259912489,1.5271631E-4,0.0,-6.1086525E-4
1657259912507,-7.6358154E-4,-0.0010690142,-4.5814895E-4
1657259912526,-4.5814895E-4,0.0010690142,-7.6358154E-4
1657259912543,-9.162979E-4,0.0,0.0010690142
1657259912562,-4.5814895E-4,-3.0543262E-4,9.162979E-4
1657259912580,-1.5271631E-4,1.5271631E-4,7.6358154E-4
1657259912598,1.5271631E-4,1.5271631E-4,1.5271631E-4
1657259912616,-0.0010690142,-9.162979E-4,-7.6358154E-4
1657259912635,-0.0010690142,1.5271631E-4,-1.5271631E-4
1657259912652,-4.5814895E-4,-7.6358154E-4,-0.0013744468
1657259912670,-7.6358154E-4,-0.0,7.6358154E-4
1657259912688,-3.0543262E-4,7.6358154E-4,9.162979E-4
1657259912706,3.0543262E-4,1.5271631E-4,0.0010690142
1657259912724,-3.0543262E-4,-0.0016798794,1.5271631E-4
1657259912742,-6.1086525E-4,-1.5271631E-4,-7.6358154E-4
1657259912762,3.0543262E-4,7.6358154E-4,-0.0016798794
1657259912779,-0.0,-3.0543262E-4,-0.0012217305
1657259912797,-7.6358154E-4,4.5814895E-4,3.0543262E-4
1657259912817,7.6358154E-4,-0.0013744468,1.5271631E-4
1657259912833,-3.0543262E-4,-3.0543262E-4,0.0012217305
1657259912852,-4.5814895E-4,-0.0016798794,0.0010690142
1657259912870,-1.5271631E-4,-0.0016798794,-7.6358154E-4
1657259912887,-9.162979E-4,-9.162979E-4,-3.0543262E-4
1657259912907,-1.5271631E-4,6.1086525E-4,-9.162979E-4
1657259912926,-4.5814895E-4,7.6358154E-4,-1.5271631E-4
1657259912944,-6.1086525E-4,6.1086525E-4,3.0543262E-4
1657259912960,3.0543262E-4,-0.0015271631,1.5271631E-4
1657259912977,9.162979E-4,-9.162979E-4,6.1086525E-4
1657259912997,-6.1086525E-4,1.5271631E-4,6.1086525E-4
1657259913014,4.5814895E-4,0.0,4.5814895E-4
1657259913033,9.162979E-4,1.5271631E-4,4.5814895E-4
1657259913051,6.1086525E-4,1.5271631E-4,6.1086525E-4
1657259913069,1.5271631E-4,6.1086525E-4,0.0012217305
1657259913086,6.1086525E-4,-9.162979E-4,0.0013744468
1657259913105,0.0,-7.6358154E-4,-3.0543262E-4
1657259913122,1.5271631E-4,6.1086525E-4,1.5271631E-4
1657259913141,-1.5271631E-4,3.0543262E-4,-1.5271631E-4
1657259913159,4.5814895E-4,4.5814895E-4,-0.0
1657259913177,-4.5814895E-4,-0.0,0.0010690142
1657259913196,-0.0010690142,3.0543262E-4,1.5271631E-4
1657259913213,-3.0543262E-4,-1.5271631E-4,7.6358154E-4
1657259913231,1.5271631E-4,-1.5271631E-4,-6.1086525E-4
1657259913252,6.1086525E-4,-6.1086525E-4,-0.0012217305
1657259913267,-4.5814895E-4,3.0543262E-4,-0.0013744468
1657259913286,-1.5271631E-4,0.0010690142,-0.0018325958
1657259913304,-6.1086525E-4,3.0543262E-4,-6.1086525E-4
1657259913323,3.0543262E-4,7.6358154E-4,7.6358154E-4
1657259913341,-6.1086525E-4,-3.0543262E-4,-3.0543262E-4
1657259913359,-4.5814895E-4,6.1086525E-4,-9.162979E-4
1657259913376,1.5271631E-4,-7.6358154E-4,0.0
1657259913395,0.0016798794,-6.1086525E-4,-6.1086525E-4
1657259913412,-3.0543262E-4,0.0015271631,-3.0543262E-4
1657259913430,-0.0,0.0015271631,9.162979E-4
1657259913452,6.1086525E-4,-9.162979E-4,3.0543262E-4
1657259913467,6.1086525E-4,-7.6358154E-4,1.5271631E-4
1657259913485,6.1086525E-4,-6.1086525E-4,-3.0543262E-4
1657259913503,6.1086525E-4,-9.162979E-4,-0.0010690142
1657259913521,4.5814895E-4,-9.162979E-4,-3.0543262E-4
1657259913541,9.162979E-4,-3.0543262E-4,3.0543262E-4
