time,x,y,z
1663056241008,-0.20036373,-0.09040802,-0.061086502
1663056241027,-0.12583819,-0.12583819,-0.10506878
1663056241046,0.04642574,-0.12705992,-0.0855211
1663056241066,0.00977384,-0.06963861,-0.036651902
1663056241085,0.030543251,0.00855211,0.00488692
1663056241108,0.06230823,0.06841688,0.0244346
1663056241126,0.08307764,0.08307764,0.02321287
1663056241145,0.08185591,0.061086502,0.02687806
1663056241160,0.061086502,0.03176498,0.03420844
1663056241179,0.03298671,0.00977384,0.03420844
1663056241198,0.0,0.0,0.02076941
1663056241217,-0.03176498,-0.00610865,0.00244346
1663056241242,-0.0488692,-0.014660761,-0.0122173
1663056241258,-0.06352996,-0.03787363,-0.01588249
1663056241275,-0.05253439,-0.04520401,-0.01710422
1663056241293,-0.03543017,-0.02809979,-0.01710422
1663056241313,-0.01588249,-0.01710422,-0.01954768
1663056241332,-0.010995571,-0.0073303804,-0.00977384
1663056241351,-0.014660761,0.00610865,0.010995571
1663056241377,-0.0073303804,0.00122173,0.018325951
1663056241399,0.01710422,-0.010995571,0.010995571
1663056241415,0.040317092,-0.021991141,0.0036651902
1663056241449,0.05009093,-0.03420844,-0.00488692
1663056241453,0.03787363,-0.036651902,-0.0073303804
1663056241471,0.00122173,-0.02076941,0.0
1663056241494,-0.0244346,0.0036651902,0.0036651902
1663056241513,-0.02687806,0.01710422,0.00855211
1663056241529,-0.01343903,0.014660761,0.00610865
1663056241547,0.00122173,0.00855211,-0.00244346
1663056241560,0.010995571,0.00855211,-0.00977384
1663056241580,0.00610865,0.02321287,-0.030543251
1663056241599,-0.0244346,0.04153882,-0.080634184
1663056241619,-0.074525535,0.05986477,-0.16371182
1663056241643,-0.03787363,0.108733974,-0.13927722
1663056241675,-0.14172068,-0.3652973,-0.02687806
1663056241676,-0.15027279,-0.22479832,-0.08185591
1663056241709,0.01710422,0.15638144,-0.03787363
1663056241712,0.018325951,0.04642574,-0.054977853
1663056241742,0.030543251,0.01343903,-0.067195155
1663056241775,0.058643043,0.058643043,-0.06475169
1663056241775,0.00855211,0.03909536,-0.058643043
1663056241809,-0.054977853,0.03420844,-0.05375612
1663056241810,-0.06963861,0.025656331,-0.05375612
1663056241843,-0.03420844,0.030543251,-0.05742131
1663056241845,-0.00122173,0.04642574,-0.05619958
1663056241866,-0.0036651902,0.047647472,-0.05375612
1663056241887,-0.03298671,0.018325951,-0.054977853
1663056241902,-0.047647472,-0.00977384,-0.05742131
1663056241921,-0.04153882,-0.02809979,-0.05375612
1663056241940,-0.02321287,-0.01954768,-0.03787363
1663056241960,-0.00855211,-0.0036651902,-0.01954768
1663056241979,-0.01954768,0.00244346,-0.010995571
1663056241998,-0.03298671,-0.0244346,-0.018325951
1663056242019,-0.0244346,-0.05009093,-0.029321522
1663056242037,-0.01343903,-0.030543251,-0.029321522
1663056242055,-0.00977384,-0.01343903,-0.0244346
1663056242074,-0.021991141,-0.01588249,-0.0122173
1663056242092,-0.04276055,-0.03298671,-0.00488692
1663056242112,-0.06352996,-0.04642574,-0.00977384
1663056242132,-0.05742131,-0.04520401,-0.01954768
1663056242153,-0.02321287,-0.036651902,-0.0244346
1663056242170,0.00977384,-0.02076941,-0.025656331
1663056242188,0.00488692,-0.014660761,-0.0244346
1663056242207,-0.025656331,-0.04520401,-0.02809979
1663056242226,-0.047647472,-0.067195155,-0.02809979
1663056242245,-0.047647472,-0.04276055,-0.02321287
1663056242265,-0.02687806,-0.01588249,-0.014660761
1663056242284,-0.0073303804,0.00977384,-0.00977384
1663056242302,-0.0036651902,-0.00122173,-0.01588249
1663056242321,-0.01710422,-0.00610865,-0.018325951
1663056242341,-0.02687806,0.0,-0.014660761
1663056242368,-0.018325951,-0.00488692,-0.0122173
1663056242388,0.00244346,-0.00855211,-0.010995571
1663056242403,0.00610865,-0.0122173,-0.010995571
1663056242425,0.0036651902,-0.0036651902,-0.014660761
1663056242448,0.0036651902,0.01343903,-0.01710422
1663056242468,0.00244346,0.00610865,-0.01710422
1663056242481,0.0122173,-0.025656331,-0.01710422
1663056242499,0.00977384,-0.04153882,-0.01710422
1663056242515,-0.00488692,-0.040317092,-0.0122173
1663056242531,-0.01954768,-0.029321522,-0.00855211
1663056242550,-0.01588249,-0.0122173,-0.010995571
1663056242570,-0.010995571,-0.00244346,-0.0122173
1663056242587,-0.01343903,0.0036651902,-0.0122173
1663056242606,-0.02321287,-0.00488692,-0.00488692
1663056242625,-0.02321287,-0.01710422,0.00244346
1663056242644,-0.03298671,-0.021991141,0.0073303804
1663056242664,-0.03543017,-0.03298671,0.00244346
1663056242683,-0.029321522,-0.03543017,-0.00122173
1663056242703,-0.018325951,-0.01954768,-0.0036651902
1663056242720,-0.018325951,-0.00610865,-0.0073303804
1663056242739,-0.014660761,-0.01710422,-0.01588249
1663056242758,-0.00244346,-0.014660761,-0.021991141
1663056242778,0.00122173,0.0,-0.021991141
1663056242797,-0.018325951,0.00610865,-0.01954768
1663056242816,-0.02809979,0.00122173,-0.02076941
1663056242836,-0.0122173,-0.010995571,-0.02321287
1663056242854,0.00244346,-0.02076941,-0.01954768
1663056242872,0.01343903,-0.018325951,-0.0073303804
1663056242891,0.0,-0.0036651902,0.00488692
1663056242912,-0.02809979,-0.00244346,0.0073303804
1663056242931,-0.03543017,-0.0122173,-0.00122173
1663056242958,-0.00610865,-0.014660761,-0.00977384
1663056242993,0.02687806,0.00122173,-0.0122173
1663056242993,0.01954768,0.01343903,-0.010995571
1663056243027,-0.030543251,0.01588249,-0.00855211
1663056243027,-0.067195155,-0.0073303804,-0.014660761
1663056243057,-0.0488692,-0.036651902,-0.021991141
1663056243062,0.0,-0.03420844,-0.025656331
1663056243090,0.02321287,-0.03176498,-0.02687806
1663056243121,0.02076941,-0.025656331,-0.025656331
1663056243121,-0.014660761,-0.018325951,-0.018325951
1663056243142,-0.05619958,-0.021991141,-0.010995571
1663056243176,-0.05986477,-0.02687806,-0.00855211
1663056243176,-0.02687806,-0.0244346,-0.00610865
1663056243197,-0.010995571,-0.01343903,0.00122173
1663056243214,-0.018325951,-0.01343903,0.00855211
1663056243235,-0.025656331,-0.01710422,0.00488692
1663056243253,-0.025656331,-0.02687806,0.00122173
1663056243271,-0.00855211,-0.036651902,0.0036651902
1663056243291,0.01343903,-0.02809979,0.00855211
1663056243313,0.018325951,-0.021991141,0.0122173
1663056243329,-0.0073303804,-0.02076941,0.01954768
1663056243348,-0.040317092,-0.02809979,0.018325951
1663056243379,-0.04642574,-0.04153882,0.00855211
1663056243392,-0.021991141,-0.03298671,-0.00122173
1663056243413,0.00610865,-0.0244346,-0.0036651902
1663056243432,0.01710422,-0.01343903,0.00122173
1663056243457,0.0036651902,-0.0122173,0.00977384
1663056243482,-0.0122173,-0.00610865,0.01343903
1663056243488,-0.0073303804,0.00855211,0.00977384
1663056243507,0.010995571,0.014660761,0.00488692
1663056243528,0.01588249,0.00610865,0.00122173
1663056243538,0.0122173,-0.00855211,0.00122173
1663056243558,-0.0036651902,-0.01343903,0.00488692
1663056243577,-0.01710422,-0.01588249,0.00855211
1663056243596,-0.00244346,-0.00977384,0.00610865
1663056243615,0.03176498,0.0073303804,0.00488692
1663056243636,0.04153882,0.018325951,0.0073303804
1663056243653,0.01343903,0.00977384,0.00977384
1663056243671,-0.021991141,-0.00855211,0.00977384
1663056243690,-0.029321522,-0.02321287,0.00855211
1663056243710,-0.00977384,-0.01343903,0.00855211
1663056243729,0.021991141,-0.00977384,0.00855211
